symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
EICHERMOT,2015-11-26 11:01:00,2015-11-24,2015-11-23,2015-11-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1342.0,0.0,0.0,0.0,0.0,2516.0,0.0,1174.0,0.0
EICHERMOT,2015-12-07 10:08:00,2015-12-03,2015-12-03,2015-12-03,Key Managerial Personnel,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,5204.0,0.02,4704.0,0.02
EICHERMOT,2015-12-21 15:40:00,2015-12-18,2015-12-16,2015-12-17,Other,Market Sale,Sell,Equity Shares,400.0,0.0,0.0,0.0,0.0,15000.0,0.06,14600.0,0.06
EICHERMOT,2015-12-24 14:24:00,2015-12-24,2015-12-23,2015-12-23,Other,Market Sale,Sell,Equity Shares,600.0,0.0,0.0,0.0,0.0,14600.0,0.05,14000.0,0.05
EICHERMOT,2015-12-30 15:22:00,2015-12-29,2015-12-29,2015-12-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,560.0,0.0,360.0,0.0
EICHERMOT,2015-12-31 14:28:00,2015-12-31,2015-12-30,2015-12-31,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1158.0,0.0,0.0,0.0,0.0,1174.0,0.0,16.0,0.0
EICHERMOT,2016-02-09 17:39:00,2016-02-08,2016-02-05,2016-02-05,Employees/Designated Employees,ESOP,ESOP/ESOS/ESPS,Equity Shares,800.0,0.0,0.0,0.0,0.0,360.0,0.0,1160.0,0.0
EICHERMOT,2016-02-09 17:39:00,2016-02-08,2016-02-05,2016-02-05,Employees/Designated Employees,ESOP,ESOP/ESOS/ESPS,Equity Shares,300.0,0.0,0.0,0.0,0.0,800.0,0.0,1100.0,0.0
EICHERMOT,2016-02-09 17:39:00,2016-02-08,2016-02-05,2016-02-05,Employees/Designated Employees,ESOP,ESOP/ESOS/ESPS,Equity Shares,3000.0,0.0,0.0,0.0,0.0,16.0,0.0,3016.0,0.01
EICHERMOT,2016-02-09 17:39:00,2016-02-08,2016-02-05,2016-02-05,Other,ESOP,ESOP/ESOS/ESPS,Equity Shares,3000.0,0.0,0.0,0.0,0.0,14000.0,0.05,17000.0,0.06
EICHERMOT,2016-02-11 19:23:00,2016-02-10,2016-02-08,2016-02-09,Employees/Designated Employees,ESOP,Sell,Equity Shares,150.0,0.0,0.0,0.0,0.0,2000.0,0.0,1850.0,
EICHERMOT,2016-02-17 16:23:00,2016-02-16,2016-02-15,2016-02-15,Employees/Designated Employees,Market Sale,Sell,Equity Shares,800.0,0.0,0.0,0.0,0.0,17000.0,0.06,16200.0,0.06
EICHERMOT,2016-02-18 11:33:00,2016-02-17,2016-02-17,2016-02-17,Key Managerial Personnel,Market Sale,Sell,Equity Shares,250.0,0.0,0.0,0.0,0.0,4704.0,0.02,4454.0,0.02
EICHERMOT,2016-02-18 11:33:00,2016-02-17,2016-02-16,2016-02-16,Employees/Designated Employees,Market Sale,Sell,Equity Shares,860.0,0.0,0.0,0.0,0.0,3016.0,0.01,2156.0,
EICHERMOT,2016-02-23 15:41:00,2016-02-20,2016-02-19,2016-02-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,1850.0,0.0,1750.0,0.0
EICHERMOT,2016-03-03 19:31:00,2016-03-02,2016-03-02,2016-03-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,140.0,0.0,0.0,0.0,0.0,1160.0,0.0,1020.0,0.0
EICHERMOT,2016-05-06 18:00:00,2016-05-06,2016-05-05,2016-05-05,Employees/Designated Employees,ESOP,-,Equity Shares,1800.0,0.0,0.0,0.0,0.0,1020.0,0.0,2820.0,0.01
EICHERMOT,2016-05-16 12:30:00,2016-05-13,2016-05-13,2016-05-13,Promoters,Market Sale,Sell,Equity Shares,543260.0,0.0,0.0,0.0,0.0,3023167.0,11.13,2479907.0,9.13
EICHERMOT,2016-05-16 12:30:00,2016-05-13,2016-05-13,2016-05-13,Promoters,Market Sale,Sell,Equity Shares,543260.0,0.0,0.0,0.0,0.0,3271723.0,12.04,2728463.0,10.04
EICHERMOT,2016-05-16 12:30:00,2016-05-13,2016-05-13,2016-05-13,Promoters,Market Sale,Sell,Equity Shares,54326.0,0.0,0.0,0.0,0.0,360083.0,1.33,305757.0,1.13
EICHERMOT,2016-05-24 17:22:00,2016-05-24,2016-05-23,2016-05-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1585.0,0.0,0.0,0.0,0.0,1585.0,0.0,,0.0
EICHERMOT,2016-05-30 18:25:00,2016-05-30,2016-05-27,2016-05-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,800.0,0.0,0.0,0.0,0.0,2820.0,0.0,2020.0,0.0
EICHERMOT,2016-06-06 11:03:00,2016-06-06,2016-06-03,2016-06-03,Other,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,300.0,0.0,100.0,0.0
EICHERMOT,2016-06-10 19:57:00,2016-06-10,2016-06-09,2016-06-09,Other,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0
EICHERMOT,2016-06-15 18:47:00,2016-06-15,2016-06-15,2016-06-15,Employees/Designated Employees,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,250.0,0.0,150.0,0.0
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,,0.0,4000.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,2400.0,0.0,0.0,0.0,0.0,,0.0,2400.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,900.0,0.0,0.0,0.0,0.0,,0.0,900.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,4400.0,0.0,0.0,0.0,0.0,,0.0,4400.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,3600.0,0.0,7600.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,4000.0,0.0,0.0,0.0,0.0,5000.0,0.0,9000.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,700.0,0.0,0.0,0.0,0.0,,0.0,700.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,1300.0,0.0,0.0,0.0,0.0,1450.0,0.0,2750.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,1500.0,0.0,0.0,0.0,0.0,1410.0,0.0,2910.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,2200.0,0.0,0.0,0.0,0.0,700.0,0.0,2900.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1524.0,0.0,2524.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,1000.0,0.0,0.0,0.0,0.0,740.0,0.0,1740.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Other,ESOP,Buy,Equity Shares,2300.0,0.0,0.0,0.0,0.0,,0.0,2300.0,
EICHERMOT,2016-08-02 08:25:00,2016-07-29,2016-07-28,2016-07-28,Employees/Designated Employees,ESOP,Buy,Equity Shares,1400.0,0.0,0.0,0.0,0.0,150.0,0.0,1550.0,
EICHERMOT,2016-08-02 18:54:00,2016-08-01,2016-08-01,2016-08-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,2708.0,0.0,2658.0,0.0
EICHERMOT,2016-08-02 18:54:00,2016-08-01,2016-08-01,2016-08-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3600.0,0.0,0.0,0.0,0.0,7600.0,0.0,4000.0,0.0
