symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Sell,Equity Shares,576100.0,0.0,0.0,0.0,0.0,576100.0,0.16,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Sell,Equity Shares,336000.0,0.0,0.0,0.0,0.0,336000.0,0.09,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Director,Gift,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Sell,Equity Shares,1022940.0,0.0,0.0,0.0,0.0,1022940.0,0.29,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Promoters,Gift,Sell,Equity Shares,3574310.0,0.0,0.0,0.0,0.0,3574310.0,1.0,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Sell,Equity Shares,26593.0,0.0,0.0,0.0,0.0,26593.0,0.01,,0.0
ELECTCAST,2017-08-24 17:55:00,2017-08-23,2017-08-21,2017-08-21,Director,Gift,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,,0.0
ELECTCAST,2017-08-24 18:05:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Buy,Equity Shares,2768972.0,0.0,0.0,0.0,0.0,14744555.0,4.13,17513527.0,4.91
ELECTCAST,2017-08-24 18:05:00,2017-08-23,2017-08-21,2017-08-21,Promoter Group,Gift,Buy,Equity Shares,2768971.0,0.0,0.0,0.0,0.0,14744555.0,4.13,17513526.0,4.91
ELECTCAST,2018-08-23 15:50:00,2018-08-22,2018-08-20,2018-08-20,Promoter Group,Preferential Offer,Buy,Equity Shares,3466204.0,0.0,0.0,0.0,0.0,18590570.0,5.21,22056774.0,5.44
ELECTCAST,2018-08-23 15:50:00,2018-08-22,2018-08-20,2018-08-20,Promoter Group,Preferential Offer,Buy,Equity Shares,6932409.0,0.0,0.0,0.0,0.0,36731833.0,10.29,43664242.0,10.77
ELECTCAST,2018-08-23 15:50:00,2018-08-22,2018-08-20,2018-08-20,Promoter Group,Preferential Offer,Buy,Equity Shares,3466204.0,0.0,0.0,0.0,0.0,29899981.0,8.38,33366185.0,8.23
ELECTCAST,2018-09-19 12:45:00,2018-09-18,2018-09-11,2018-09-17,Promoter Group,Market Purchase,Buy,Equity Shares,55139.0,0.0,0.0,0.0,0.0,33366185.0,8.23,33421324.0,8.24
ELECTCAST,2018-09-19 12:45:00,2018-09-18,2018-09-11,2018-09-17,Promoter Group,Market Purchase,Buy,Equity Shares,63288.0,0.0,0.0,0.0,0.0,43664242.0,10.77,43727530.0,10.78
ELECTCAST,2018-09-28 13:17:00,2018-09-27,2018-09-18,2018-09-25,Promoter Group,Market Purchase,Buy,Equity Shares,90000.0,0.0,0.0,0.0,0.0,33421324.0,8.24,33511324.0,8.26
ELECTCAST,2018-10-03 12:20:00,2018-10-01,2018-09-26,2018-09-28,Promoter Group,Market Purchase,Buy,Equity Shares,120000.0,0.0,0.0,0.0,0.0,33511324.0,8.26,33631324.0,8.29
ELECTCAST,2018-10-13 10:44:00,2018-10-12,2018-10-10,2018-10-11,Promoter Group,Market Purchase,Buy,Equity Shares,150000.0,0.0,0.0,0.0,0.0,43767530.0,10.79,43917530.0,10.83
ELECTCAST,2018-10-15 15:14:00,2018-10-15,2018-10-12,2018-10-12,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,30095367.0,7.42,30195367.0,7.45
ELECTCAST,2018-10-25 16:25:00,2018-10-25,2018-10-23,2018-10-24,Promoter Group,Market Purchase,Buy,Equity Shares,132000.0,0.0,0.0,0.0,0.0,30195367.0,7.45,30327367.0,7.48
ELECTCAST,2018-10-25 16:25:00,2018-10-25,2018-10-19,2018-10-24,Promoter Group,Market Purchase,Buy,Equity Shares,182000.0,0.0,0.0,0.0,0.0,43917530.0,10.83,44099530.0,10.88
ELECTCAST,2018-10-30 14:55:00,2018-10-29,2018-10-25,2018-10-26,Promoter Group,Market Purchase,Buy,Equity Shares,64524.0,0.0,0.0,0.0,0.0,30327367.0,7.48,30391891.0,7.5
ELECTCAST,2018-10-30 14:55:00,2018-10-29,2018-10-25,2018-10-26,Promoter Group,Market Purchase,Buy,Equity Shares,65949.0,0.0,0.0,0.0,0.0,44099530.0,10.88,44165479.0,10.89
ELECTCAST,2018-11-21 11:01:00,2018-11-20,2018-10-30,2018-11-19,Promoter Group,Market Purchase,Buy,Equity Shares,134606.0,0.0,0.0,0.0,0.0,44165479.0,10.89,44300085.0,10.93
ELECTCAST,2018-11-22 14:29:00,2018-11-21,2018-11-20,2018-11-20,Promoter Group,Market Purchase,Buy,Equity Shares,65289.0,0.0,0.0,0.0,0.0,44300085.0,10.93,44365374.0,10.94
ELECTCAST,2018-11-24 10:22:00,2018-11-23,2018-11-22,2018-11-22,Promoter Group,Market Purchase,Buy,Equity Shares,55341.0,0.0,0.0,0.0,0.0,44365374.0,10.94,44420715.0,10.96
ELECTCAST,2018-11-27 17:00:00,2018-11-27,2018-11-26,2018-11-26,Promoter Group,Market Purchase,Buy,Equity Shares,55706.0,0.0,0.0,0.0,0.0,44420715.0,10.96,44476421.0,10.97
ELECTCAST,2018-12-03 17:22:00,2018-12-03,2018-11-27,2018-11-29,Promoter Group,Market Purchase,Buy,Equity Shares,122515.0,0.0,0.0,0.0,0.0,44476421.0,10.97,44598936.0,11.0
ELECTCAST,2018-12-07 16:43:00,2018-12-07,2018-11-30,2018-12-05,Promoter Group,Market Purchase,Buy,Equity Shares,80000.0,0.0,0.0,0.0,0.0,44598936.0,11.0,44678936.0,11.02
ELECTCAST,2019-02-07 15:04:00,2019-02-06,2019-02-04,2019-02-05,Promoter Group,Market Purchase,Buy,Equity Shares,70347.0,0.0,0.0,0.0,0.0,33631324.0,8.29,33701671.0,8.31
ELECTCAST,2019-02-09 12:27:00,2019-02-08,2019-02-06,2019-02-07,Promoter Group,Market Purchase,Buy,Equity Shares,65000.0,0.0,0.0,0.0,0.0,33701671.0,8.31,33766671.0,8.33
ELECTCAST,2019-02-13 15:21:00,2019-02-12,2019-02-08,2019-02-11,Promoter Group,Market Purchase,Buy,Equity Shares,94874.0,0.0,0.0,0.0,0.0,33766671.0,8.33,33861545.0,8.35
