symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GDL,2015-12-17 10:33:00,2015-12-16,2015-12-15,2015-12-15,Promoters,Market Sale,Sell,Equity Shares,300000.0,0.0,0.0,0.0,0.0,300000.0,0.28,,
GDL,2016-10-18 13:39:00,2016-10-17,2016-10-14,2016-10-14,Promoters,Inter-se-Transfer,Sell,Equity Shares,700000.0,0.0,0.0,0.0,0.0,2750000.0,2.53,2050000.0,1.89
GDL,2016-10-18 13:42:00,2016-10-17,2016-10-14,2016-10-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,700000.0,0.0,0.0,0.0,0.0,24200000.0,22.25,24900000.0,22.9
GDL,2016-10-26 13:11:00,2016-10-24,2016-10-21,2016-10-21,Promoters,Inter-se-Transfer,Sell,Equity Shares,1650000.0,0.0,0.0,0.0,0.0,2050000.0,1.89,400000.0,0.37
GDL,2017-09-08 14:39:00,2017-09-08,2017-09-06,2017-09-06,Promoters,Market Purchase,Buy,Equity Shares,420000.0,0.0,0.0,0.0,0.0,400000.0,0.37,820000.0,0.75
GDL,2017-09-08 14:39:00,2017-09-08,2017-09-06,2017-09-06,Promoter Group,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,100000.0,0.09,300000.0,0.28
GDL,2017-09-08 14:39:00,2017-09-08,2017-09-06,2017-09-06,Immediate relative,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,100000.0,0.09,300000.0,0.28
GDL,2017-09-08 14:39:00,2017-09-08,2017-09-06,2017-09-06,Promoter Group,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,100000.0,0.09,300000.0,0.28
GDL,2017-10-18 15:34:00,2017-10-18,2017-10-17,2017-10-17,Promoters,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,820000.0,0.75,830000.0,0.76
GDL,2018-02-21 12:04:00,2018-02-21,2018-02-20,2018-02-20,Promoters,Market Purchase,Buy,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,830000.0,0.76,1830000.0,1.68
GDL,2018-02-23 12:00:00,2018-02-23,2018-02-21,2018-02-21,Promoters,Market Purchase,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,1830000.0,1.68,2430000.0,2.23
GDL,2018-02-26 15:21:00,2018-02-26,2018-02-23,2018-02-23,Promoters,Market Purchase,Buy,Equity Shares,219361.0,0.0,0.0,0.0,0.0,2430000.0,2.23,2649361.0,2.24
GDL,2018-03-19 11:51:00,2018-03-19,2018-03-16,2018-03-16,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,50375.0,0.05,100375.0,0.09
GDL,2018-03-19 13:10:00,2018-03-19,2018-03-16,2018-03-16,Promoters,Market Purchase,Buy,Equity Shares,1000639.0,0.0,0.0,0.0,0.0,2649361.0,2.44,3650000.0,3.36
GDL,2018-03-23 13:11:00,2018-03-23,2018-03-22,2018-03-22,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,100375.0,0.09,110375.0,0.1
GDL,2018-03-28 14:57:00,2018-03-28,2018-03-26,2018-03-26,Director,Market Purchase,Buy,Equity Shares,140000.0,0.0,0.0,0.0,0.0,3650000.0,3.36,3790000.0,3.49
GDL,2018-03-28 14:57:00,2018-03-28,2018-03-26,2018-03-26,Director,Market Purchase,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,300000.0,0.28,320000.0,0.29
GDL,2018-03-28 14:57:00,2018-03-28,2018-03-26,2018-03-26,Promoter Group,Market Purchase,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,300000.0,0.28,340000.0,0.31
GDL,2018-04-17 05:50:00,2018-04-16,2018-04-16,2018-04-16,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,9625.0,0.0,0.0,0.0,0.0,110375.0,0.1,120000.0,0.11
GDL,2018-04-27 13:06:00,2018-04-27,2018-04-26,2018-04-26,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,120000.0,0.11,150000.0,0.14
GDL,2018-04-30 15:51:00,2018-04-30,2018-04-27,2018-04-27,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,150000.0,0.14,160000.0,0.15
GDL,2018-05-02 12:02:00,2018-05-02,2018-04-30,2018-04-30,Promoter Group,Market Purchase,Buy,Equity Shares,125000.0,0.0,0.0,0.0,0.0,1650000.0,1.52,1775000.0,1.63
GDL,2018-05-02 12:02:00,2018-05-02,2018-04-27,2018-04-27,Director,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,3790000.0,3.49,3990000.0,3.67
GDL,2018-05-02 12:02:00,2018-05-02,2018-04-27,2018-04-27,Director,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,300000.0,0.28,400000.0,0.37
GDL,2018-05-05 14:17:00,2018-05-05,2018-05-04,2018-05-04,Director,Market Purchase,Buy,Equity Shares,425000.0,0.0,0.0,0.0,0.0,3990000.0,3.67,4415000.0,4.06
GDL,2018-06-04 17:19:00,2018-05-31,2018-05-30,2018-05-30,Other,Others,Buy,Equity Shares,23625.0,0.0,0.0,0.0,0.0,100.0,0.0,23725.0,0.02
GDL,2018-06-07 11:42:00,2018-06-06,2018-06-06,2018-06-06,Other,Market Purchase,Buy,Equity Shares,26275.0,0.0,0.0,0.0,0.0,23725.0,0.02,50000.0,0.05
GDL,2018-06-11 14:23:00,2018-06-11,2018-06-08,2018-06-08,Other,Market Purchase,Buy,Equity Shares,300000.0,0.0,0.0,0.0,0.0,50000.0,0.05,350000.0,0.28
GDL,2018-10-01 16:25:00,2018-10-01,2018-09-28,2018-09-28,Other,Market Purchase,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,350000.0,0.32,380000.0,0.35
GDL,2018-11-03 19:00:00,2018-11-03,2018-11-02,2018-11-02,Director,Market Purchase,Buy,Equity Shares,35000.0,0.0,0.0,0.0,0.0,400000.0,0.37,435000.0,0.4
GDL,2018-11-12 11:48:00,2018-11-12,2018-11-07,2018-11-07,Director,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,320000.0,0.29,330000.0,0.3
GDL,2018-11-12 11:48:00,2018-11-12,2018-11-07,2018-11-07,Immediate relative,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,340000.0,0.31,350000.0,0.32
GDL,2018-11-12 11:48:00,2018-11-12,2018-11-07,2018-11-07,Promoter Group,Market Purchase,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,1775000.0,1.63,1805000.0,1.66
GDL,2018-11-12 11:48:00,2018-11-12,2018-11-07,2018-11-07,Director,Market Purchase,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,435000.0,0.4,445000.0,0.41
GDL,2018-11-12 18:14:00,2018-11-12,2018-11-07,2018-11-07,Other,Market Purchase,Buy,Equity Shares,11000.0,0.0,0.0,0.0,0.0,380000.0,0.35,391000.0,0.36
GDL,2018-11-13 11:27:00,2018-11-13,2018-11-09,2018-11-12,Director,Market Purchase,Buy,Equity Shares,64998.0,0.0,0.0,0.0,0.0,445000.0,0.41,509998.0,0.47
GDL,2019-05-28 12:37:00,2019-05-28,2019-05-24,2019-05-24,Promoters,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,1805000.0,1.66,2005000.0,1.84
