symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GESHIP,2016-05-12 18:15:00,2016-05-10,2016-05-09,2016-05-09,Director,Inter-se-Transfer,Sell,Equity Shares,9000.0,0.0,0.0,0.0,0.0,14828490.0,9.83,14819490.0,9.83
GESHIP,2016-05-20 18:27:00,2016-05-19,2016-05-17,2016-05-17,Promoters,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,100832.0,0.07,95832.0,0.06
GESHIP,2016-05-20 18:27:00,2016-05-19,2016-05-17,2016-05-18,Promoters,Market Sale,Sell,Equity Shares,1230.0,0.0,0.0,0.0,0.0,250038.0,0.17,248808.0,0.17
GESHIP,2017-02-10 12:07:00,2017-02-08,2017-02-07,2017-02-07,Promoters,Market Sale,Sell,Equity Shares,18159.0,0.0,0.0,0.0,0.0,1160659.0,0.77,1142500.0,0.76
GESHIP,2017-02-10 12:23:00,2017-02-08,2017-02-07,2017-02-07,Promoters,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,450000.0,0.3,447500.0,0.29
GESHIP,2017-02-10 12:23:00,2017-02-08,2017-02-07,2017-02-07,Promoters,Market Sale,Sell,Equity Shares,7500.0,0.0,0.0,0.0,0.0,447500.0,0.29,440000.0,0.29
GESHIP,2017-02-13 15:21:00,2017-02-10,2017-02-09,2017-02-09,Promoters,Market Sale,Sell,Equity Shares,11581.0,0.0,0.0,0.0,0.0,111580.0,0.07,99999.0,0.066
GESHIP,2017-02-13 15:27:00,2017-02-10,2017-02-10,2017-02-10,Promoters,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,1130000.0,0.75,1120000.0,0.74
GESHIP,2017-02-13 15:27:00,2017-02-10,2017-02-09,2017-02-09,Promoters,Market Sale,Sell,Equity Shares,12500.0,0.0,0.0,0.0,0.0,1142500.0,0.76,1130000.0,0.75
GESHIP,2017-02-14 12:06:00,2017-02-13,2017-02-10,2017-02-10,Promoters,Market Sale,Sell,Equity Shares,21907.0,0.0,0.0,0.0,0.0,99999.0,0.066,78092.0,0.052
GESHIP,2017-02-15 14:30:00,2017-02-14,2017-02-13,2017-02-13,Promoters,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,1120000.0,0.74,1110000.0,0.74
