symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GITANJALI,2016-01-18 15:56:00,2016-01-15,2016-01-13,2016-01-13,Promoters,Market Purchase,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1335167.0,1.3
GITANJALI,2016-01-18 19:24:00,2016-01-18,2016-01-14,2016-01-15,Promoters,Market Purchase,Buy,Equity Shares,31302.0,0.0,0.0,0.0,0.0,1335167.0,1.3,1366469.0,1.33
GITANJALI,2016-01-19 10:20:00,2016-01-18,2016-01-14,2016-01-15,Promoters,Market Purchase,Buy,Equity Shares,31302.0,0.0,0.0,0.0,0.0,1335167.0,1.3,1366469.0,1.33
GITANJALI,2016-02-02 19:19:00,2016-02-02,2016-02-01,2016-02-01,Promoters,Market Purchase,Buy,Equity Shares,4500.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1309667.0,1.28
GITANJALI,2016-02-02 20:04:00,2016-02-01,2016-01-28,2016-01-28,Promoters,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1330167.0,1.3
GITANJALI,2016-02-03 09:04:00,2016-02-01,2016-01-28,2016-01-28,Promoters,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1330167.0,1.3
GITANJALI,2016-02-04 09:15:00,2016-02-03,2016-02-02,2016-02-02,Promoters,Market Purchase,Buy,Equity Shares,27161.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1332328.0,1.3
GITANJALI,2016-02-08 17:15:00,2016-02-05,2016-02-04,2016-02-04,Promoters,Market Purchase,Buy,Equity Shares,2057.0,0.0,0.0,0.0,0.0,1305167.0,1.27,1307224.0,1.28
GITANJALI,2016-06-17 17:47:00,2016-06-17,2016-06-16,2016-06-16,Promoters,-,Buy,Equity Shares,46000.0,0.0,0.0,0.0,0.0,1305167.0,1.2,1351167.0,1.24
GITANJALI,2016-09-07 17:10:00,2016-09-07,2016-09-02,2016-09-02,Promoters,Off Market,Buy,Equity Shares,121600.0,0.0,0.0,0.0,0.0,30768018.0,25.94,30889618.0,26.04
GITANJALI,2016-10-21 16:21:00,2016-10-21,2016-10-19,2016-10-19,Promoter Group,Off Market,Buy,Equity Shares,729702.0,0.0,0.0,0.0,0.0,1351167.0,1.14,2080869.0,1.75
GITANJALI,2016-10-27 15:55:00,2016-10-27,2016-10-25,2016-10-25,Promoter Group,Off Market,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,2080869.0,1.75,2093369.0,1.76
GITANJALI,2016-11-04 11:27:00,2016-11-04,2016-11-02,2016-11-02,Promoter Group,Off Market,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,2093369.0,1.76,2105869.0,1.77
GITANJALI,2016-11-07 16:59:00,2016-11-07,2016-11-02,2016-11-02,Promoter Group,Off Market,Buy,Equity Shares,518.0,0.0,0.0,0.0,0.0,2105869.0,1.78,2106387.0,1.78
GITANJALI,2016-11-25 13:00:00,2016-11-25,2016-11-23,2016-11-23,Promoter Group,Off Market,Buy,Equity Shares,37000.0,0.0,0.0,0.0,0.0,2106387.0,1.78,2143387.0,1.81
GITANJALI,2017-01-02 15:51:00,2017-01-02,2016-12-31,2016-12-31,Promoter Group,Off Market,Buy,Equity Shares,61502.0,0.0,0.0,0.0,0.0,2143387.0,1.81,2204889.0,1.86
GITANJALI,2017-03-22 17:05:00,2017-03-22,2017-03-20,2017-03-20,Promoters,Off Market,Buy,Equity Shares,56838.0,0.0,0.0,0.0,0.0,30889618.0,26.04,30946456.0,26.09
GITANJALI,2018-02-06 11:00:00,2018-01-25,2018-01-24,2018-01-24,Promoters,Off Market,Buy,Equity Shares,1334000.0,0.0,0.0,0.0,0.0,27051056.0,22.81,28385056.0,23.93
