symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GODREJCP,2016-10-21 18:28:00,2016-10-20,2016-06-02,2016-06-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,900.0,0.0,0.0,0.0,0.0,7500.0,0.0,6600.0,0.0
GODREJCP,2016-12-22 16:06:00,2016-12-22,2016-12-20,2016-12-20,Promoter Group,Off Market,Buy,Equity Shares,4479500.0,0.0,0.0,0.0,0.0,,0.0,4479500.0,1.32
GODREJCP,2016-12-22 16:06:00,2016-12-22,2016-12-20,2016-12-20,Promoters,Off Market,Sell,Equity Shares,4479500.0,0.0,0.0,0.0,0.0,4479524.0,1.32,24.0,0.0
GODREJCP,2017-02-23 17:15:00,2017-02-23,2017-02-22,2017-02-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1462.0,0.0,0.0,0.0,0.0,2806.0,0.0,1344.0,0.0
GODREJCP,2017-03-31 16:29:00,2017-03-31,2017-03-30,2017-03-30,Promoters,Inter-se-Transfer,Sell,Equity Shares,93500000.0,0.0,0.0,0.0,0.0,118503815.0,34.79,25003815.0,7.34
GODREJCP,2017-03-31 16:29:00,2017-03-30,2017-03-30,2017-03-30,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,93500000.0,0.0,0.0,0.0,0.0,,0.0,93500000.0,27.45
GODREJCP,2017-09-08 16:40:00,2017-09-08,2017-08-23,2017-09-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2688.0,0.0,0.0,0.0,0.0,4966.0,0.0,2278.0,0.0
GODREJCP,2017-09-19 11:22:00,2017-09-19,2017-09-18,2017-09-18,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8732.0,0.0,0.0,0.0,0.0,16732.0,0.0,8000.0,0.0
GODREJCP,2018-01-15 10:17:00,2018-01-12,2017-12-28,2017-12-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1450.0,0.0,0.0,0.0,0.0,20450.0,0.0,19000.0,0.0
GODREJCP,2018-03-07 17:11:00,2018-03-07,2018-03-06,2018-03-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2300.0,0.0,0.0,0.0,0.0,23226.0,0.0,20926.0,0.0
GODREJCP,2019-01-02 18:23:00,2019-01-02,2018-12-03,2018-12-31,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3240.0,0.0,0.0,0.0,0.0,30930.0,0.0,27690.0,0.0
GODREJCP,2019-03-08 14:53:00,2019-03-07,2019-03-06,2019-03-06,Promoter Group,Gift,Sell,Equity Shares,370000.0,0.0,0.0,0.0,0.0,3213162.0,0.31,2843162.0,0.28
GODREJCP,2019-03-08 14:53:00,2019-03-07,2019-03-06,2019-03-06,Promoter Group,Gift,Buy,Equity Shares,370000.0,0.0,0.0,0.0,0.0,,0.0,370000.0,0.04
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Director,Gift,Sell,Equity Shares,2843100.0,0.0,0.0,0.0,0.0,2843162.0,0.28,62.0,0.0
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-23,2019-03-23,Director,Gift,Sell,Equity Shares,2843100.0,0.0,0.0,0.0,0.0,3213183.0,0.31,370083.0,0.04
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,2843100.0,0.0,0.0,0.0,0.0,,0.0,2843100.0,0.28
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-23,2019-03-23,Promoter Group,Gift,Buy,Equity Shares,2843100.0,0.0,0.0,0.0,0.0,,0.0,2843100.0,0.28
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,2752299.0,0.0,0.0,0.0,0.0,,0.0,2752299.0,0.27
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,1312429.0,0.0,0.0,0.0,0.0,,0.0,1312429.0,0.13
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,1312441.0,0.0,0.0,0.0,0.0,,0.0,1312441.0,0.13
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Sell,Equity Shares,2624870.0,0.0,0.0,0.0,0.0,3086184.0,0.3,461314.0,0.05
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Director,Gift,Sell,Equity Shares,2752299.0,0.0,0.0,0.0,0.0,2752362.0,0.27,63.0,0.0
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Sell,Equity Shares,4820400.0,0.0,0.0,0.0,0.0,4820424.0,0.47,24.0,0.0
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Sell,Equity Shares,2901200.0,0.0,0.0,0.0,0.0,2901270.0,0.28,70.0,0.0
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Sell,Equity Shares,2901200.0,0.0,0.0,0.0,0.0,2901264.0,0.28,64.0,0.0
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,2901200.0,0.0,0.0,0.0,0.0,,0.0,2901200.0,0.28
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,2901200.0,0.0,0.0,0.0,0.0,,0.0,2901200.0,0.28
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-22,2019-03-22,Promoter Group,Gift,Buy,Equity Shares,4820400.0,0.0,0.0,0.0,0.0,,0.0,4820400.0,0.47
GODREJCP,2019-03-27 19:04:00,2019-03-26,2019-03-23,2019-03-23,Director,Gift,Sell,Equity Shares,2843100.0,0.0,0.0,0.0,0.0,3213225.0,0.31,370125.0,0.04
GODREJCP,2019-04-02 16:51:00,2019-03-29,2019-03-29,2019-03-29,Promoter Group,Market Purchase,Buy,Equity Shares,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
GODREJCP,2019-04-02 16:51:00,2019-03-29,2019-03-28,2019-03-28,Promoter Group,Market Purchase,Buy,Equity Shares,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
GODREJCP,2019-04-02 16:51:00,2019-03-29,2019-03-28,2019-03-28,Promoter Group,Market Purchase,Buy,Equity Shares,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0
