symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GRAPHITE,2016-03-31 10:49:00,2016-03-29,2016-03-23,2016-03-23,Promoters,Inter-se-Transfer,Sell,Equity Shares,5840000.0,0.0,0.0,0.0,0.0,9415450.0,4.82,3575450.0,1.831
GRAPHITE,2016-03-31 10:49:00,2016-03-29,2016-03-23,2016-03-23,Promoters,Inter-se-Transfer,Buy,Equity Shares,5840000.0,0.0,0.0,0.0,0.0,113739419.0,58.216,119579419.0,61.205
GRAPHITE,2016-03-31 19:08:00,2016-03-30,2016-03-28,2016-03-28,Promoters,Market Sale,Sell,Equity Shares,113673.0,0.0,0.0,0.0,0.0,3575450.0,1.831,3461777.0,1.781
GRAPHITE,2016-04-01 19:01:00,2016-03-31,2016-03-29,2016-03-29,Promoters,Market Sale,Sell,Equity Shares,64936.0,0.0,0.0,0.0,0.0,1461777.0,0.748,1396841.0,0.715
GRAPHITE,2016-04-01 19:01:00,2016-03-31,2016-03-29,2016-03-29,Promoters,Inter-se-Transfer,Sell,Equity Shares,2000000.0,0.0,0.0,0.0,0.0,3461777.0,1.772,1461777.0,0.748
GRAPHITE,2016-04-01 19:01:00,2016-03-31,2016-03-29,2016-03-29,Promoters,Inter-se-Transfer,Buy,Equity Shares,2000000.0,0.0,0.0,0.0,0.0,2000000.0,1.02,4000000.0,2.04
GRAPHITE,2016-04-04 12:50:00,2016-04-01,2016-03-30,2016-03-30,Promoters,Inter-se-Transfer,Sell,Equity Shares,1396841.0,0.0,0.0,0.0,0.0,1396841.0,0.715,,0.0
GRAPHITE,2016-04-04 12:50:00,2016-04-01,2016-03-30,2016-03-30,Promoters,Inter-se-Transfer,Buy,Equity Shares,1396841.0,0.0,0.0,0.0,0.0,259545.0,0.133,1656386.0,0.848
GRAPHITE,2020-04-03 20:36:00,2020-03-31,2020-03-27,2020-03-27,Promoters,Market Purchase,Buy,Equity Shares,15529.0,0.0,0.0,0.0,0.0,119671028.0,61.25,119686557.0,61.26
GRAPHITE,2020-04-03 20:36:00,2020-03-31,2020-03-27,2020-03-27,Promoters,Market Purchase,Buy,Equity Shares,91609.0,0.0,0.0,0.0,0.0,119579419.0,61.2,119671028.0,61.25
GRAPHITE,2020-04-07 18:17:00,2020-04-01,2020-03-30,2020-03-30,Promoters,Market Purchase,Buy,Equity Shares,1636.0,0.0,0.0,0.0,0.0,119707033.0,61.27,119708669.0,61.27
GRAPHITE,2020-04-07 18:17:00,2020-04-01,2020-03-30,2020-03-30,Promoters,Market Purchase,Buy,Equity Shares,20476.0,0.0,0.0,0.0,0.0,119686557.0,61.26,119707033.0,61.27
GRAPHITE,2020-04-08 17:18:00,2020-04-03,2020-03-31,2020-03-31,Promoters,Market Purchase,Buy,Equity Shares,113665.0,0.0,0.0,0.0,0.0,119708669.0,61.27,119822334.0,61.33
GRAPHITE,2020-04-08 17:18:00,2020-04-03,2020-03-31,2020-03-31,Promoters,Market Purchase,Buy,Equity Shares,1002.0,0.0,0.0,0.0,0.0,119822334.0,61.33,119823336.0,61.33
GRAPHITE,2021-04-05 15:41:00,2021-04-05,2021-04-05,2021-04-05,Promoters,Gift,Sell,Equity Shares,248545.0,0.0,0.0,0.0,0.0,1656386.0,0.85,1407841.0,0.72
GRAPHITE,2021-04-05 15:57:00,2021-04-05,2021-04-05,2021-04-05,Promoter Group,Gift,Buy,Equity Shares,248545.0,0.0,0.0,0.0,0.0,100.0,0.13,248645.0,0.13
GRAPHITE,2021-08-06 13:02:00,2021-08-05,2021-08-05,2021-08-05,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,1396841.0,0.0,0.0,0.0,0.0,1407841.0,0.72,11000.0,0.01
GRAPHITE,2021-08-06 13:10:00,2021-08-06,2021-08-05,2021-08-05,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,1396841.0,0.0,0.0,0.0,0.0,,0.0,1396841.0,0.71
