symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
GUJNRECOKE,2016-03-15 16:09:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Conversion of security,Buy,Equity Shares,10000000.0,0.0,0.0,0.0,0.0,20000000.0,2.89,30000000.0,3.99
GUJNRECOKE,2016-03-15 16:09:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Conversion of security,Buy,Equity Shares,15000000.0,0.0,0.0,0.0,0.0,20000000.0,2.89,35000000.0,4.66
GUJNRECOKE,2016-03-15 16:09:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Conversion of security,Buy,Equity Shares,10000000.0,0.0,0.0,0.0,0.0,20000000.0,2.89,30000000.0,3.99
GUJNRECOKE,2016-03-15 16:09:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Conversion of security,Buy,Equity Shares,15000000.0,0.0,0.0,0.0,0.0,20000000.0,2.89,35000000.0,4.66
GUJNRECOKE,2016-03-15 16:09:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Conversion of security,Buy,Equity Shares,10000000.0,0.0,0.0,0.0,0.0,20000000.0,2.89,30000000.0,3.99
GUJNRECOKE,2016-04-05 20:19:00,2016-04-04,2016-04-02,2016-04-02,Promoters,Conversion of security,Buy,Equity Shares,10000000.0,0.0,0.0,0.0,0.0,,0.0,10000000.0,0.78
GUJNRECOKE,2016-04-05 20:19:00,2016-04-04,2016-04-02,2016-04-02,Promoters,Conversion of security,Buy,Equity Shares,15000000.0,0.0,0.0,0.0,0.0,,0.0,15000000.0,1.17
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,10930865.0,0.0,0.0,0.0,0.0,5855007.0,0.0,16785872.0,1.06
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,35955000.0,2.28
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,35955000.0,2.28
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,35000000.0,0.0,40955000.0,2.59
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,7497430.0,0.0,0.0,0.0,0.0,,0.0,7497430.0,0.47
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,7576300.0,0.0,0.0,0.0,0.0,,0.0,7576300.0,0.48
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,22394925.0,0.0,0.0,0.0,0.0,10474466.0,0.0,32869391.0,2.08
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,35000000.0,0.0,40955000.0,2.59
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,10305680.0,0.0,0.0,0.0,0.0,,0.0,10305680.0,0.65
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,30000000.0,0.0,35955000.0,2.28
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,50000000.0,0.0,55955000.0,3.54
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,15973685.0,0.0,0.0,0.0,0.0,3111512.0,0.0,19085197.0,1.21
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,12108000.0,0.0,0.0,0.0,0.0,,0.0,12108000.0,0.77
GUJNRECOKE,2016-05-27 17:53:00,2016-05-24,2016-05-23,2016-05-23,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,782090.0,0.0,0.0,0.0,0.0,77326311.0,0.0,78108401.0,4.94
GUJNRECOKE,2016-06-17 18:01:00,2016-02-12,2016-02-05,2016-02-11,Promoters,-,Sell,Equity Shares,3275000.0,0.0,0.0,0.0,0.0,80601311.0,6.62,77326311.0,6.35
GUJNRECOKE,2016-06-17 18:01:00,2016-01-06,2016-01-04,2016-01-04,Promoters,-,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,87961311.0,9.11,86961311.0,9.01
GUJNRECOKE,2016-06-17 18:01:00,2016-01-11,2016-01-05,2016-01-07,Promoters,-,Sell,Equity Shares,4000000.0,0.0,0.0,0.0,0.0,86961311.0,9.01,82961311.0,8.59
GUJNRECOKE,2016-06-17 18:01:00,2016-01-26,2016-01-19,2016-01-22,Promoters,-,Sell,Equity Shares,2360000.0,0.0,0.0,0.0,0.0,82961311.0,8.59,80601311.0,8.35
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,35955000.0,2.24,30000000.0,1.87
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,40955000.0,2.55,35000000.0,2.18
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,35955000.0,2.24,30000000.0,1.87
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,40955000.0,2.55,35000000.0,0.0
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,35730000.0,0.0,0.0,0.0,0.0,64108401.0,3.99,99838401.0,6.22
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,35955000.0,2.24,30000000.0,1.87
GUJNRECOKE,2016-09-12 16:29:00,2016-09-10,2016-09-09,2016-09-09,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,5955000.0,0.0,0.0,0.0,0.0,55955000.0,3.48,50000000.0,3.11
