symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
HAVELLS,2016-06-22 09:14:00,2016-06-17,2016-06-16,2016-06-16,Other,ESOP,Sell,Equity Shares,267562.0,0.0,0.0,0.0,0.0,309522.0,0.05,41960.0,0.007
HAVELLS,2016-06-22 09:14:00,2016-06-17,2016-06-16,2016-06-16,Other,ESOP,Buy,Equity Shares,267562.0,0.0,0.0,0.0,0.0,41960.0,0.007,309522.0,0.05
HAVELLS,2017-03-29 12:27:00,2017-03-29,2017-03-29,2017-03-29,Promoters,Market Sale,Sell,Equity Shares,13320000.0,0.0,0.0,0.0,0.0,13320000.0,2.13,,0.0
HAVELLS,2017-03-29 12:27:00,2017-03-29,2017-03-29,2017-03-29,Promoters,Market Sale,Sell,Equity Shares,5542400.0,0.0,0.0,0.0,0.0,5542400.0,0.89,,0.0
HAVELLS,2017-03-29 12:27:00,2017-03-29,2017-03-29,2017-03-29,Immediate relative,Market Purchase,Buy,Equity Shares,18862400.0,0.0,0.0,0.0,0.0,,0.0,18862400.0,3.02
HAVELLS,2017-06-20 17:41:00,2017-06-16,2017-06-14,2017-06-14,Other,ESOP,Buy,Equity Shares,293131.0,0.0,0.0,0.0,0.0,41960.0,0.0067,335091.0,0.0536
HAVELLS,2017-11-10 12:22:00,2017-11-09,2017-11-08,2017-11-08,Director,Market Sale,Sell,Equity Shares,49750.0,0.0,0.0,0.0,0.0,49750.0,0.01,,0.0
HAVELLS,2017-11-22 15:24:00,2017-11-22,2017-11-21,2017-11-21,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3437.0,0.0,0.0,0.0,0.0,5435.0,0.0,1998.0,0.0
HAVELLS,2018-01-30 11:53:00,2018-01-30,2018-01-29,2018-01-29,Key Managerial Personnel,Market Sale,Sell,Equity Shares,5800.0,0.0,0.0,0.0,0.0,7739.0,0.0,1939.0,0.0
HAVELLS,2018-01-30 11:53:00,2018-01-30,2018-01-29,2018-01-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3124.0,0.0,0.0,0.0,0.0,4301.0,0.0,1177.0,0.0
HAVELLS,2018-01-31 11:00:00,2018-01-31,2018-01-31,2018-01-31,Promoters,Market Sale,Sell,Equity Shares,4000000.0,0.0,0.0,0.0,0.0,32650800.0,5.22,28650800.0,4.58
HAVELLS,2018-01-31 11:00:00,2018-01-31,2018-01-31,2018-01-31,Promoters,Market Sale,Sell,Equity Shares,8500000.0,0.0,0.0,0.0,0.0,39450240.0,6.31,30950240.0,4.95
HAVELLS,2018-01-31 16:16:00,2018-01-31,2018-01-29,2018-01-29,Director,Market Sale,Sell,Equity Shares,138856.0,0.0,0.0,0.0,0.0,1439544.0,0.23,1300688.0,0.21
HAVELLS,2018-06-21 17:57:00,2018-06-21,2018-06-21,2018-06-21,Other,ESOP,Buy,Equity Shares,324437.0,0.0,0.0,0.0,0.0,41960.0,0.01,366397.0,0.06
HAVELLS,2018-07-16 16:32:00,2018-07-14,2018-07-12,2018-07-12,Promoters,Gift,Sell,Equity Shares,3898500.0,0.0,0.0,0.0,0.0,370891760.0,59.33,366993260.0,58.7
HAVELLS,2018-07-16 16:32:00,2018-07-14,2018-07-12,2018-07-12,Promoters,Gift,Sell,Equity Shares,1566160.0,0.0,0.0,0.0,0.0,372457920.0,59.58,370891760.0,59.33
HAVELLS,2018-07-16 16:32:00,2018-07-14,2018-07-12,2018-07-12,Promoters,Gift,Buy,Equity Shares,11797340.0,0.0,0.0,0.0,0.0,360660580.0,57.69,372457920.0,59.58
HAVELLS,2018-07-16 16:32:00,2018-07-14,2018-07-12,2018-07-12,Promoters,Gift,Sell,Equity Shares,11797340.0,0.0,0.0,0.0,0.0,372457920.0,59.58,360660580.0,57.69
HAVELLS,2018-07-16 16:32:00,2018-07-14,2018-07-12,2018-07-12,Promoters,Gift,Buy,Equity Shares,5464660.0,0.0,0.0,0.0,0.0,366993260.0,58.7,372457920.0,59.58
HAVELLS,2018-07-25 17:34:00,2018-07-25,2018-07-24,2018-07-24,Director,Market Sale,Sell,Equity Shares,600000.0,0.0,0.0,0.0,0.0,1400688.0,0.22,800688.0,0.13
HAVELLS,2018-07-25 17:34:00,2018-07-25,2018-07-24,2018-07-24,Immediate relative,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,252000.0,0.04,52000.0,0.01
HAVELLS,2018-08-20 14:51:00,2018-08-20,2018-08-17,2018-08-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,8337.0,0.0013,4337.0,0.0007
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Buy,Equity Shares,44978800.0,0.0,0.0,0.0,0.0,18862400.0,3.02,63841200.0,10.21
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Sell,Equity Shares,14028560.0,0.0,0.0,0.0,0.0,14028560.0,2.24,,0.0
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Sell,Equity Shares,30950240.0,0.0,0.0,0.0,0.0,30950240.0,4.95,,0.0
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Buy,Equity Shares,36432180.0,0.0,0.0,0.0,0.0,,0.0,36432180.0,5.82
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Sell,Equity Shares,7781380.0,0.0,0.0,0.0,0.0,7781380.0,1.24,,0.0
HAVELLS,2018-12-20 14:20:00,2018-12-19,2018-12-18,2018-12-18,Promoters,Off Market,Sell,Equity Shares,28650800.0,0.0,0.0,0.0,0.0,28650800.0,4.58,,0.0
HAVELLS,2018-12-21 18:24:00,2018-12-21,2018-12-19,2018-12-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,4337.0,0.0,2337.0,0.0
HAVELLS,2018-12-28 17:36:00,2018-12-28,2018-12-27,2018-12-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2227.0,0.0,0.0,0.0,0.0,2990.0,0.0,763.0,0.0
HAVELLS,2019-01-25 18:52:00,2019-01-25,2019-01-23,2019-01-23,Promoters,Off Market,Buy,Equity Shares,13584000.0,0.0,0.0,0.0,0.0,,0.0,13584000.0,2.17
HAVELLS,2019-01-25 18:52:00,2019-01-25,2019-01-23,2019-01-23,Promoters,Off Market,Sell,Equity Shares,13584000.0,0.0,0.0,0.0,0.0,13584000.0,2.17,,0.0
HAVELLS,2019-06-24 16:06:00,2019-06-24,2019-06-21,2019-06-21,Promoters,Others,Sell,Equity Shares,13584000.0,0.0,0.0,0.0,0.0,13584000.0,2.17,,0.0
HAVELLS,2019-06-24 16:06:00,2019-06-24,2019-06-21,2019-06-21,Promoters,Others,Buy,Equity Shares,13584000.0,0.0,0.0,0.0,0.0,63841200.0,10.21,77425200.0,12.38
HAVELLS,2019-07-09 11:37:00,2019-07-09,2019-07-09,2019-07-09,Other,ESOP,Buy,Equity Shares,329924.0,0.0,0.0,0.0,0.0,41960.0,0.01,371884.0,0.06
HAVELLS,2019-09-27 10:46:00,2019-09-26,2019-09-24,2019-09-24,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,5625.0,0.0,3125.0,0.0
HAVELLS,2020-03-18 18:56:00,2020-03-16,2020-03-13,2020-03-13,Employees/Designated Employees,Market Sale,Sell,Equity Shares,6254.0,0.0,0.0,0.0,0.0,7639.0,0.0,1385.0,0.0
HAVELLS,2020-03-19 23:34:00,2020-03-19,2020-03-18,2020-03-18,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3202.0,0.0,0.0,0.0,0.0,7225.0,0.0,4023.0,0.0
HAVELLS,2020-05-09 23:17:00,2020-05-08,2020-05-08,2020-05-08,Other,ESOP,Buy,Equity Shares,210172.0,0.0,0.0,0.0,0.0,41960.0,0.01,252132.0,0.04
HAVELLS,2020-05-21 23:22:00,2020-05-20,2020-05-18,2020-05-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5500.0,0.0,0.0,0.0,0.0,225994.0,0.04,220494.0,0.04
HAVELLS,2020-05-23 23:32:00,2020-05-22,2020-05-21,2020-05-22,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4500.0,0.0,0.0,0.0,0.0,220494.0,0.04,215994.0,0.03
HAVELLS,2020-11-05 12:27:00,2020-11-04,2020-11-02,2020-11-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4435.0,0.0,0.0,0.0,0.0,6539.0,0.0,2104.0,0.0
HAVELLS,2020-11-09 17:32:00,2020-11-07,2020-11-05,2020-11-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,8235.0,0.0,6235.0,0.0
HAVELLS,2020-11-09 17:32:00,2020-11-09,2020-11-09,2020-11-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1276.0,0.0,0.0,0.0,0.0,5080.0,0.0,3804.0,0.0
HAVELLS,2020-11-10 21:45:00,2020-11-10,2020-11-05,2020-11-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,5463.0,0.0,2963.0,0.0
HAVELLS,2020-11-10 21:45:00,2020-11-10,2020-11-09,2020-11-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1400.0,0.0,0.0,0.0,0.0,2611.0,0.0,1211.0,0.0
HAVELLS,2020-11-10 21:45:00,2020-11-10,2020-11-10,2020-11-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,12231.0,0.0,9731.0,0.0
HAVELLS,2020-11-20 15:40:00,2020-11-19,2020-11-17,2020-11-18,Key Managerial Personnel,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,5221.0,0.01,2221.0,0.0
HAVELLS,2020-11-20 15:40:00,2020-11-20,2020-11-18,2020-11-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2131.0,0.0,0.0,0.0,0.0,3352.0,0.0,1221.0,0.0
HAVELLS,2021-01-29 23:49:00,2021-01-28,2021-01-27,2021-01-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,3345.0,0.0,2345.0,0.0
HAVELLS,2021-01-29 23:49:00,2021-01-28,2021-01-27,2021-01-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1250.0,0.0,0.0,0.0,0.0,8254.0,0.0,7004.0,0.0
HAVELLS,2021-02-04 17:07:00,2021-02-02,2021-02-02,2021-02-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1138.0,0.0,0.0,0.0,0.0,2293.0,0.0,1155.0,0.0
HAVELLS,2021-02-10 17:05:00,2021-02-09,2021-02-09,2021-02-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,3041.0,0.0,2041.0,0.0
HAVELLS,2021-02-18 17:41:00,2021-02-17,2021-02-17,2021-02-17,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,3147.0,0.0,2147.0,0.0
HAVELLS,2021-02-26 18:19:00,2021-02-25,2021-02-23,2021-02-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1500.0,0.0,0.0,0.0,0.0,245994.0,0.04,244494.0,0.04
HAVELLS,2021-06-24 19:10:00,2021-06-23,2021-06-23,2021-06-23,Other,ESOP,Buy,Equity Shares,290061.0,0.0,0.0,0.0,0.0,41960.0,0.01,332021.0,0.05
HAVELLS,2021-06-26 13:19:00,2021-06-25,2021-06-23,2021-06-25,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2043.0,0.0,0.0,0.0,0.0,2557.0,0.0,514.0,0.0
HAVELLS,2021-07-28 17:52:00,2021-07-27,2021-07-26,2021-07-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4500.0,0.0,0.0,0.0,0.0,10550.0,0.0,6050.0,0.0
HAVELLS,2021-07-28 17:52:00,2021-07-27,2021-07-26,2021-07-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7500.0,0.0,0.0,0.0,0.0,314494.0,0.05,306994.0,0.05
HAVELLS,2021-07-30 19:47:00,2021-07-30,2021-07-29,2021-07-29,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2250.0,0.0,0.0,0.0,0.0,306994.0,0.05,304744.0,0.05
