symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ICICIBANK,2015-11-26 11:58:00,2015-11-24,2015-11-20,2015-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,76500.0,0.0,71500.0,0.0
ICICIBANK,2015-11-27 20:45:00,2015-11-18,2015-11-17,2015-11-17,Employees/Designated Employees,ESOP,-,Equity Shares,14000.0,0.0,0.0,0.0,0.0,6000.0,0.0,20000.0,0.0
ICICIBANK,2015-12-01 11:20:00,2015-11-23,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Buy,Equity Shares,650000.0,0.0,0.0,0.0,0.0,391260.0,0.01,1041260.0,0.02
ICICIBANK,2015-12-01 11:53:00,2015-11-24,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Buy,Equity Shares,100500.0,0.0,0.0,0.0,0.0,23896.0,0.0,124396.0,
ICICIBANK,2015-12-01 11:53:00,2015-11-25,2015-11-24,2015-11-24,Employees/Designated Employees,ESOP,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,20000.0,0.0,15000.0,0.0
ICICIBANK,2015-12-01 20:13:00,2015-11-30,2015-11-20,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5500.0,0.0,0.0,0.0,0.0,8505.0,0.0,3005.0,0.0
ICICIBANK,2015-12-01 20:13:00,2015-11-30,2015-10-05,2015-11-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,31450.0,0.0,27450.0,0.0
ICICIBANK,2015-12-01 20:13:00,2015-11-30,2015-11-17,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,35000.0,0.0,31000.0,0.0
ICICIBANK,2015-12-02 13:32:00,2015-12-01,2015-12-01,2015-12-01,Employees/Designated Employees,ESOP,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,,0.0,6000.0,
ICICIBANK,2015-12-03 19:45:00,2015-11-30,2015-11-26,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3400.0,0.0,0.0,0.0,0.0,115125.0,0.0,111725.0,0.0
