symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ICICIPRULI,2016-11-05 10:42:00,2016-11-05,2016-10-05,2016-10-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7820.0,0.0,0.0,0.0,0.0,77794.0,0.0054,69974.0,0.0049
ICICIPRULI,2016-11-11 16:31:00,2016-11-11,2016-11-10,2016-11-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,65616.0,0.0046,61616.0,0.0043
ICICIPRULI,2016-12-16 21:23:00,2016-12-16,2016-12-15,2016-12-15,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8000.0,0.0,0.0,0.0,0.0,69974.0,0.0049,61974.0,0.0043
ICICIPRULI,2016-12-20 15:35:00,2016-12-20,2016-12-19,2016-12-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,16000.0,0.0,0.0,0.0,0.0,61974.0,0.0043,45974.0,0.0032
ICICIPRULI,2016-12-30 18:51:00,2016-12-30,2016-12-30,2016-12-30,Key Managerial Personnel,Market Sale,Sell,Equity Shares,8000.0,0.0,0.0,0.0,0.0,103000.0,0.0071,95000.0,0.0069
ICICIPRULI,2017-01-02 16:56:00,2017-01-02,2017-01-02,2017-01-02,Key Managerial Personnel,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,95000.0,0.0066,85000.0,0.006
ICICIPRULI,2017-01-06 17:27:00,2017-01-05,2017-01-05,2017-01-05,Key Managerial Personnel,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,23300.0,0.0016,13300.0,0.0009
ICICIPRULI,2017-01-06 17:27:00,2017-01-06,2017-01-05,2017-01-05,Key Managerial Personnel,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,85000.0,0.006,80000.0,0.0055
ICICIPRULI,2017-01-09 17:44:00,2017-01-09,2017-01-06,2017-01-06,Key Managerial Personnel,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,108000.0,0.0075,98000.0,0.0068
ICICIPRULI,2017-01-13 18:26:00,2017-01-13,2016-12-19,2016-12-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,22439.0,0.0016,17439.0,0.0012
ICICIPRULI,2017-01-13 18:26:00,2017-01-13,2017-01-05,2017-01-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,17439.0,0.0012,12439.0,0.0008
ICICIPRULI,2017-01-17 17:10:00,2017-01-16,2017-01-04,2017-01-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,4000.0,0.0002,,0.0
ICICIPRULI,2017-01-17 19:33:00,2017-01-17,2017-01-15,2017-01-15,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8000.0,0.0,0.0,0.0,0.0,40750.0,0.0028,32750.0,0.0022
ICICIPRULI,2017-01-30 18:00:00,2017-01-30,2017-01-27,2017-01-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8750.0,0.0,0.0,0.0,0.0,32750.0,0.0022,24000.0,0.0016
ICICIPRULI,2017-01-31 14:23:00,2017-01-30,2017-01-30,2017-01-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,24000.0,0.0,0.0,0.0,0.0,63750.0,0.0044,39750.0,0.0028
