symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
INDIANB,2017-11-28 10:47:00,2017-11-24,2017-11-15,2017-11-20,Promoters,Off Market,Sell,Equity Shares,1106242.0,0.0,0.0,0.0,0.0,394341651.0,82.1,393235409.0,81.87
INDIANB,2017-12-29 19:05:00,2017-12-27,2017-07-03,2017-07-12,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,7200.0,0.0,0.0,0.0,0.0,,0.0,7200.0,0.0
INDIANB,2018-02-14 19:35:00,,,,Director,-,-,,,12000.0,10000.0,4790000.0,4014800.0,,0.0,,
INDIANB,2018-02-26 12:12:00,,,,Director,-,-,,,2000.0,4000.0,763000.0,1549400.0,,0.0,,
INDIANB,2018-02-26 12:12:00,,,,Immediate relative,-,-,,,4000.0,4000.0,1318400.0,1321000.0,,0.0,,
INDIANB,2018-02-26 12:12:00,,,,Immediate relative,-,-,,,2000.0,2000.0,788200.0,741200.0,,0.0,,
INDIANB,2018-06-25 18:29:00,2018-06-21,2018-06-19,2018-06-19,Promoters,Off Market,Sell,Equity Shares,771127.0,0.0,0.0,0.0,0.0,393235409.0,81.87,392464282.0,81.71
INDIANB,2018-07-13 19:25:00,2018-06-21,2018-06-19,2018-06-19,Promoters,Off Market,Sell,EQUITY SHARES,691141.0,0.0,0.0,0.0,0.0,393235409.0,81.87,392544268.0,81.73
INDIANB,2019-02-22 19:18:00,2019-02-20,2019-02-18,2019-02-18,Promoters,Off Market,Sell,Equity Shares,1174631.0,0.0,0.0,0.0,0.0,392544268.0,81.73,391369637.0,81.49
INDIANB,2019-10-15 20:36:00,2019-10-11,2019-10-10,2019-10-10,Promoters,Off Market,Sell,Equity,555568.0,0.0,0.0,0.0,0.0,391369637.0,79.62,390814069.0,79.51
INDIANB,2019-12-05 15:39:00,2019-12-04,2019-12-03,2019-12-03,Promoters,Preferential Offer,Buy,Equity Shares,117265954.0,0.0,0.0,0.0,0.0,390814069.0,79.51,508080023.0,83.46
INDIANB,2026-02-18 19:51:00,2026-02-18,2026-01-27,2026-01-27,-,Market Sale,Sell,Equity Shares,1500.0,0.0,0.0,0.0,0.0,3000.0,0.0,1500.0,0.0
INDIANB,2026-02-18 19:51:00,2026-02-18,2026-01-28,2026-02-18,-,Market Sale,Sell,Equity Shares,1200.0,0.0,0.0,0.0,0.0,1200.0,0.0,,0.0
INDIANB,2026-02-18 19:51:00,2026-02-18,2026-01-28,2026-01-28,-,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,1500.0,0.0,1300.0,0.0
INDIANB,2026-02-18 19:51:00,2026-02-18,2026-02-17,2026-02-17,-,Market Sale,Sell,Equity Shares,300.0,0.0,0.0,0.0,0.0,1300.0,0.0,1000.0,0.0
INDIANB,2026-03-06 18:16:00,2026-03-06,2026-03-02,2026-03-02,-,Market Sale,Sell,Equity Shares,800.0,0.0,0.0,0.0,0.0,1025.0,0.0,225.0,0.0
INDIANB,2026-03-06 18:16:00,2026-03-06,2026-03-04,2026-03-04,-,Market Sale,Sell,Equity Shares,25.0,0.0,0.0,0.0,0.0,225.0,0.0,200.0,0.0
INDIANB,2026-03-06 18:16:00,2026-03-06,2026-02-17,2026-02-17,-,Market Sale,Sell,Equity Shares,536.0,0.0,0.0,0.0,0.0,1561.0,0.0,1025.0,0.0
INDIANB,2026-03-16 20:51:00,2026-03-13,2026-03-11,2026-03-11,-,Market Sale,Sell,Equity Shares,1500.0,0.0,0.0,0.0,0.0,1500.0,0.0,,0.0
INDIANB,2026-03-25 19:56:00,2026-03-25,2026-03-25,2026-03-25,-,Market Sale,Sell,Equity Shares,579.0,0.0,0.0,0.0,0.0,579.0,0.0,,0.0
INDIANB,2026-03-25 19:56:00,2026-03-25,2026-03-19,2026-03-19,-,Market Purchase,Buy,Equity Shares,579.0,0.0,0.0,0.0,0.0,,0.0,579.0,0.0
