symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
INDUSINDBK,2015-11-30 14:56:00,2015-11-27,2015-11-23,2015-11-23,Employees/Designated Employees,ESOP,Sell,Equity Shares,12926.0,0.0,0.0,0.0,0.0,339753.0,0.0,326827.0,0.0
INDUSINDBK,2015-11-30 14:56:00,2015-11-27,2015-11-26,2015-11-26,Employees/Designated Employees,ESOP,Sell,Equity Shares,600.0,0.0,0.0,0.0,0.0,2630.0,0.0,2030.0,0.0
INDUSINDBK,2015-11-30 15:18:00,2015-11-19,2015-11-19,2015-11-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,7400.0,0.0,0.0,0.0,0.0,7400.0,0.0,,0.0
INDUSINDBK,2015-11-30 15:18:00,2015-11-18,2015-11-16,2015-11-16,Employees/Designated Employees,ESOP,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,2000.0,0.0,1800.0,0.0
INDUSINDBK,2015-11-30 15:18:00,2015-11-19,2015-11-19,2015-11-19,Employees/Designated Employees,ESOP,Sell,Equity Shares,18030.0,0.0,0.0,0.0,0.0,18030.0,0.0,,0.0
INDUSINDBK,2015-12-01 09:04:00,2015-11-23,2015-11-19,2015-11-19,Employees/Designated Employees,ESOP,Sell,Equity Shares,375.0,0.0,0.0,0.0,0.0,16450.0,0.0,16075.0,0.0
INDUSINDBK,2015-12-01 09:04:00,2015-11-21,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,1800.0,0.0,1600.0,0.0
INDUSINDBK,2015-12-01 09:22:00,2015-11-20,2015-11-20,2015-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,101000.0,0.0,100500.0,0.0
INDUSINDBK,2015-12-01 09:29:00,2015-11-17,2015-11-17,2015-11-17,Employees/Designated Employees,ESOP,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,128000.0,0.0,127000.0,0.0
INDUSINDBK,2015-12-01 09:29:00,2015-11-19,2015-11-18,2015-11-18,Employees/Designated Employees,ESOP,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,21030.0,0.0,18030.0,0.0
INDUSINDBK,2015-12-01 09:29:00,2015-11-17,2015-11-09,2015-11-09,Employees/Designated Employees,ESOP,Sell,Equity Shares,33970.0,0.0,0.0,0.0,0.0,55000.0,0.0,21030.0,0.0
INDUSINDBK,2015-12-01 10:25:00,2015-11-17,2015-10-20,2015-10-20,Employees/Designated Employees,ESOP,Buy,Equity Shares,1600.0,0.0,0.0,0.0,0.0,8850.0,0.0,10450.0,0.0
INDUSINDBK,2015-12-01 10:25:00,2015-11-17,2015-10-06,2015-10-06,Employees/Designated Employees,ESOP,Buy,Equity Shares,1400.0,0.0,0.0,0.0,0.0,7450.0,0.0,8850.0,0.0
INDUSINDBK,2015-12-01 10:25:00,2015-11-23,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,127000.0,0.0,126000.0,0.0
INDUSINDBK,2015-12-01 10:25:00,2015-11-23,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,1175000.0,0.2,1150000.0,0.19
INDUSINDBK,2015-12-01 10:25:00,2015-11-23,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,4035.0,0.0,3985.0,0.0
INDUSINDBK,2015-12-01 10:25:00,2015-11-23,2015-11-23,2015-11-23,Employees/Designated Employees,ESOP,Sell,Equity Shares,1300.0,0.0,0.0,0.0,0.0,4250.0,0.0,2950.0,0.0
INDUSINDBK,2015-12-01 15:53:00,2015-11-30,2015-11-27,2015-11-27,Employees/Designated Employees,ESOP,Buy,Equity Shares,6600.0,0.0,0.0,0.0,0.0,6000.0,0.0,12600.0,
INDUSINDBK,2015-12-01 15:53:00,2015-11-27,2015-11-27,2015-11-27,Other,ESOP,Sell,Equity Shares,90.0,0.0,0.0,0.0,0.0,90.0,0.0,,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-12-01,2015-11-30,2015-11-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,6600.0,0.0,0.0,0.0,0.0,6600.0,0.0,,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-12-01,2015-12-01,2015-12-01,Employees/Designated Employees,ESOP,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,1150.0,0.0,1050.0,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-11-30,2015-11-27,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,2040.0,0.0,1040.0,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-11-30,2015-11-30,2015-11-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,4035.0,0.0,3985.0,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-12-01,2015-11-30,2015-11-30,Key Managerial Personnel,ESOP,Sell,Equity Shares,450.0,0.0,0.0,0.0,0.0,1600.0,0.0,1150.0,0.0
INDUSINDBK,2015-12-02 13:55:00,2015-11-27,2015-11-27,2015-11-27,Employees/Designated Employees,ESOP,Sell,Equity Shares,3200.0,0.0,0.0,0.0,0.0,3200.0,0.0,,0.0
INDUSINDBK,2015-12-03 19:49:00,2015-11-27,2015-11-23,2015-11-23,Employees/Designated Employees,ESOP,Sell,Equity Shares,12926.0,0.0,0.0,0.0,0.0,339753.0,0.0,326827.0,0.0
INDUSINDBK,2015-12-03 19:49:00,2015-11-27,2015-11-26,2015-11-26,Employees/Designated Employees,ESOP,Sell,Equity Shares,600.0,0.0,0.0,0.0,0.0,2630.0,0.0,2030.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-03,2015-12-03,2015-12-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,18500.0,0.0,18400.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-03,2015-11-30,2015-11-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,18600.0,0.0,18500.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-03,2015-12-02,2015-12-02,Employees/Designated Employees,ESOP,Sell,Equity Shares,4654.0,0.0,0.0,0.0,0.0,74014.0,0.0,69360.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-02,2015-12-01,2015-12-01,Employees/Designated Employees,ESOP,Sell,Equity Shares,8000.0,0.0,0.0,0.0,0.0,82014.0,0.0,74014.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-03,2015-12-03,2015-12-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,600.0,0.0,0.0,0.0,0.0,100500.0,0.0,99900.0,0.0
INDUSINDBK,2015-12-04 14:49:00,2015-12-03,2015-12-03,2015-12-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,70000.0,0.0,0.0,0.0,0.0,309222.0,0.0,239222.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-11-20,2015-11-20,Employees/Designated Employees,ESOP,Sell,Equity Shares,67.0,0.0,0.0,0.0,0.0,87014.0,0.0,86947.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-12-01,2015-12-01,Employees/Designated Employees,ESOP,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,3985.0,0.0,3935.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-12-02,2015-12-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,40778.0,0.0,0.0,0.0,0.0,350000.0,0.0,309222.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-12-02,2015-12-02,Employees/Designated Employees,ESOP,Buy,Equity Shares,350000.0,0.0,0.0,0.0,0.0,,0.0,350000.0,
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-11-30,2015-11-30,Employees/Designated Employees,ESOP,Sell,Equity Shares,4933.0,0.0,0.0,0.0,0.0,86947.0,0.0,82014.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-12-01,2015-12-01,Other,ESOP,Sell,Equity Shares,10883.0,0.0,0.0,0.0,0.0,215883.0,0.0,205000.0,0.0
INDUSINDBK,2015-12-04 18:46:00,2015-12-02,2015-12-01,2015-12-01,Other,ESOP,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,205000.0,0.0,200000.0,0.0
INDUSINDBK,2015-12-07 18:01:00,2015-12-04,2015-12-02,2015-12-02,Employees/Designated Employees,ESOP,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,1050.0,0.0,850.0,0.0
INDUSINDBK,2015-12-07 18:01:00,2015-12-04,2015-12-03,2015-12-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,1150000.0,0.0,1146000.0,0.0
INDUSINDBK,2015-12-08 10:55:00,2015-12-04,2015-12-04,2015-12-04,Employees/Designated Employees,ESOP,Sell,Equity Shares,18657.0,0.0,0.0,0.0,0.0,239222.0,0.04,220565.0,0.04
INDUSINDBK,2015-12-08 10:55:00,2015-12-07,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,99900.0,0.02,99400.0,0.02
INDUSINDBK,2015-12-08 10:55:00,2015-12-07,2015-12-03,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,69360.0,0.01,59360.0,0.01
INDUSINDBK,2015-12-08 10:55:00,2015-12-03,2015-12-01,2015-12-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,15675.0,0.0,15475.0,0.0
INDUSINDBK,2015-12-08 10:55:00,2015-12-03,2015-12-03,2015-12-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,300.0,0.0,0.0,0.0,0.0,1600.0,0.0,1300.0,0.0
INDUSINDBK,2015-12-08 10:55:00,2015-12-03,2015-12-03,2015-12-03,Other,ESOP,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,4975.0,0.0,1475.0,0.0
INDUSINDBK,2015-12-09 11:27:00,2015-12-08,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,46300.0,0.0,44300.0,0.0
INDUSINDBK,2015-12-09 11:27:00,2015-12-07,2015-12-03,2015-12-03,Employees/Designated Employees,ESOP,Sell,Equity Shares,1040.0,0.0,0.0,0.0,0.0,1040.0,0.0,,0.0
INDUSINDBK,2015-12-09 11:27:00,2015-12-08,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,30000.0,0.0,0.0,0.0,0.0,220565.0,0.04,190565.0,0.03
INDUSINDBK,2015-12-10 10:02:00,2015-12-09,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,126000.0,0.0,125000.0,
INDUSINDBK,2015-12-10 10:02:00,2015-12-08,2015-12-07,2015-12-08,Employees/Designated Employees,ESOP,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,3835.0,0.0,3735.0,
INDUSINDBK,2015-12-10 10:02:00,2015-12-09,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,42000.0,0.01,41000.0,
INDUSINDBK,2015-12-10 10:02:00,2015-12-08,2015-12-08,2015-12-08,Employees/Designated Employees,ESOP,Sell,Equity Shares,400.0,0.0,0.0,0.0,0.0,99400.0,0.0,99000.0,
INDUSINDBK,2015-12-10 10:02:00,2015-12-08,2015-12-07,2015-12-08,Employees/Designated Employees,ESOP,Sell,Equity Shares,325.0,0.0,0.0,0.0,0.0,15475.0,0.0,15150.0,
INDUSINDBK,2015-12-10 10:02:00,2015-12-09,2015-12-07,2015-12-07,Employees/Designated Employees,ESOP,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,69800.0,0.0,67800.0,
