symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
JAMNAAUTO,2015-12-09 09:55:00,2015-12-08,2015-12-08,2015-12-08,Promoters,Market Purchase,Buy,Equity Shares,350000.0,0.0,0.0,0.0,0.0,24177798.0,30.42,24527798.0,30.86
JAMNAAUTO,2015-12-09 20:05:00,2015-12-07,2015-11-20,2015-12-04,Other,Market Sale,Sell,Equity Shares,5608785.0,0.0,0.0,0.0,0.0,15859468.0,19.9545,10250683.0,12.8975
JAMNAAUTO,2015-12-10 20:48:00,2015-12-10,2015-12-07,2015-12-08,Other,Market Sale,Sell,Equity Shares,10250683.0,0.0,0.0,0.0,0.0,10250683.0,12.8975,,0.0
JAMNAAUTO,2016-01-15 15:16:00,2016-01-14,2016-01-13,2016-01-14,Promoters,Market Purchase,Buy,Equity Shares,93900.0,0.0,0.0,0.0,0.0,3409372.0,4.29,3503272.0,4.41
JAMNAAUTO,2016-01-18 15:08:00,2016-01-16,2016-01-15,2016-01-15,Promoters,Market Purchase,Buy,Equity Shares,61000.0,0.0,0.0,0.0,0.0,24660562.0,31.03,24721562.0,31.1
JAMNAAUTO,2016-01-19 09:44:00,2016-01-15,2016-01-14,2016-01-14,Promoters,Market Purchase,Buy,Equity Shares,132764.0,0.0,0.0,0.0,0.0,24527798.0,30.86,24660562.0,31.03
JAMNAAUTO,2016-01-20 16:17:00,2016-01-19,2016-01-18,2016-01-19,Promoters,Market Purchase,Buy,Equity Shares,677087.0,0.0,0.0,0.0,0.0,24721562.0,31.1,25398649.0,31.95
JAMNAAUTO,2016-01-20 18:26:00,2016-01-20,2016-01-20,2016-01-20,Promoters,Pledge Creation,Pledge,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,25398649.0,31.95,25398649.0,31.95
JAMNAAUTO,2016-01-21 17:24:00,2016-01-21,2016-01-20,2016-01-20,Promoters,Market Purchase,Buy,Equity Shares,272219.0,0.0,0.0,0.0,0.0,25398649.0,31.95,25670868.0,32.29
JAMNAAUTO,2016-02-04 09:53:00,2015-12-04,2015-12-04,2015-12-04,Promoters,Market Purchase,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,46372.0,0.06,646372.0,0.81
JAMNAAUTO,2016-02-04 09:56:00,2015-12-04,2015-12-04,2015-12-04,Promoters,Market Purchase,Buy,Equity Shares,518000.0,0.0,0.0,0.0,0.0,3625794.0,4.56,4143794.0,5.21
JAMNAAUTO,2016-02-04 10:07:00,2015-12-04,2015-12-04,2015-12-04,Promoters,Market Purchase,Buy,Equity Shares,630000.0,0.0,0.0,0.0,0.0,23547798.0,29.63,24177798.0,30.42
JAMNAAUTO,2017-04-13 17:12:00,2017-04-12,2017-04-11,2017-04-11,Promoters,Invocation of pledge,Pledge,Equity Shares,265000.0,0.0,0.0,0.0,0.0,4143794.0,5.21,4143794.0,5.21
JAMNAAUTO,2017-04-14 16:43:00,2017-04-14,2017-04-13,2017-04-13,Promoters,Invocation of pledge,Pledge,Equity Shares,230000.0,0.0,0.0,0.0,0.0,25670868.0,32.22,25670868.0,32.22
JAMNAAUTO,2017-04-14 16:43:00,2017-04-14,2017-04-12,2017-04-12,Promoters,Invocation of pledge,Pledge,Equity Shares,1322000.0,0.0,0.0,0.0,0.0,25670868.0,32.22,25670868.0,32.22
JAMNAAUTO,2017-04-21 15:06:00,2017-04-21,2017-04-19,2017-04-19,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,1146317.0,0.0,0.0,0.0,0.0,25670868.0,32.22,25670868.0,32.22
JAMNAAUTO,2017-06-10 15:04:00,2017-06-08,2017-06-07,2017-06-07,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,300000.0,0.0,0.0,0.0,0.0,2277926.0,2.86,2277926.0,2.86
JAMNAAUTO,2017-06-10 15:04:00,2017-06-08,2017-06-07,2017-06-07,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,4348.0,0.0,0.0,0.0,0.0,1377548.0,1.73,1377548.0,1.73
JAMNAAUTO,2017-09-13 16:32:00,2017-09-13,2017-09-11,2017-09-11,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,309565.0,0.0,0.0,0.0,0.0,25670868.0,32.22,25670868.0,32.22
