symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
JBCHEPHARM,2016-09-12 12:32:00,2016-09-08,2016-09-07,2016-09-07,Other,Market Sale,Sell,Equity Shares,6375.0,0.0,0.0,0.0,0.0,6375.0,0.01,,0.0
JBCHEPHARM,2017-01-02 17:05:00,2017-01-02,2016-12-30,2016-12-30,Director,Off Market,Buy,Equity Shares,2890.0,0.0,0.0,0.0,0.0,14890.0,0.02,17780.0,0.02
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,71387.0,0.0,0.0,0.0,0.0,5371905.0,6.33,5300518.0,6.34
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Director,Market Sale,Sell,Equity Shares,5932.0,0.0,0.0,0.0,0.0,307930.0,0.36,301998.0,0.36
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,69118.0,0.0,0.0,0.0,0.0,5201207.0,6.13,5132089.0,6.14
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,32672.0,0.0,0.0,0.0,0.0,2458608.0,2.9,2425936.0,2.9
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,35313.0,0.0,0.0,0.0,0.0,2657359.0,3.13,2622046.0,3.14
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,62982.0,0.0,0.0,0.0,0.0,4738932.0,5.59,4675950.0,5.6
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,64317.0,0.0,0.0,0.0,0.0,4839944.0,5.71,4775627.0,5.71
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,65649.0,0.0,0.0,0.0,0.0,4940172.0,5.82,4874523.0,5.83
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,4983.0,0.0,0.0,0.0,0.0,375000.0,0.44,370017.0,0.44
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,6677.0,0.0,0.0,0.0,0.0,502500.0,0.59,495823.0,0.59
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,67192.0,0.0,0.0,0.0,0.0,5056312.0,5.96,4989120.0,5.97
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,65952.0,0.0,0.0,0.0,0.0,4963002.0,5.85,4897050.0,5.86
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,66244.0,0.0,0.0,0.0,0.0,4984979.0,5.88,4918735.0,5.89
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,2990.0,0.0,0.0,0.0,0.0,225000.0,0.27,222010.0,0.27
JBCHEPHARM,2017-07-27 17:44:00,2017-07-26,2017-07-25,2017-07-25,Promoters,Market Sale,Sell,Equity Shares,2990.0,0.0,0.0,0.0,0.0,225000.0,0.27,222010.0,0.27
JBCHEPHARM,2018-06-14 11:13:00,2018-06-14,2018-06-12,2018-06-13,Promoter Group,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,25402.0,0.03,5402.0,0.01
JBCHEPHARM,2018-11-02 20:05:00,2018-11-02,2018-11-01,2018-11-01,Promoters,Others,Sell,Equity Shares,189309.0,0.0,0.0,0.0,0.0,5300518.0,6.34,5111209.0,6.37
JBCHEPHARM,2018-11-02 20:05:00,2018-11-02,2018-11-01,2018-11-01,Director,Others,Sell,Equity Shares,10845.0,0.0,0.0,0.0,0.0,301998.0,0.36,291153.0,0.36
JBCHEPHARM,2018-11-02 20:05:00,2018-11-02,2018-11-01,2018-11-01,Promoter Group,Others,Sell,Equity Shares,183293.0,0.0,0.0,0.0,0.0,5132089.0,6.14,4948796.0,6.17
