symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
JSWSTEEL,2015-12-02 17:22:00,2015-11-27,2015-11-26,2015-11-26,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,265000.0,0.0,0.0,0.0,0.0,10970586.0,4.54,10970586.0,4.54
JSWSTEEL,2015-12-02 17:22:00,2015-11-27,2015-11-26,2015-11-26,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,31000.0,0.0,0.0,0.0,0.0,13516309.0,5.59,13516309.0,5.59
JSWSTEEL,2015-12-02 17:22:00,2015-11-27,2015-11-24,2015-11-24,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,173000.0,0.0,0.0,0.0,0.0,13516309.0,5.59,13516309.0,5.59
JSWSTEEL,2015-12-03 17:30:00,2015-11-30,2015-11-27,2015-11-27,Promoters,Revokation of Pledge,Pledge,Equity Shares,71000.0,0.0,0.0,0.0,0.0,13516309.0,5.59,13516309.0,5.59
JSWSTEEL,2015-12-03 17:30:00,2015-11-30,2015-11-27,2015-11-27,Promoters,Revokation of Pledge,Pledge,Equity Shares,121000.0,0.0,0.0,0.0,0.0,4992546.0,2.07,4992546.0,2.07
JSWSTEEL,2015-12-09 19:25:00,2015-12-05,2015-12-03,2015-12-03,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,73000.0,0.0,0.0,0.0,0.0,13516309.0,5.59,13516309.0,5.59
JSWSTEEL,2015-12-17 20:06:00,2015-12-10,2015-12-08,2015-12-09,Promoters,Pledge Creation,Pledge,Equity Shares,2609000.0,0.0,0.0,0.0,0.0,17284923.0,7.15,17284923.0,7.15
JSWSTEEL,2015-12-18 17:08:00,2015-12-15,2015-12-15,2015-12-15,Promoters,Pledge Creation,Pledge,Equity Shares,600000.0,0.0,0.0,0.0,0.0,4992546.0,2.07,4992546.0,2.07
JSWSTEEL,2015-12-18 17:08:00,2015-12-16,2015-12-14,2015-12-14,Promoters,Pledge Creation,Pledge,Equity Shares,2750000.0,0.0,0.0,0.0,0.0,17284923.0,7.15,17284923.0,7.15
JSWSTEEL,2015-12-21 18:22:00,2015-12-19,2015-12-17,2015-12-17,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,537000.0,0.0,0.0,0.0,0.0,10970586.0,4.54,10970586.0,4.54
