symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
KESORAMIND,2016-04-05 20:29:00,2016-04-04,2016-04-02,2016-04-02,Promoters,Preferential Offer,Buy,Equity Shares,7500000.0,0.0,0.0,0.0,0.0,8638250.0,0.0,16138250.0,0.0
KESORAMIND,2017-06-27 15:46:00,2017-06-23,2016-04-08,2017-06-22,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,16138250.0,0.0,0.0,0.0,0.0,16138250.0,13.76,16138250.0,13.76
KESORAMIND,2017-06-28 13:31:00,2017-06-27,2017-06-23,2017-06-23,Promoters,Pledge Creation,Pledge,Equity Shares,16138250.0,0.0,0.0,0.0,0.0,16138250.0,13.76,16138250.0,13.76
KESORAMIND,2017-07-04 12:57:00,2017-07-04,2017-06-23,2017-06-23,Promoters,Pledge Creation,Pledge,Equity Shares,16138250.0,0.0,0.0,0.0,0.0,16138250.0,13.76,16138250.0,13.76
KESORAMIND,2018-03-19 17:23:00,2018-03-14,2018-03-13,2018-03-14,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,16138250.0,0.0,0.0,0.0,0.0,16138250.0,12.93,16138250.0,12.93
KESORAMIND,2018-03-21 10:35:00,2018-03-20,2018-03-20,2018-03-20,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,16138250.0,0.0,0.0,0.0,0.0,16138250.0,12.93,16138250.0,12.93
KESORAMIND,2018-03-23 14:57:00,2018-03-21,2018-03-21,2018-03-21,Promoters,Pledge Creation,Pledge,Equity Shares,8638250.0,0.0,0.0,0.0,0.0,16138250.0,12.93,16138250.0,12.93
KESORAMIND,2018-04-04 17:24:00,2018-04-03,2018-03-29,2018-03-29,Promoters,Preferential Offer,Buy,Equity Shares,12571429.0,0.0,0.0,0.0,0.0,16138250.0,12.93,28709679.0,20.9
KESORAMIND,2018-04-09 15:39:00,2018-04-07,2018-04-07,2018-04-07,Promoters,Conversion of security,Buy,Equity Shares,5250000.0,0.0,0.0,0.0,0.0,28709679.0,20.9,33959679.0,23.82
KESORAMIND,2018-06-14 17:37:00,2018-06-13,2018-06-11,2018-06-11,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,8638250.0,0.0,0.0,0.0,0.0,33959679.0,23.82,33959679.0,23.82
