symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
KWALITY,2015-12-03 13:29:00,2015-11-26,2015-11-24,2015-11-24,Promoters,Pledge Creation,Pledge,Equity Shares,3500000.0,0.0,0.0,0.0,0.0,152154714.0,69.56,152154714.0,69.56
KWALITY,2016-01-15 12:22:00,2016-01-13,2016-01-11,2016-01-11,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,17550000.0,0.0,0.0,0.0,0.0,152154714.0,69.56,152154714.0,69.56
KWALITY,2016-02-19 15:47:00,2016-02-15,2016-02-15,,Promoters,Pledge Creation,Pledge,Equity Shares,2500000.0,0.0,0.0,0.0,0.0,152154714.0,69.56,152154714.0,69.56
KWALITY,2016-03-16 10:32:00,2016-03-14,2016-03-12,2016-03-12,Immediate relative,-,Buy,Equity Shares,5181347.0,0.0,0.0,0.0,0.0,,0.0,5181347.0,2.37
KWALITY,2016-03-17 09:27:00,2016-03-10,2016-03-10,2016-03-10,Promoters,Pledge Creation,Pledge,Equity Shares,2500000.0,0.0,0.0,0.0,0.0,152154714.0,69.56,152154714.0,69.56
KWALITY,2016-04-15 17:11:00,2016-04-11,2016-04-09,2016-04-09,Other,Conversion of security,Pledge,Equity Shares,5181347.0,0.0,0.0,0.0,0.0,5181347.0,2.31,5181347.0,2.31
KWALITY,2016-05-02 15:54:00,2016-04-30,2016-04-30,2016-04-30,Promoters,Pledge Creation,Pledge,Equity Shares,2100000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-06-30 10:33:00,2016-06-28,2016-06-27,,Promoters,Pledge Creation,Pledge,Equity Shares,27000000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-07-26 15:02:00,2016-07-25,2016-07-25,2016-07-25,Promoters,-,Pledge,Equity Shares,7800000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-08-09 10:45:00,2016-08-08,2016-08-06,2016-08-06,Promoters,-,Pledge,Equity Shares,13750000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-08-17 19:12:00,2016-08-17,2016-08-16,2016-08-16,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,1200000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-08-22 11:35:00,2016-08-19,2016-08-19,,Promoters,Pledge Creation,Pledge,Equity Shares,5700000.0,0.0,0.0,0.0,0.0,152154714.0,64.95,152154714.0,64.95
KWALITY,2016-09-23 17:21:00,2016-09-23,2016-09-23,2016-09-23,Promoters,Off Market,Pledge,Equity Shares,7000000.0,0.0,0.0,0.0,0.0,152154714.0,64.45,152154714.0,64.45
KWALITY,2016-11-17 16:26:00,2016-11-17,2016-11-16,2016-11-16,Promoters,Pledge Creation,Pledge,Equity Shares,5000000.0,0.0,0.0,0.0,0.0,152154714.0,64.45,152154714.0,64.45
KWALITY,2016-11-23 18:19:00,2016-11-22,2016-11-22,2016-11-22,Promoters,Pledge Creation,Pledge,Equity Shares,955000.0,0.0,0.0,0.0,0.0,152154714.0,64.24,152154714.0,64.24
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,21000.0,0.0,0.0,0.0,0.0,,0.0,21000.0,0.009
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Director,ESOP,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,,0.0,40000.0,0.017
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,22000.0,0.0,0.0,0.0,0.0,,0.0,22000.0,0.009
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,,0.0,25000.0,0.011
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,,0.0,40000.0,0.017
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,,0.0,20000.0,0.008
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,21000.0,0.0,0.0,0.0,0.0,,0.0,21000.0,0.009
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,,0.0,50000.0,0.021
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Key Managerial Personnel,ESOP,Buy,Equity Shares,15000.0,0.0,0.0,0.0,0.0,,0.0,15000.0,0.006
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,,0.0,12500.0,0.005
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,12000.0,0.0,0.0,0.0,0.0,,0.0,12000.0,0.005
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,,0.0,10000.0,0.004
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,,0.0,12500.0,0.005
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,14100.0,0.0,0.0,0.0,0.0,,0.0,14100.0,0.006
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7700.0,0.0,0.0,0.0,0.0,,0.0,7700.0,0.003
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,,0.0,20000.0,0.008
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,9100.0,0.0,0.0,0.0,0.0,,0.0,9100.0,0.004
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,,0.0,25000.0,0.011
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,41200.0,0.0,0.0,0.0,0.0,,0.0,41200.0,0.017
KWALITY,2016-11-24 17:15:00,2016-11-23,2016-11-21,2016-11-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,49300.0,0.0,0.0,0.0,0.0,,0.0,49300.0,0.021
