symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
LTF,2016-02-01 20:04:00,2016-01-27,2016-01-22,2016-01-22,Other,ESOP,Buy,Equity Shares,35000.0,0.0,0.0,0.0,0.0,167303.0,0.01,202303.0,0.01
LTF,2016-02-01 20:04:00,2016-01-27,2016-01-22,2016-01-22,Other,ESOP,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,978.0,0.0,50978.0,0.0
LTF,2016-02-01 20:04:00,2016-01-27,2016-01-22,2016-01-22,Other,ESOP,Buy,Equity Shares,29250.0,0.0,0.0,0.0,0.0,7050.0,0.0,36300.0,
LTF,2016-07-27 12:30:00,2016-07-26,2016-07-26,2016-07-26,Director,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,200000.0,0.0
LTF,2016-07-27 12:30:00,2016-07-26,2016-07-25,2016-07-25,Director,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,,0.0,100000.0,0.0
LTF,2016-07-27 19:34:00,2016-07-27,2016-07-26,2016-07-26,Director,Market Purchase,Buy,Equity Shares,29243.0,0.0,0.0,0.0,0.0,,0.0,29243.0,0.0
LTF,2016-07-27 19:34:00,2016-07-27,2016-07-26,2016-07-26,Director,Market Purchase,Buy,Equity Shares,34000.0,0.0,0.0,0.0,0.0,,0.0,34000.0,0.0
LTF,2016-07-29 10:22:00,2016-07-26,2016-07-22,2016-07-22,Employees/Designated Employees,ESOP,-,Equity Shares,39400.0,0.0,0.0,0.0,0.0,210600.0,0.01,250000.0,0.01
LTF,2016-07-29 10:22:00,2016-07-26,2016-07-22,2016-07-22,Employees/Designated Employees,ESOP,-,Equity Shares,56000.0,0.0,0.0,0.0,0.0,,0.0,56000.0,0.0
LTF,2016-07-29 10:24:00,2016-07-26,2016-07-22,2016-07-22,Other,ESOP,-,Equity Shares,30000.0,0.0,0.0,0.0,0.0,45500.0,0.0,75500.0,0.0
LTF,2016-07-29 10:24:00,2016-07-26,2016-07-22,2016-07-22,Other,ESOP,-,Equity Shares,30000.0,0.0,0.0,0.0,0.0,,0.0,30000.0,0.0
LTF,2016-08-01 18:02:00,2016-08-01,2016-07-29,2016-07-29,Director,Market Purchase,Buy,Equity Shares,11757.0,0.0,0.0,0.0,0.0,29243.0,0.0,41000.0,0.0
LTF,2016-08-01 18:02:00,2016-08-01,2016-07-29,2016-07-29,Director,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,34000.0,0.0,59000.0,0.0
LTF,2016-10-27 18:58:00,2016-10-26,2016-10-25,2016-10-25,Employee/Designated Employee,ESOP,Buy,Equity Shares,115000.0,0.0,0.0,0.0,0.0,127980.0,0.01,242980.0,0.01
LTF,2016-10-27 18:58:00,2016-10-26,2016-10-25,2016-10-25,Employee/Designated Employee,ESOP,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,,0.0,30000.0,0.0
LTF,2016-10-27 18:58:00,2016-10-26,2016-10-25,2016-10-25,Employee/Designated Employee,ESOP,Buy,Equity Shares,90000.0,0.0,0.0,0.0,0.0,40000.0,0.0,130000.0,0.0
