symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
MAHSEAMLES,2015-12-01 09:01:00,2015-11-23,2015-11-19,2015-11-19,Promoters,Market Purchase,Buy,Equity Shares,9300.0,0.0,0.0,0.0,0.0,92955.0,0.139,102255.0,0.153
MAHSEAMLES,2015-12-04 15:39:00,2015-12-02,2015-11-30,2015-11-30,Promoters,Market Purchase,Buy,Equity Shares,43000.0,0.0,0.0,0.0,0.0,21457.0,0.032,64457.0,0.096
MAHSEAMLES,2016-03-30 12:02:00,2016-03-28,2016-03-22,2016-03-22,Promoters,Market Purchase,Buy,Equity Shares,12800.0,0.0,0.0,0.0,0.0,125722.0,0.188,138522.0,0.207
MAHSEAMLES,2016-04-04 18:25:00,2016-04-01,2016-03-30,,Promoters,Market Purchase,Buy,Equity Shares,9790.0,0.0,0.0,0.0,0.0,6454.0,0.01,16244.0,0.024
MAHSEAMLES,2016-04-04 18:25:00,2016-04-01,2016-03-29,,Promoters,Market Purchase,Buy,Equity Shares,6454.0,0.0,0.0,0.0,0.0,,0.0,6454.0,0.01
MAHSEAMLES,2016-04-04 18:25:00,2016-04-01,2016-03-31,,Promoters,Market Purchase,Buy,Equity Shares,478.0,0.0,0.0,0.0,0.0,16244.0,0.024,16722.0,0.025
MAHSEAMLES,2016-04-07 09:15:00,2016-04-04,2016-04-04,2016-04-04,Promoters,Market Purchase,Buy,Equity Shares,44334.0,0.0,0.0,0.0,0.0,16784.0,0.025,61118.0,0.091
MAHSEAMLES,2016-04-07 09:15:00,2016-04-04,2016-04-01,2016-04-01,Promoters,Market Purchase,Buy,Equity Shares,62.0,0.0,0.0,0.0,0.0,16722.0,0.025,16784.0,0.025
MAHSEAMLES,2016-06-27 15:56:00,2016-06-24,2016-06-22,,Promoters,Market Purchase,Buy,Equity Shares,52236.0,0.0,0.0,0.0,0.0,61118.0,0.09,113354.0,0.17
MAHSEAMLES,2016-06-27 15:56:00,2016-06-24,2016-06-23,,Promoters,Market Purchase,Buy,Equity Shares,7836.0,0.0,0.0,0.0,0.0,113354.0,0.17,121190.0,0.18
MAHSEAMLES,2016-07-05 14:10:00,2016-07-04,2016-07-01,,Promoters,Market Purchase,Buy,Equity Shares,48400.0,0.0,0.0,0.0,0.0,145390.0,0.22,193790.0,0.29
MAHSEAMLES,2016-07-05 14:10:00,2016-07-04,2016-06-30,,Promoters,Market Purchase,Buy,Equity Shares,24200.0,0.0,0.0,0.0,0.0,121190.0,0.18,145390.0,0.22
MAHSEAMLES,2016-10-19 15:55:00,2016-10-17,2016-10-13,2016-10-13,Promoter Group,Market Purchase,Buy,Equity Shares,33900.0,0.0,0.0,0.0,0.0,5269.0,0.01,39169.0,0.06
MAHSEAMLES,2016-10-20 15:05:00,2016-10-18,2016-10-14,2016-10-14,Promoters,Market Purchase,Buy,Equity Shares,13300.0,0.0,0.0,0.0,0.0,60735.0,0.09,74035.0,0.11
MAHSEAMLES,2016-10-20 15:05:00,2016-10-18,2016-10-14,2016-10-14,Promoters,Market Purchase,Buy,Equity Shares,18700.0,0.0,0.0,0.0,0.0,138522.0,0.21,157222.0,0.24
MAHSEAMLES,2016-10-20 15:05:00,2016-10-19,2016-10-18,2016-10-18,Promoter Group,Market Purchase,Buy,Equity Shares,15600.0,0.0,0.0,0.0,0.0,4472.0,0.0,20072.0,0.03
MAHSEAMLES,2017-03-07 15:35:00,2017-03-06,2017-03-02,2017-03-02,Other,Market Sale,Sell,Equity Shares,165191.0,0.0,0.0,0.0,0.0,550191.0,0.82,385000.0,0.58
MAHSEAMLES,2017-03-10 12:08:00,2017-03-08,2017-03-06,2017-03-06,Other,Market Sale,Sell,Equity Shares,101241.0,0.0,0.0,0.0,0.0,385000.0,0.58,283759.0,0.42
MAHSEAMLES,2017-03-10 12:08:00,2017-03-08,2017-03-07,2017-03-07,Other,Market Sale,Sell,Equity Shares,61000.0,0.0,0.0,0.0,0.0,283759.0,0.42,222759.0,0.33
MAHSEAMLES,2017-03-15 10:57:00,2017-03-14,2017-03-09,2017-03-09,Other,Market Sale,Sell,Equity Shares,122681.0,0.0,0.0,0.0,0.0,222759.0,0.33,100078.0,0.15
MAHSEAMLES,2017-03-16 15:25:00,2017-03-15,2017-03-14,2017-03-14,Other,Market Sale,Sell,Equity Shares,100078.0,0.0,0.0,0.0,0.0,100078.0,0.15,,0.0
MAHSEAMLES,2017-09-26 13:04:00,2017-09-25,2017-09-22,2017-09-22,Promoters,Market Purchase,Buy,Equity Shares,5800.0,0.0,0.0,0.0,0.0,20072.0,0.03,25872.0,0.04
MAHSEAMLES,2017-09-26 13:04:00,2017-09-25,2017-09-22,2017-09-22,Promoters,Market Purchase,Buy,Equity Shares,6800.0,0.0,0.0,0.0,0.0,39169.0,0.06,45969.0,0.07
MAHSEAMLES,2017-09-26 13:04:00,2017-09-25,2017-09-22,2017-09-22,Promoters,Market Purchase,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,157222.0,0.24,169722.0,0.25
MAHSEAMLES,2017-10-09 14:41:00,2017-10-06,2017-10-04,2017-10-04,Promoter Group,Market Purchase,Buy,Equity Shares,300000.0,0.0,0.0,0.0,0.0,11277044.0,16.83,11577044.0,17.28
MAHSEAMLES,2018-03-29 17:49:00,2018-03-28,2018-03-26,2018-03-26,Promoter Group,Market Sale,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,5758992.0,8.6,5755492.0,8.59
MAHSEAMLES,2018-03-29 17:49:00,2018-03-28,2018-03-27,2018-03-27,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,205000.0,0.31,305000.0,0.46
MAHSEAMLES,2018-03-29 17:49:00,2018-03-28,2018-03-26,2018-03-26,Promoter Group,Market Purchase,Buy,Equity Shares,205000.0,0.0,0.0,0.0,0.0,,0.0,205000.0,0.31
MAHSEAMLES,2018-04-16 14:51:00,2018-04-13,2018-04-12,2018-04-12,Promoter Group,Market Purchase,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,305000.0,0.46,405000.0,0.6
