symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
MCLEODRUSS,2016-03-23 14:38:00,2016-03-21,2016-03-21,2016-03-21,Promoters,Market Purchase,Buy,Equity Shares,800000.0,0.0,0.0,0.0,0.0,,0.0,800000.0,0.7309
MCLEODRUSS,2016-03-28 17:10:00,2016-03-24,2016-03-24,2016-03-24,Promoters,Market Purchase,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,2400000.0,2.1927,3000000.0,2.7408
MCLEODRUSS,2016-03-28 17:14:00,2016-03-22,2016-03-22,2016-03-22,Promoters,Market Purchase,Buy,Equity Shares,1600000.0,0.0,0.0,0.0,0.0,800000.0,0.7309,2400000.0,2.1927
MCLEODRUSS,2016-03-30 13:23:00,2016-03-29,2016-03-28,2016-03-28,Promoters,Market Purchase,Buy,Equity Shares,806801.0,0.0,0.0,0.0,0.0,3000000.0,2.7408,3806801.0,3.4779
MCLEODRUSS,2016-03-31 09:53:00,2016-03-30,2016-03-29,2016-03-29,Promoters,Market Purchase,Buy,Equity Shares,700000.0,0.0,0.0,0.0,0.0,3806801.0,3.4779,4506801.0,4.1175
MCLEODRUSS,2016-11-03 10:58:00,2016-11-01,2016-10-31,2016-10-31,Promoters,Others,Buy,Equity Shares,5909.0,0.0,0.0,0.0,0.0,23395.0,0.0214,29304.0,0.0268
MCLEODRUSS,2016-11-03 11:01:00,2016-11-01,2016-10-31,2016-10-31,Promoters,Market Sale,Sell,Equity Shares,11818.0,0.0,0.0,0.0,0.0,11818.0,0.0108,,0.0
MCLEODRUSS,2016-11-04 13:52:00,2016-11-01,2016-10-31,2016-10-31,Promoters,Others,Buy,Equity Shares,5909.0,0.0,0.0,0.0,0.0,23395.0,0.0214,29304.0,0.0268
MCLEODRUSS,2017-04-27 13:17:00,2017-04-26,2017-04-25,2017-04-25,Promoters,Others,Buy,Equity Shares,43200.0,0.0,0.0,0.0,0.0,29304.0,0.0268,72504.0,0.0662
MCLEODRUSS,2017-04-27 19:57:00,2017-04-26,2017-04-25,2017-04-25,Promoters,Others,Sell,Equity Shares,43200.0,0.0,0.0,0.0,0.0,43200.0,0.0394,,0.0
MCLEODRUSS,2017-10-11 15:01:00,2017-10-06,2017-09-25,2017-09-25,Director,Market Purchase,Buy,Equity Shares,300.0,0.0,0.0,0.0,0.0,36288.0,0.03,36588.0,0.03
MCLEODRUSS,2017-12-01 16:05:00,2017-12-01,2017-11-30,2017-11-30,Promoters,Market Sale,Sell,Equity Shares,10000000.0,0.0,0.0,0.0,0.0,27067500.0,24.73,17067500.0,15.59
MCLEODRUSS,2017-12-08 19:14:00,2017-12-04,2017-11-30,2017-11-30,Other,Market Purchase,Buy,Equity Shares,6308116.0,0.0,0.0,0.0,0.0,,0.0,6308116.0,5.76
MCLEODRUSS,2019-05-07 18:57:00,2019-05-03,2019-04-30,2019-05-03,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1114659.0,0.0,0.0,0.0,0.0,3479121.0,4.31,2364462.0,2.26
MCLEODRUSS,2019-05-07 18:57:00,2019-05-03,2019-04-30,2019-05-03,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1027680.0,0.0,0.0,0.0,0.0,4506801.0,4.31,3479121.0,3.33
MCLEODRUSS,2019-05-09 19:12:00,2019-05-08,2019-05-06,2019-05-07,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,1364462.0,1.31,364462.0,0.35
MCLEODRUSS,2019-05-09 19:12:00,2019-05-08,2019-05-06,2019-05-07,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,2364462.0,2.26,1364462.0,1.31
MCLEODRUSS,2019-05-20 19:56:00,2019-05-20,2019-05-16,2019-05-17,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,364462.0,0.0,0.0,0.0,0.0,364462.0,0.35,,0.0
MCLEODRUSS,2019-06-18 11:25:00,2019-06-17,2019-06-10,2019-06-14,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,3274100.0,0.0,0.0,0.0,0.0,3971108.0,3.8,697008.0,0.67
MCLEODRUSS,2019-06-18 11:41:00,2019-06-17,2019-06-11,2019-06-11,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,525900.0,0.0,0.0,0.0,0.0,995989.0,0.95,470089.0,0.45
MCLEODRUSS,2019-06-26 14:21:00,2019-06-26,2019-06-21,2019-06-21,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,805570.0,0.0,0.0,0.0,0.0,11660946.0,11.16,10855376.0,10.39
MCLEODRUSS,2019-06-26 14:33:00,2019-06-26,2019-06-21,2019-06-21,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,720330.0,0.0,0.0,0.0,0.0,5898725.0,5.65,5178395.0,4.96
MCLEODRUSS,2019-06-26 14:41:00,2019-06-26,2019-06-21,2019-06-21,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,374100.0,0.0,0.0,0.0,0.0,470089.0,0.45,95989.0,0.09
MCLEODRUSS,2019-07-02 19:40:00,2019-07-02,2019-06-27,2019-06-27,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1900000.0,0.0,0.0,0.0,0.0,5178395.0,4.96,3278395.0,3.14
MCLEODRUSS,2019-08-07 15:08:00,2019-07-15,2019-07-08,2019-07-08,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,2044670.0,0.0,0.0,0.0,0.0,3278395.0,3.14,1233725.0,1.18
MCLEODRUSS,2019-08-08 17:59:00,2019-08-08,2019-07-04,2019-07-04,Promoters,Invocation of pledge,Pledge Invoke,Equity Shares,1888123.0,0.0,0.0,0.0,0.0,10855376.0,10.39,8967253.0,8.58
