symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,780000.0,0.0,0.0,0.0,0.0,3418940.0,3.69,4198940.0,3.88
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,1800000.0,0.0,0.0,0.0,0.0,,0.0,1800000.0,15.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,2340000.0,0.0,0.0,0.0,0.0,,0.0,2340000.0,2.34
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,600000.0,0.0,0.0,0.0,0.0,,0.0,600000.0,5.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,780000.0,0.0,0.0,0.0,0.0,2079800.0,2.24,2859800.0,2.64
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,1800000.0,0.0,0.0,0.0,0.0,,0.0,1800000.0,15.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,600000.0,0.0,0.0,0.0,0.0,,0.0,600000.0,5.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,3000000.0,0.0,0.0,0.0,0.0,,0.0,3000000.0,25.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,3900000.0,0.0,0.0,0.0,0.0,6944000.0,7.49,10844000.0,10.01
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,1200000.0,0.0,0.0,0.0,0.0,,0.0,1200000.0,0.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,1560000.0,0.0,0.0,0.0,0.0,4295750.0,4.63,5855750.0,5.41
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Preference Shares,3000000.0,0.0,0.0,0.0,0.0,,0.0,3000000.0,25.0
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,3900000.0,0.0,0.0,0.0,0.0,4413200.0,4.76,8313200.0,7.68
MIRZAINT,2016-02-26 11:26:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,2340000.0,0.0,0.0,0.0,0.0,7728650.0,8.34,10068650.0,9.3
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,1800000.0,0.0,0.0,0.0,0.0,1800000.0,15.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,2340000.0,2.16,4140000.0,3.44
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,3000000.0,0.0,0.0,0.0,0.0,3000000.0,25.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,600000.0,0.0,0.0,0.0,0.0,600000.0,5.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,4198940.0,3.88,4798940.0,3.99
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,600000.0,0.0,0.0,0.0,0.0,600000.0,5.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,2859800.0,2.64,3459800.0,2.88
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,1800000.0,0.0,0.0,0.0,0.0,1800000.0,15.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,10068650.0,9.3,11868650.0,9.87
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,3000000.0,0.0,0.0,0.0,0.0,3000000.0,25.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,10844000.0,10.01,13844000.0,11.51
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Sell,Preference Shares,1200000.0,0.0,0.0,0.0,0.0,1200000.0,10.0,,0.0
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,1200000.0,0.0,0.0,0.0,0.0,5855750.0,5.41,7055750.0,5.86
MIRZAINT,2016-04-04 17:26:00,2016-04-02,2016-04-01,2016-04-01,Promoters,Conversion of security,Buy,Equity Shares,3000000.0,0.0,0.0,0.0,0.0,8313200.0,7.68,11313200.0,9.4
MIRZAINT,2017-07-10 19:48:00,2017-07-07,2017-07-06,2017-07-07,Promoters,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,3459800.0,2.88,3359800.0,2.79
MIRZAINT,2017-07-24 09:21:00,2017-07-07,2017-07-06,2017-07-07,Promoters,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,3459800.0,2.88,3359800.0,2.79
MIRZAINT,2017-09-21 15:14:00,2017-09-20,2017-09-19,2017-09-19,Promoters,Off Market,Buy,Equity Shares,500000.0,0.0,0.0,0.0,0.0,13844000.0,11.51,14344000.0,11.92
MIRZAINT,2017-09-21 15:14:00,2017-09-20,2017-09-19,2017-09-19,Promoters,Off Market,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,7793541.0,6.48,6793541.0,5.65
MIRZAINT,2017-09-21 15:14:00,2017-09-20,2017-09-19,2017-09-19,Promoters,Off Market,Buy,Equity Shares,500000.0,0.0,0.0,0.0,0.0,11868650.0,9.87,12368650.0,10.28
MIRZAINT,2017-10-05 11:26:00,2017-10-04,2017-10-03,2017-10-03,Promoter Group,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,1000000.0,0.83,900000.0,0.75
MIRZAINT,2017-10-14 13:04:00,2017-10-13,2017-10-12,2017-10-12,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.83,,0.0
MIRZAINT,2017-10-14 13:04:00,2017-10-13,2017-10-12,2017-10-12,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,1000000.0,0.0,0.0,0.0,0.0,,0.0,1000000.0,0.83
MIRZAINT,2017-10-27 18:23:00,2017-10-26,2017-10-25,2017-10-25,Promoters,Inter-se-Transfer,Sell,Equity Shares,750000.0,0.0,0.0,0.0,0.0,750000.0,0.62,,0.0
MIRZAINT,2017-10-27 18:23:00,2017-10-26,2017-10-25,2017-10-25,Promoters,Inter-se-Transfer,Buy,Equity Shares,750000.0,0.0,0.0,0.0,0.0,14344000.0,11.92,15094000.0,12.55
MIRZAINT,2017-11-01 16:23:00,2017-11-01,2017-10-31,2017-10-31,Promoters,Inter-se-Transfer,Buy,Equity Shares,322000.0,0.0,0.0,0.0,0.0,7622600.0,6.34,7944600.0,6.6
MIRZAINT,2017-11-01 16:23:00,2017-11-01,2017-10-31,2017-10-31,Promoters,Inter-se-Transfer,Sell,Equity Shares,322000.0,0.0,0.0,0.0,0.0,322000.0,0.27,,0.0
MIRZAINT,2017-11-01 19:05:00,2017-11-01,2017-10-31,2017-10-31,Promoters,Inter-se-Transfer,Sell,Equity Shares,750000.0,0.0,0.0,0.0,0.0,750000.0,0.62,,0.0
MIRZAINT,2017-11-01 19:05:00,2017-11-01,2017-10-31,2017-10-31,Promoters,Inter-se-Transfer,Buy,Equity Shares,750000.0,0.0,0.0,0.0,0.0,15094000.0,12.55,15844000.0,13.17
