symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
MTARTECH,2021-04-14 12:28:00,2021-04-14,2021-04-12,2021-04-12,Promoter Group,Others,Buy,Equity Shares,1204080.0,0.0,0.0,0.0,0.0,70.0,0.0,1204150.0,3.91
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,401383.0,0.0,0.0,0.0,0.0,1004062.0,3.26,1405445.0,4.57
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,1204150.0,0.0,0.0,0.0,0.0,1204150.0,3.91,,0.0
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,401384.0,0.0,0.0,0.0,0.0,1079047.0,3.51,1480431.0,4.8
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,401383.0,0.0,0.0,0.0,0.0,904063.0,2.94,1305446.0,4.24
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,401383.0,0.0,0.0,0.0,0.0,1004062.0,3.26,1405445.0,4.57
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,1204150.0,0.0,0.0,0.0,0.0,1204150.0,3.91,,0.0
MTARTECH,2021-09-14 18:50:00,2021-09-14,2021-09-14,2021-09-14,Promoters,Inter-se-Transfer,Buy,Equity Shares,401383.0,0.0,0.0,0.0,0.0,904063.0,2.94,1305446.0,4.24
MTARTECH,2022-03-15 19:22:00,2022-03-15,2022-03-14,2022-03-14,Promoters,Gift,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,934265.0,3.04,1034265.0,3.37
MTARTECH,2022-03-15 19:22:00,2022-03-15,2022-03-14,2022-03-14,Promoters,Gift,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,1718712.0,5.59,1618712.0,5.26
MTARTECH,2022-03-26 16:59:00,2022-03-26,2022-03-25,2022-03-25,Other,Market Sale,Sell,Equity Shares,489530.0,0.0,0.0,0.0,0.0,489530.0,1.59,,0.0
MTARTECH,2022-03-26 16:59:00,2022-03-26,2022-03-25,2022-03-25,Other,Market Sale,Sell,Equity Shares,1942382.0,0.0,0.0,0.0,0.0,2586740.0,8.41,644358.0,2.09
MTARTECH,2022-03-30 21:08:00,2022-03-30,2022-03-28,2022-03-28,-,Market Sale,Sell,Equity Shares,336470.0,0.0,0.0,0.0,0.0,644358.0,2.09,307888.0,1.0
MTARTECH,2022-03-30 21:09:00,2022-03-30,2022-03-28,2022-03-28,-,Market Sale,Sell,Equity Shares,336470.0,0.0,0.0,0.0,0.0,644358.0,2.09,307888.0,1.0
MTARTECH,2022-04-01 17:01:00,2022-03-31,2022-03-25,2022-03-25,-,Market Sale,Sell,Equity Shares,489530.0,0.0,0.0,0.0,0.0,489530.0,1.59,,0.0
MTARTECH,2022-04-01 17:01:00,2022-03-31,2022-03-25,2022-03-25,-,Market Sale,Sell,Equity Shares,1942382.0,0.0,0.0,0.0,0.0,2586740.0,8.41,644358.0,2.09
MTARTECH,2022-06-28 15:27:00,2022-06-28,2022-06-27,2022-06-27,Other,Market Sale,Sell,Equity Shares,4074.0,0.0,0.0,0.0,0.0,307888.0,1.0,303814.0,0.99
MTARTECH,2022-06-29 17:39:00,2022-06-29,2022-06-28,2022-06-28,Other,Market Sale,Sell,Equity Shares,61855.0,0.0,0.0,0.0,0.0,303814.0,0.99,241959.0,0.79
MTARTECH,2022-06-30 17:01:00,2022-06-30,2022-06-28,2022-06-28,Promoters,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,776321.0,2.52,775321.0,2.52
MTARTECH,2022-06-30 17:01:00,2022-06-30,2022-06-28,2022-06-28,Promoters,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,775321.0,2.52,771321.0,2.51
MTARTECH,2022-07-01 16:15:00,2022-07-01,2022-06-29,2022-06-29,Promoters,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,743813.0,2.42,643813.0,2.09
MTARTECH,2022-07-01 16:19:00,2022-07-01,2022-06-29,2022-06-29,Promoters,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,1480431.0,4.81,1280431.0,4.16
MTARTECH,2022-07-01 16:22:00,2022-07-01,2022-06-29,2022-06-29,Promoters,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,1305446.0,4.24,1105446.0,3.59
MTARTECH,2022-07-01 16:24:00,2022-07-01,2022-06-29,2022-06-29,Promoters,Market Sale,Sell,Equity Shares,200000.0,0.0,0.0,0.0,0.0,1405445.0,4.57,1205445.0,3.92
