symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
NBCC,2016-10-25 12:20:00,2016-10-24,2016-10-20,2016-10-20,Promoters,Others,Sell,Equity Shares,72000000.0,0.0,0.0,0.0,0.0,540000000.0,90.0,468000000.0,78.0
NBCC,2016-10-25 19:27:00,2016-10-25,2016-10-21,2016-10-21,Promoter Group,Others,Sell,Equity Shares,18000000.0,0.0,0.0,0.0,0.0,468000000.0,78.0,450000000.0,75.0
NBCC,2017-11-22 16:18:00,2017-11-22,2017-11-21,2017-11-21,Promoters,Off Market,Sell,Equity Shares,356923.0,0.0,0.0,0.0,0.0,670884588.0,74.54,670527665.0,74.5
NBCC,2017-12-01 09:12:00,2017-11-22,2017-11-21,2017-11-21,Promoters,Off Market,Sell,Equity Shares,356923.0,0.0,0.0,0.0,0.0,670884588.0,74.54,670527665.0,74.5
NBCC,2017-12-01 09:12:00,2017-11-17,2017-11-15,2017-11-15,Promoters,Off Market,Sell,Equity Shares,4115412.0,0.0,0.0,0.0,0.0,675000000.0,75.0,670884588.0,74.54
NBCC,2018-02-07 16:52:00,2018-02-06,2018-02-02,2018-02-02,Promoters,Off Market,Sell,Equity Shares,1919416.0,0.0,0.0,0.0,0.0,670527665.0,74.5,668608249.0,74.29
NBCC,2018-06-14 18:31:00,2018-06-14,2018-06-12,2018-06-12,Promoters,Off Market,Sell,Equity Shares,8009687.0,0.0,0.0,0.0,0.0,1337216498.0,74.29,1329206811.0,73.84
NBCC,2018-06-18 18:51:00,2018-06-18,2018-06-15,2018-06-15,Promoters,Off Market,Sell,Equity Shares,2826949.0,0.0,0.0,0.0,0.0,1329206811.0,73.84,1326379862.0,73.69
NBCC,2018-07-09 15:53:00,2018-07-05,2018-07-03,2018-07-03,Promoters,Off Market,Buy,Equity Shares,1124042.0,0.0,0.0,0.0,0.0,1326379862.0,73.69,1327503904.0,73.75
NBCC,2018-12-10 16:37:00,2018-12-06,2018-12-04,2018-12-04,Promoters,Off Market,Sell,Equity Shares,57251352.0,0.0,0.0,0.0,0.0,1327503904.0,73.75,1270252552.0,70.57
NBCC,2019-03-12 16:28:00,2019-03-11,2019-02-21,2019-02-21,Promoters,Off Market,Sell,Equity Shares,16507062.0,0.0,0.0,0.0,0.0,1270252552.0,70.57,1253745490.0,69.65
NBCC,2019-03-26 17:40:00,2019-03-25,2019-03-18,2019-03-18,Promoters,Off Market,Sell,Equity,31093284.0,0.0,0.0,0.0,0.0,1253745490.0,69.65,1222652206.0,67.93
NBCC,2019-03-28 20:30:00,2019-03-27,2019-03-25,2019-03-25,Promoters,Off Market,Buy,Equity Shares,4656429.0,0.0,0.0,0.0,0.0,1222652206.0,67.93,1227308635.0,68.18
NBCC,2019-08-01 17:58:00,2019-07-30,2019-07-26,2019-07-26,Promoters,Off Market,Buy,Equity Shares,1966703.0,0.0,0.0,0.0,0.0,1184732721.0,65.82,1186699424.0,65.93
NBCC,2019-08-01 17:58:00,2019-07-30,2019-07-16,2019-07-16,Promoters,Off Market,Sell,Equity Shares,42575914.0,0.0,0.0,0.0,0.0,1227308635.0,68.18,1184732721.0,65.82
NBCC,2019-10-14 19:27:00,2019-10-11,2019-10-01,2019-10-01,Promoters,Off Market,Sell,Equity Shares,18478681.0,0.0,0.0,0.0,0.0,1186699424.0,65.93,1168220743.0,64.9
NBCC,2019-11-07 18:32:00,2019-11-06,2019-10-15,2019-10-15,Promoters,Off Market,Buy,Equity Shares,882235.0,0.0,0.0,0.0,0.0,1168220743.0,64.9,1169102978.0,64.95
NBCC,2020-02-01 12:13:00,2020-01-31,2020-01-28,2020-01-28,Promoters,Off Market,Sell,Equity Shares,250920000.0,0.0,0.0,0.0,0.0,1169102978.0,64.95,918182978.0,51.01
NBCC,2020-02-11 18:54:00,2020-02-10,2020-02-04,2020-02-04,Promoters,Off Market,Buy,Equity Shares,193396115.0,0.0,0.0,0.0,0.0,918182978.0,51.01,1111579093.0,61.75
