symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,3178146.0,0.0,0.0,0.0,0.0,116.0,0.0,3178262.0,28.49
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,319906.0,0.0,0.0,0.0,0.0,116.0,0.0,320022.0,2.87
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,243471.0,0.0,0.0,0.0,0.0,116.0,0.0,243587.0,2.18
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,45347.0,0.0,0.0,0.0,0.0,120.0,0.0,45467.0,0.41
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Immediate relative,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,613222.0,0.0,0.0,0.0,0.0,116.0,0.0,613338.0,5.5
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Immediate relative,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,163298.0,0.0,0.0,0.0,0.0,116.0,0.0,163414.0,1.46
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Immediate relative,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,31381.0,0.0,0.0,0.0,0.0,120.0,0.0,31501.0,0.28
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Immediate relative,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,6409.0,0.0,0.0,0.0,0.0,116.0,0.0,6525.0,0.06
NEULANDLAB,2018-05-07 18:21:00,2018-05-03,2018-04-30,2018-04-30,Immediate relative,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,22190.0,0.0,0.0,0.0,0.0,116.0,0.0,22306.0,0.2
NEULANDLAB,2019-09-18 19:12:00,2019-09-18,2019-09-13,2019-09-13,Promoter Group,Off Market,Sell,Equity Shares,5184.0,0.0,0.0,0.0,0.0,5184.0,0.04,,0.0
NEULANDLAB,2020-03-23 18:04:00,2020-03-23,2020-03-19,2020-03-23,Promoters,Market Purchase,Buy,Equity Shares,25203.0,0.0,0.0,0.0,0.0,3178262.0,24.77,3203465.0,24.96
NEULANDLAB,2020-03-23 18:04:00,2020-03-20,2020-03-18,2020-03-20,Promoters,Market Purchase,Buy,Equity Shares,9900.0,0.0,0.0,0.0,0.0,243587.0,1.9,253487.0,1.97
NEULANDLAB,2020-03-23 18:22:00,2020-03-20,2020-03-18,2020-03-19,Promoters,Market Purchase,Buy,Equity Shares,8020.0,0.0,0.0,0.0,0.0,320022.0,2.49,328042.0,2.55
NEULANDLAB,2020-03-31 15:57:00,2020-03-30,2020-03-30,2020-03-30,Promoters,Market Purchase,Buy,Equity Shares,9500.0,0.0,0.0,0.0,0.0,328042.0,2.55,337542.0,2.62
NEULANDLAB,2020-04-23 16:17:00,2020-03-20,2020-03-18,2020-03-20,Promoters,Market Purchase,Buy,Equity Shares,9900.0,0.0,0.0,0.0,0.0,243587.0,1.9,253487.0,1.97
NEULANDLAB,2020-09-14 19:10:00,2020-09-14,2020-09-10,2020-09-14,Promoter Group,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,45467.0,0.35,44467.0,0.35
NEULANDLAB,2020-09-17 12:36:00,2020-09-16,2020-09-14,2020-09-16,Promoter Group,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,30501.0,0.24,29501.0,0.23
NEULANDLAB,2021-02-09 12:09:00,2021-02-08,2021-02-05,2021-02-08,Promoters,Market Sale,Sell,Equity Shares,850.0,0.0,0.0,0.0,0.0,43967.0,0.34,43117.0,0.34
NEULANDLAB,2021-02-09 12:09:00,2021-02-08,2021-02-05,2021-02-08,Promoter Group,Market Sale,Sell,Equity Shares,850.0,0.0,0.0,0.0,0.0,29001.0,0.23,28151.0,0.22
NEULANDLAB,2021-02-10 18:33:00,2021-02-10,2021-02-05,2021-02-10,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,1000.0,0.01,,0.0
NEULANDLAB,2021-02-12 18:17:00,2021-02-12,2021-02-09,2021-02-12,Promoters,Market Sale,Sell,Equity Shares,1150.0,0.0,0.0,0.0,0.0,43117.0,0.34,41967.0,0.33
NEULANDLAB,2021-02-12 18:17:00,2021-02-12,2021-02-09,2021-02-12,Promoter Group,Market Sale,Sell,Equity Shares,650.0,0.0,0.0,0.0,0.0,28151.0,0.22,27501.0,0.21
NEULANDLAB,2022-03-22 16:55:00,2022-03-22,2022-03-21,2022-03-21,Promoter Group,Gift,Sell,Equity Shares,77634.0,0.0,0.0,0.0,0.0,163414.0,1.27,85780.0,0.66
NEULANDLAB,2022-09-01 18:35:00,2022-08-29,2022-08-17,2022-08-25,Immediate relative,Market Purchase,Buy,Equity Shares,900.0,0.0,0.0,0.0,0.0,100.0,0.0,1000.0,0.0
NEULANDLAB,2022-09-30 17:02:00,2022-09-30,2022-09-28,2022-09-30,Immediate relative,Market Purchase,Buy,Equity Shares,1267.0,0.0,0.0,0.0,0.0,,0.0,1267.0,0.0
NEULANDLAB,2023-08-24 11:17:00,2023-08-22,2023-08-18,2023-08-18,Promoters,Gift,Buy,Equity Shares,33500.0,0.0,0.0,0.0,0.0,253587.0,1.98,287087.0,2.24
NEULANDLAB,2023-08-24 11:17:00,2023-08-22,2023-08-18,2023-08-18,Promoters,Gift,Sell,Equity Shares,33500.0,0.0,0.0,0.0,0.0,3203474.0,24.97,3169974.0,24.71
NEULANDLAB,2023-12-05 15:08:00,2023-12-05,2023-12-04,2023-12-04,Immediate relative,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,1000.0,0.0,500.0,0.0
NEULANDLAB,2025-02-25 18:24:00,2025-02-25,2025-02-25,2025-02-25,Promoters,Gift,Sell,Equity Shares,79573.0,0.0,0.0,0.0,0.0,337542.0,2.63,257969.0,2.01
NEULANDLAB,2025-02-25 18:24:00,2025-02-25,2025-02-24,2025-02-24,Promoter Group,Gift,Sell,Equity Shares,608338.0,0.0,0.0,0.0,0.0,613338.0,4.78,5000.0,0.04
NEULANDLAB,2025-02-25 18:24:00,2025-02-25,2025-02-24,2025-02-25,Promoters,Gift,Buy,Equity Shares,3253890.0,0.0,0.0,0.0,0.0,,0.0,3253890.0,25.36
NEULANDLAB,2025-02-25 18:24:00,2025-02-25,2025-02-24,2025-02-24,Promoters,Gift,Sell,Equity Shares,2565979.0,0.0,0.0,0.0,0.0,2775279.0,21.63,209300.0,1.63
NEULANDLAB,2025-03-01 10:51:00,2025-02-28,2025-02-28,2025-02-28,Promoters,Gift,Sell,Equity Shares,79462.0,0.0,0.0,0.0,0.0,287087.0,2.24,207625.0,1.62
NEULANDLAB,2025-03-01 10:51:00,2025-02-28,2025-02-28,2025-02-28,Promoters,Gift,Buy,Equity Shares,79462.0,0.0,0.0,0.0,0.0,3253890.0,25.36,3333352.0,25.98
NEULANDLAB,2025-09-24 12:13:00,2025-09-24,2025-09-23,2025-09-23,Promoter Group,Gift,Buy,Equity Shares,9000.0,0.0,0.0,0.0,0.0,,0.0,9000.0,0.01
NEULANDLAB,2025-09-24 12:13:00,2025-09-24,2025-09-23,2025-09-23,Promoter Group,Gift,Buy,Equity Shares,10000.0,0.0,0.0,0.0,0.0,21222.0,0.17,31222.0,0.24
NEULANDLAB,2025-09-24 12:13:00,2025-09-24,2025-09-23,2025-09-23,Promoters,Gift,Sell,Equity Shares,19000.0,0.0,0.0,0.0,0.0,31827.0,0.25,12827.0,0.01
NEULANDLAB,2025-12-17 12:03:00,2025-12-17,2025-12-16,2025-12-17,Promoters,Gift,Sell,Equity Shares,6000.0,0.0,0.0,0.0,0.0,12627.0,0.01,6627.0,0.01
NEULANDLAB,2025-12-17 12:03:00,2025-12-17,2025-12-16,2025-12-17,Promoter Group,-,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,,0.0,6000.0,0.01
NEULANDLAB,2026-03-05 15:53:00,2026-03-05,2026-03-04,2026-03-04,Promoters,Gift,Sell,Equity Shares,12500.0,0.0,0.0,0.0,0.0,207625.0,1.62,195125.0,1.52
NEULANDLAB,2026-03-05 15:53:00,2026-03-05,2026-03-04,2026-03-04,Promoter Group,Gift,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,,0.0,12500.0,0.01
NEULANDLAB,2026-03-26 15:54:00,2026-03-26,2026-03-25,2026-03-25,Promoters,Pledge Creation,Pledge,Equity Shares,96000.0,0.0,0.0,0.0,0.0,195125.0,1.52,195125.0,1.52
