symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
PAGEIND,2016-03-16 20:04:00,2016-03-11,2016-03-10,2016-03-10,Promoters,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,1895920.0,17.0,1875920.0,16.82
PAGEIND,2016-03-16 20:04:00,2016-03-11,2016-03-10,2016-03-10,Promoters,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,1895646.0,17.0,1875646.0,16.82
PAGEIND,2016-03-16 20:04:00,2016-03-11,2016-03-10,2016-03-10,Director,Market Purchase,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,1896503.0,17.0,1876503.0,16.82
PAGEIND,2016-03-23 14:37:00,2016-03-21,2016-03-18,2016-03-18,Promoters,Market Sale,Sell,Equity,54167.0,0.0,0.0,0.0,0.0,1875920.0,16.82,1821753.0,16.33
PAGEIND,2016-03-23 14:37:00,2016-03-21,2016-03-18,2016-03-18,Promoters,Market Sale,Sell,Equity,54166.0,0.0,0.0,0.0,0.0,1875646.0,16.82,1821480.0,16.33
PAGEIND,2016-03-23 14:37:00,2016-03-21,2016-03-18,2016-03-18,Promoters,Market Sale,Sell,Equity,54167.0,0.0,0.0,0.0,0.0,1876503.0,16.82,1822336.0,16.34
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,27.0,0.0,0.0,0.0,0.0,1819567.0,16.31,1819540.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,138.0,0.0,0.0,0.0,0.0,1819705.0,16.31,1819567.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,35.0,0.0,0.0,0.0,0.0,1819740.0,16.31,1819705.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,65.0,0.0,0.0,0.0,0.0,1819805.0,16.32,1819740.0,16.32
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,2300.0,0.0,0.0,0.0,0.0,1822105.0,16.34,1819805.0,16.34
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,19.0,0.0,0.0,0.0,0.0,1822124.0,16.34,1822105.0,16.34
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,212.0,0.0,0.0,0.0,0.0,1822336.0,16.34,1822124.0,16.34
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,28.0,0.0,0.0,0.0,0.0,1818962.0,16.31,1818934.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,141.0,0.0,0.0,0.0,0.0,1819103.0,16.31,1818962.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,34.0,0.0,0.0,0.0,0.0,1819137.0,16.31,1819103.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,60.0,0.0,0.0,0.0,0.0,1819197.0,16.31,1819137.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,2300.0,0.0,0.0,0.0,0.0,1821497.0,16.33,1819197.0,16.33
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,10.0,0.0,0.0,0.0,0.0,1821507.0,16.33,1821497.0,16.33
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,246.0,0.0,0.0,0.0,0.0,1821753.0,16.33,1821507.0,16.33
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,21.0,0.0,0.0,0.0,0.0,1818666.0,16.31,1818645.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-13,2018-07-13,Promoters,Market Sale,Sell,Equity Shares,139.0,0.0,0.0,0.0,0.0,1818805.0,16.31,1818666.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,30.0,0.0,0.0,0.0,0.0,1818835.0,16.31,1818805.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,65.0,0.0,0.0,0.0,0.0,1818900.0,16.31,1818835.0,16.31
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-12,2018-07-12,Promoters,Market Sale,Sell,Equity Shares,2300.0,0.0,0.0,0.0,0.0,1821200.0,16.33,1818900.0,16.33
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,260.0,0.0,0.0,0.0,0.0,1821480.0,16.33,1821220.0,16.33
PAGEIND,2018-07-16 21:47:00,2018-07-13,2018-07-11,2018-07-11,Promoters,Market Sale,Sell,Equity Shares,20.0,0.0,0.0,0.0,0.0,1821220.0,16.33,1821200.0,16.33
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,510.0,0.0,0.0,0.0,0.0,1819540.0,16.31,1819030.0,16.31
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,416.0,0.0,0.0,0.0,0.0,1819030.0,16.31,1818614.0,16.31
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,1818060.0,16.3,1817960.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,41.0,0.0,0.0,0.0,0.0,1818101.0,16.3,1818060.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,440.0,0.0,0.0,0.0,0.0,1818541.0,16.3,1818101.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,393.0,0.0,0.0,0.0,0.0,1818934.0,16.31,1818541.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-18,2018-07-18,Promoters,Market Sale,Sell,Equity Shares,126.0,0.0,0.0,0.0,0.0,1817664.0,16.3,1817538.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,100.0,0.0,0.0,0.0,0.0,1817764.0,16.3,1817664.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,50.0,0.0,0.0,0.0,0.0,1817814.0,16.3,1817764.0,16.3
PAGEIND,2018-07-20 20:12:00,2018-07-19,2018-07-17,2018-07-17,Promoters,Market Sale,Sell,Equity Shares,436.0,0.0,0.0,0.0,0.0,1818250.0,16.3,1817814.0,16.3
