symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
PCJEWELLER,2016-12-21 17:15:00,2016-12-21,2016-12-21,2016-12-21,Promoters,Market Purchase,Buy,Equity Shares,25000.0,0.0,0.0,0.0,0.0,66951050.0,37.38,66976050.0,37.4
PCJEWELLER,2017-02-23 20:38:00,2017-02-22,2017-02-20,2017-02-20,Immediate relative,Gift,Sell,Equity Shares,1225000.0,0.0,0.0,0.0,0.0,5340000.0,2.98,4115000.0,2.3
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Promoter Group,Market Sale,Sell,Equity Shares,250000.0,0.0,0.0,0.0,0.0,992100.0,0.55,742100.0,0.41
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Key Managerial Personnel,ESOP,Buy,Equity Shares,8800.0,0.0,0.0,0.0,0.0,1530.0,0.0,10330.0,0.01
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Key Managerial Personnel,ESOP,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,30.0,0.0,3030.0,0.0
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Employees/Designated Employees,ESOP,Buy,Equity Shares,8500.0,0.0,0.0,0.0,0.0,,0.0,8500.0,0.0
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Employees/Designated Employees,ESOP,Buy,Equity Shares,8500.0,0.0,0.0,0.0,0.0,,0.0,8500.0,0.0
PCJEWELLER,2017-02-23 20:38:00,2017-02-21,2017-02-17,2017-02-17,Director,ESOP,Buy,Equity Shares,8800.0,0.0,0.0,0.0,0.0,3000.0,0.0,11800.0,0.01
PCJEWELLER,2017-03-20 18:36:00,2017-03-18,2017-03-16,2017-03-16,Immediate relative,Gift,Sell,Equity Shares,175000.0,0.0,0.0,0.0,0.0,4115000.0,2.3,3940000.0,2.2
PCJEWELLER,2017-03-24 16:06:00,2017-03-22,2017-03-20,2017-03-20,Immediate relative,Market Sale,Sell,Equity Shares,100000.0,0.0,0.0,0.0,0.0,3940000.0,2.2,3840000.0,2.14
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-26,2017-05-26,Employees/Designated Employees,ESOP,Buy,Equity Shares,17000.0,0.0,0.0,0.0,0.0,4300.0,0.0,21300.0,0.01
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-26,2017-05-26,Key Managerial Personnel,ESOP,Buy,Equity Shares,17600.0,0.0,0.0,0.0,0.0,7330.0,0.0,24930.0,0.01
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-05,2017-05-08,Key Managerial Personnel,Market Sale,Sell,Equity Shares,1500.0,0.0,0.0,0.0,0.0,8830.0,0.0,7330.0,0.0
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-26,2017-05-26,Director,ESOP,Buy,Equity Shares,17600.0,0.0,0.0,0.0,0.0,7600.0,0.0,25200.0,0.01
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-04-05,2017-05-16,Director,Market Sale,Sell,Equity Shares,2200.0,0.0,0.0,0.0,0.0,9800.0,0.01,7600.0,0.0
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-26,2017-05-26,Key Managerial Personnel,ESOP,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,2830.0,0.0,8830.0,0.0
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-08,2017-05-08,Key Managerial Personnel,Market Sale,Sell,Equity Shares,200.0,0.0,0.0,0.0,0.0,3030.0,0.0,2830.0,0.0
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-05-26,2017-05-26,Employees/Designated Employees,ESOP,Buy,Equity Shares,17000.0,0.0,0.0,0.0,0.0,4300.0,0.0,21300.0,0.01
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-04-05,2017-05-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2200.0,0.0,0.0,0.0,0.0,6500.0,0.0,4300.0,0.0
PCJEWELLER,2017-05-31 17:59:00,2017-05-30,2017-04-05,2017-05-05,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2200.0,0.0,0.0,0.0,0.0,6500.0,0.0,4300.0,0.0
PCJEWELLER,2017-06-30 16:16:00,2017-06-28,2017-06-23,2017-06-27,Immediate relative,Market Sale,Sell,Equity Shares,255000.0,0.0,0.0,0.0,0.0,255000.0,0.14,,0.0
PCJEWELLER,2017-07-03 16:56:00,2017-06-29,2017-06-27,2017-06-27,Immediate relative,Market Sale,Sell,Equity Shares,32909.0,0.0,0.0,0.0,0.0,3840000.0,2.14,3807091.0,2.12
PCJEWELLER,2017-07-10 18:20:00,2017-07-06,2017-07-04,2017-07-04,Immediate relative,Gift,Sell,Equity Shares,3300000.0,0.0,0.0,0.0,0.0,3807091.0,2.12,507091.0,0.28
PCJEWELLER,2018-03-23 19:32:00,2018-03-21,2018-03-19,2018-03-19,Immediate relative,Gift,Sell,Equity Shares,1014182.0,0.0,0.0,0.0,0.0,1014182.0,0.26,,0.0
PCJEWELLER,2018-04-06 20:05:00,2018-04-04,2018-04-02,2018-04-02,Promoters,Gift,Sell,Equity Shares,1500000.0,0.0,0.0,0.0,0.0,100743600.0,25.55,99243600.0,25.17
PCJEWELLER,2018-04-12 23:15:00,2018-04-10,2018-04-06,2018-04-06,Promoters,Gift,Sell,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,99243600.0,25.17,97443600.0,24.71
PCJEWELLER,2018-04-16 23:16:00,2018-04-12,2018-04-10,2018-04-10,Promoters,Gift,Sell,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,97443600.0,24.71,95643600.0,24.25
PCJEWELLER,2018-04-19 23:50:00,2018-04-17,2018-04-13,2018-04-13,Promoters,Gift,Sell,Equity Shares,1600000.0,0.0,0.0,0.0,0.0,95643600.0,24.25,94043600.0,23.85
PCJEWELLER,2018-04-23 23:22:00,2018-04-19,2018-04-17,2018-04-17,Promoters,Gift,Sell,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,94043600.0,23.85,92243600.0,23.39
PCJEWELLER,2018-04-26 23:27:00,2018-04-24,2018-04-20,2018-04-20,Promoters,Gift,Sell,Equity Shares,1800000.0,0.0,0.0,0.0,0.0,92243600.0,23.39,90443600.0,22.93
PCJEWELLER,2018-05-31 19:44:00,2018-05-29,2018-05-26,2018-05-26,Employees/Designated Employees,ESOP,Buy,Equity Shares,25500.0,0.0,0.0,0.0,0.0,26500.0,0.01,52000.0,0.01
PCJEWELLER,2018-05-31 19:44:00,2018-05-29,2018-05-26,2018-05-26,Key Managerial Personnel,ESOP,Buy,Equity Shares,26400.0,0.0,0.0,0.0,0.0,34310.0,0.01,60710.0,0.02
PCJEWELLER,2018-05-31 19:44:00,2018-05-29,2018-05-26,2018-05-26,Director,ESOP,Buy,Equity Shares,26400.0,0.0,0.0,0.0,0.0,39450.0,0.01,65850.0,0.02
PCJEWELLER,2018-05-31 19:44:00,2018-05-29,2018-05-26,2018-05-26,Employees/Designated Employees,ESOP,Buy,Equity Shares,25500.0,0.0,0.0,0.0,0.0,26700.0,0.01,52200.0,0.01
PCJEWELLER,2018-05-31 19:44:00,2018-05-29,2018-05-26,2018-05-26,Key Managerial Personnel,ESOP,Buy,Equity Shares,9000.0,0.0,0.0,0.0,0.0,13000.0,0.0,22000.0,0.01
PCJEWELLER,2018-08-16 19:59:00,2018-08-14,2018-08-11,2018-08-11,Key Managerial Personnel,ESOP,Buy,Equity Shares,36975.0,0.0,0.0,0.0,0.0,60710.0,0.02,97685.0,0.02
PCJEWELLER,2018-08-16 19:59:00,2018-08-14,2018-08-11,2018-08-11,Director,ESOP,Buy,Equity Shares,36975.0,0.0,0.0,0.0,0.0,65850.0,0.02,102825.0,0.03
PCJEWELLER,2018-08-16 19:59:00,2018-08-14,2018-08-11,2018-08-11,Key Managerial Personnel,ESOP,Buy,Equity Shares,12605.0,0.0,0.0,0.0,0.0,22000.0,0.01,34605.0,0.01
