symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,4750.0,0.0,0.0,0.0,0.0,,0.0,4750.0,0.0029
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,9375.0,0.0,0.0,0.0,0.0,,0.0,9375.0,0.0056
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,8750.0,0.0,0.0,0.0,0.0,,0.0,8750.0,0.0053
PNBHOUSING,2017-05-18 18:11:00,2017-05-15,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,285.0,0.0002,5285.0,0.0032
PNBHOUSING,2017-05-18 18:11:00,2017-05-15,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,6250.0,0.0,0.0,0.0,0.0,285.0,0.0002,6535.0,0.0039
PNBHOUSING,2017-05-18 18:11:00,2017-05-13,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.003
PNBHOUSING,2017-05-18 18:11:00,2017-05-15,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,4375.0,0.0,0.0,0.0,0.0,285.0,0.0002,4660.0,0.0028
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,4250.0,0.0,0.0,0.0,0.0,,0.0,4250.0,0.0026
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,6875.0,0.0,0.0,0.0,0.0,,0.0,6875.0,0.0041
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,3750.0,0.0,0.0,0.0,0.0,,0.0,3750.0,0.0023
PNBHOUSING,2017-05-18 18:11:00,2017-05-12,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,,0.0,6000.0,0.0036
PNBHOUSING,2017-05-18 18:11:00,2017-05-15,2017-05-11,2017-05-11,Other,ESOP,Buy,Equity Shares,4250.0,0.0,0.0,0.0,0.0,,0.0,4250.0,0.0026
