symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
POLARIS,2015-12-01 09:50:00,2015-11-11,2015-11-06,2015-11-06,Promoters,Market Purchase,Buy,Equity Shares,2000.0,0.0,0.0,0.0,0.0,400.0,0.0,2400.0,0.0
POLARIS,2015-12-01 09:50:00,2015-11-11,2015-10-30,2015-10-30,Promoters,Market Sale,Sell,Equity Shares,5500.0,0.0,0.0,0.0,0.0,5900.0,0.01,400.0,0.0
POLARIS,2015-12-01 09:50:00,2015-11-11,2015-11-09,2015-11-09,Promoters,-,Buy,Equity Shares,3500.0,0.0,0.0,0.0,0.0,2400.0,0.0,5900.0,0.01
POLARIS,2015-12-01 15:16:00,2015-11-28,2015-11-26,2015-11-26,Other,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,43000.0,0.04,23000.0,0.04
POLARIS,2015-12-04 11:01:00,2015-12-02,2015-11-30,2015-12-01,Other,Market Sale,Sell,Equity Shares,18004.0,0.0,0.0,0.0,0.0,23000.0,0.04,4996.0,0.0
POLARIS,2015-12-09 19:28:00,2015-12-02,2015-11-30,2015-11-30,Other,Market Sale,Sell,Equity Shares,4.0,0.0,0.0,0.0,0.0,23000.0,0.04,22996.0,0.0
POLARIS,2015-12-09 19:28:00,2015-12-02,2015-12-01,2015-12-01,Other,Market Sale,Sell,Equity Shares,18000.0,0.0,0.0,0.0,0.0,22996.0,0.0,4996.0,0.0
POLARIS,2016-01-05 10:54:00,2016-01-04,2015-12-31,2015-12-31,Other,Market Sale,Sell,Equity Shares,99328.0,0.0,0.0,0.0,0.0,99328.0,0.1,,0.0
POLARIS,2016-01-05 10:54:00,2016-01-04,2015-12-31,2015-12-31,Other,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,106328.0,0.11,99328.0,0.1
POLARIS,2016-01-05 10:54:00,2016-01-04,2015-12-30,2015-12-30,Other,Market Sale,Sell,Equity Shares,67590.0,0.0,0.0,0.0,0.0,173918.0,0.17,106328.0,0.11
POLARIS,2016-01-05 10:54:00,2016-01-04,2015-12-30,2015-12-30,Other,Market Sale,Sell,Equity Shares,7672.0,0.0,0.0,0.0,0.0,181590.0,0.18,173918.0,0.17
POLARIS,2016-02-18 11:29:00,2016-02-17,2016-02-16,2016-02-17,Director,Market Sale,Sell,Equity Shares,27622.0,0.0,0.0,0.0,0.0,36622.0,0.007,9000.0,0.002
POLARIS,2016-02-19 18:40:00,2016-02-19,2016-02-18,2016-02-19,Director,Market Sale,Sell,Equity Shares,9000.0,0.0,0.0,0.0,0.0,9000.0,0.002,,0.0
POLARIS,2016-02-19 18:42:00,2016-02-15,2016-02-15,2016-02-15,Director,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,26000.0,0.03,21000.0,0.02
POLARIS,2016-02-23 16:48:00,2016-02-22,2016-02-16,2016-02-18,Director,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,21000.0,0.02,16000.0,0.002
POLARIS,2016-02-26 08:51:00,2016-02-24,2016-02-23,2016-02-23,Director,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,16000.0,0.02,6000.0,0.01
POLARIS,2016-03-04 15:12:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,60000.0,0.0,0.0,0.0,0.0,60000.0,0.06,,0.0
POLARIS,2016-03-04 15:14:00,2016-03-03,2016-03-02,2016-03-02,Promoters,Market Sale,Sell,Equity Shares,5900.0,0.0,0.0,0.0,0.0,5900.0,0.01,,0.0
POLARIS,2016-03-04 15:21:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,2300.0,0.0,0.0,0.0,0.0,2300.0,0.01,,0.0
POLARIS,2016-03-04 15:48:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,4322365.0,0.0,0.0,0.0,0.0,4322365.0,4.31,,0.0
POLARIS,2016-03-04 15:49:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,1052460.0,0.0,0.0,0.0,0.0,1052460.0,1.05,,0.0
POLARIS,2016-03-04 15:50:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,2077447.0,0.0,0.0,0.0,0.0,2077447.0,2.07,,0.0
POLARIS,2016-03-04 15:50:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,20020938.0,0.0,0.0,0.0,0.0,20020938.0,19.95,,0.0
POLARIS,2016-03-04 15:51:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,789000.0,0.0,0.0,0.0,0.0,789000.0,0.79,,0.0
POLARIS,2016-03-08 09:44:00,2016-03-03,2016-03-02,2016-03-02,Promoters,Market Sale,Sell,Equity Shares,2400.0,0.0,0.0,0.0,0.0,2400.0,0.0,,0.0
POLARIS,2016-03-09 11:37:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,619500.0,0.0,0.0,0.0,0.0,619500.0,0.62,,0.0
POLARIS,2016-03-14 18:58:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,2400.0,0.0,0.0,0.0,0.0,2400.0,0.0,,0.0
POLARIS,2016-03-14 18:59:00,2016-03-02,2016-03-01,2016-03-01,Promoters,Market Sale,Sell,Equity Shares,21450.0,0.0,0.0,0.0,0.0,34740.0,0.03,13290.0,0.01
POLARIS,2016-05-19 20:03:00,2016-05-17,2016-03-17,2016-04-07,Director,Market Sale,Sell,Equity Shares,46181.0,0.0,0.0,0.0,0.0,48000.0,0.04,1819.0,0.0
POLARIS,2016-06-03 16:19:00,2016-06-02,2016-05-30,2016-05-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2384.0,0.0,0.0,0.0,0.0,2384.0,0.01,,0.0
