symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
POONAWALLA,2015-12-07 14:18:00,2015-12-04,2015-12-03,2015-12-03,Employees/Designated Employees,Market Sale,Sell,Equity Shares,12665.0,0.0,0.0,0.0,0.0,129000.0,0.0,116335.0,0.0
POONAWALLA,2015-12-07 17:34:00,2015-12-05,2015-12-04,2015-12-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,16521.0,0.0,0.0,0.0,0.0,116335.0,0.0,99814.0,0.0
POONAWALLA,2015-12-08 18:37:00,2015-12-08,2015-12-07,2015-12-07,Employees/Designated Employees,Market Sale,Sell,Equity Shares,25814.0,0.0,0.0,0.0,0.0,99814.0,0.0,74000.0,0.0
POONAWALLA,2015-12-09 19:50:00,2015-12-09,2015-12-08,2015-12-08,Employees/Designated Employees,Market Sale,Sell,Equity Shares,10601.0,0.0,0.0,0.0,0.0,74000.0,0.0,63399.0,0.0
POONAWALLA,2015-12-10 15:04:00,2015-12-10,2015-12-09,2015-12-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,17399.0,0.0,0.0,0.0,0.0,63399.0,0.0,46000.0,0.0
POONAWALLA,2015-12-14 16:05:00,2015-12-10,2015-12-09,2015-12-09,Employees/Designated Employees,Market Sale,Sell,Equity Shares,17399.0,0.0,0.0,0.0,0.0,63399.0,0.0,46000.0,0.0
POONAWALLA,2016-10-07 18:51:00,2016-10-07,2016-10-06,2016-10-07,Employees/Designated Employees,Others,Sell,Equity Shares,13000.0,0.0,0.0,0.0,0.0,20000.0,0.0,7000.0,0.0
POONAWALLA,2017-02-13 17:20:00,2017-02-13,2017-02-13,2017-02-13,Promoter Group,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,1820120.0,0.0,0.0,0.0,0.0,,0.0,1820120.0,0.768
POONAWALLA,2017-08-29 18:50:00,2017-08-29,2017-08-29,2017-08-29,Key Managerial Personnel,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,45000.0,0.02,20000.0,0.0
POONAWALLA,2019-03-20 17:49:00,2019-03-20,2019-03-19,2019-03-19,Promoter Group,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,1820120.0,0.0,0.0,0.0,0.0,,0.0,1820120.0,0.68
POONAWALLA,2021-03-05 18:09:00,2021-03-03,2021-03-02,2021-03-02,Other,Market Sale,Sell,Equity Shares,843826.0,0.0,0.0,0.0,0.0,28146754.0,10.44,27302928.0,10.13
POONAWALLA,2021-03-05 18:09:00,2021-03-03,2021-02-22,2021-02-22,Other,Market Sale,Sell,Equity Shares,108770.0,0.0,0.0,0.0,0.0,28255524.0,10.48,28146754.0,10.44
POONAWALLA,2021-03-13 20:44:00,2021-03-12,2021-03-10,2021-03-10,Other,Market Sale,Sell,Equity Shares,862019.0,0.0,0.0,0.0,0.0,27117543.0,10.06,26255524.0,9.74
POONAWALLA,2021-03-13 20:44:00,2021-03-12,2021-03-09,2021-03-09,Other,Market Sale,Sell,Equity Shares,47404.0,0.0,0.0,0.0,0.0,27302928.0,10.13,27255524.0,10.11
POONAWALLA,2021-03-13 20:44:00,2021-03-12,2021-03-10,2021-03-10,Other,Market Sale,Sell,Equity Shares,137981.0,0.0,0.0,0.0,0.0,27255524.0,10.11,27117543.0,10.06
POONAWALLA,2021-03-17 17:55:00,2021-03-16,2021-03-12,2021-03-12,Other,Market Sale,Sell,Equity Shares,21700.0,0.0,0.0,0.0,0.0,26255524.0,9.74,26233824.0,9.73
POONAWALLA,2021-03-17 17:55:00,2021-03-16,2021-03-12,2021-03-12,Other,Market Sale,Sell,Equity Shares,334214.0,0.0,0.0,0.0,0.0,26233824.0,9.73,25899610.0,9.61
