symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
RELIGARE,2016-02-18 19:31:00,2016-02-16,2016-02-12,2016-02-12,Promoters,Pledge Creation,Pledge,Equity Shares,75000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-02-19 11:03:00,2016-02-16,2016-02-10,2016-02-16,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4690.0,0.0,0.0,0.0,0.0,4690.0,0.0,,0.0
RELIGARE,2016-02-26 11:28:00,2016-02-19,2016-02-17,2016-02-17,Promoters,Pledge Creation,Pledge,Equity Shares,910000.0,0.0,0.0,0.0,0.0,29112634.0,16.32,29112634.0,16.32
RELIGARE,2016-02-26 11:28:00,2016-02-19,2016-02-17,2016-02-17,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,153257.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-02-26 11:28:00,2016-02-19,2016-02-17,2016-02-17,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,710000.0,0.0,0.0,0.0,0.0,10876602.0,6.1,10876602.0,6.1
RELIGARE,2016-02-26 11:28:00,2016-02-19,2016-02-18,2016-02-18,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,300000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-03-18 13:09:00,2016-03-16,2016-03-16,2016-03-16,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,2770000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-03-18 13:09:00,2016-03-16,2016-03-14,2016-03-14,Promoters,Pledge Creation,Pledge,Equity Shares,2500000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-03-18 13:09:00,2016-03-16,2016-03-14,2016-03-14,Promoters,Pledge Creation,Pledge,Equity Shares,82000.0,0.0,0.0,0.0,0.0,29112634.0,16.32,29112634.0,16.32
RELIGARE,2016-03-21 15:11:00,2016-03-18,2016-03-17,2016-03-17,Promoters,Pledge Creation,Pledge,Equity Shares,585000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-04-01 18:46:00,2016-03-31,2016-03-29,2016-03-29,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,1701400.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-04-07 15:34:00,2016-04-06,2016-04-04,2016-04-04,Promoters,Pledge Creation,Pledge,Equity Shares,3550000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-04-11 19:12:00,2016-04-07,2016-04-07,2016-04-07,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,347500000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
RELIGARE,2016-04-22 13:55:00,2016-04-18,2016-04-13,2016-04-13,Promoters,Pledge Creation,Pledge,Equity Shares,700000.0,0.0,0.0,0.0,0.0,39709358.0,22.27,39709358.0,22.27
