symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
RPOWER,2015-12-16 13:39:00,2015-12-15,2015-12-11,2015-12-11,Promoters,Inter-se-Transfer,Buy,Equity Shares,28000000.0,0.0,0.0,0.0,0.0,1183998193.0,42.21,1211998193.0,43.21
RPOWER,2015-12-16 13:42:00,2015-12-15,2015-12-11,2015-12-11,Promoters,Inter-se-Transfer,Sell,Equity Shares,28000000.0,0.0,0.0,0.0,0.0,375552662.0,13.39,347552662.0,12.39
RPOWER,2016-01-28 10:36:00,2016-01-22,2016-01-20,2016-01-20,Promoters,Pledge Creation,Pledge,Equity Shares,30000000.0,0.0,0.0,0.0,0.0,537387901.0,19.16,537387901.0,19.16
RPOWER,2016-02-05 16:16:00,2016-02-03,2016-02-01,2016-02-01,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,48300000.0,0.0,0.0,0.0,0.0,1211998193.0,43.21,1211998193.0,43.21
RPOWER,2016-02-22 18:40:00,2016-02-18,2016-02-16,2016-02-16,Promoters,Pledge Creation,Pledge,Equity Shares,21500000.0,0.0,0.0,0.0,0.0,1211998193.0,43.21,1211998193.0,43.21
RPOWER,2016-03-04 18:23:00,2016-03-03,2016-03-01,2016-03-01,Promoters,Pledge Creation,Pledge,Equity Shares,4000000.0,0.0,0.0,0.0,0.0,1211998193.0,43.21,1211998193.0,43.21
RPOWER,2016-04-29 12:56:00,2016-04-27,2016-04-25,2016-04-25,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,21000000.0,0.0,0.0,0.0,0.0,1211998193.0,43.21,1211998193.0,43.21
RPOWER,2016-07-05 18:29:00,2016-07-04,2016-06-30,2016-06-30,Promoters,Pledge Creation,Pledge,Equity Shares,90000000.0,0.0,0.0,0.0,0.0,1211998193.0,43.22,1211998193.0,43.22
RPOWER,2016-07-08 20:46:00,2016-07-08,2016-07-05,2016-07-05,Promoters,Pledge Creation,Pledge,Equity Shares,60000000.0,0.0,0.0,0.0,0.0,537387901.0,19.16,537387901.0,19.16
RPOWER,2016-09-30 17:12:00,2016-09-30,2016-09-28,2016-09-28,Promoters,Pledge Creation,Pledge,Equity Shares,30000000.0,0.0,0.0,0.0,0.0,347552662.0,12.39,347552662.0,12.39
