symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
SAKHTISUG,2016-05-27 17:54:00,2016-05-25,2016-05-24,2016-05-24,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Sell,Equity Shares,67463540.0,0.0,0.0,0.0,0.0,67463540.0,70.12,,
SAKHTISUG,2016-05-27 17:54:00,2016-05-25,2016-05-24,2016-05-24,Promoters,Scheme of Amalgamation/Merger/Demerger/Arrangement,Buy,Equity Shares,67463540.0,0.0,0.0,0.0,0.0,,0.0,67463540.0,70.12
SAKHTISUG,2016-08-01 09:09:00,2016-07-28,2016-07-26,2016-07-26,Promoters,Invocation of pledge,Pledge,Equity Shares,547700.0,0.0,0.0,0.0,0.0,67463540.0,56.76,67463540.0,56.76
SAKHTISUG,2016-08-01 09:09:00,2016-07-30,2016-07-30,2016-07-30,Promoters,Invocation of pledge,Pledge,Equity Shares,50200.0,0.0,0.0,0.0,0.0,1914200.0,1.61,1914200.0,1.61
SAKHTISUG,2016-08-19 20:17:00,2016-08-19,2016-08-18,2016-08-18,Promoters,Invocation of pledge,Pledge,Equity Shares,59400000.0,0.0,0.0,0.0,0.0,67463540.0,56.76,67463540.0,56.76
SAKHTISUG,2019-02-06 16:56:00,2019-02-05,2019-01-10,2019-02-01,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,90000.0,0.0,0.0,0.0,0.0,67463540.0,56.76,67373540.0,56.69
SAKHTISUG,2019-02-07 16:00:00,2019-02-06,2019-02-04,2019-02-04,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,30000.0,0.0,0.0,0.0,0.0,67373540.0,56.69,67343540.0,56.66
SAKHTISUG,2019-02-08 15:07:00,2019-02-07,2019-02-05,2019-02-06,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,80000.0,0.0,0.0,0.0,0.0,67343540.0,56.66,67263540.0,56.6
SAKHTISUG,2019-02-11 16:17:00,2019-02-09,2019-02-07,2019-02-08,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,60000.0,0.0,0.0,0.0,0.0,67263540.0,56.6,67203540.0,56.55
SAKHTISUG,2019-02-13 16:46:00,2019-02-12,2019-02-11,2019-02-12,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,100000.0,0.0,0.0,0.0,0.0,67203540.0,56.55,67103540.0,56.46
SAKHTISUG,2019-02-19 15:42:00,2019-02-19,2019-02-15,2019-02-18,Promoter Group,Invocation of pledge,Pledge Invoke,Equity Shares,115000.0,0.0,0.0,0.0,0.0,67003540.0,56.38,66888540.0,56.28
