symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
SBICARD,2020-03-27 20:37:00,2020-03-26,2020-03-18,2020-03-18,Promoter Group,Market Sale,Sell,Equity Shares,7176.0,0.0,0.0,0.0,0.0,349453.0,0.04,342277.0,0.04
SBICARD,2020-04-29 11:52:00,2020-04-28,2020-04-09,2020-04-28,Promoter Group,Market Sale,Sell,Equity Shares,15550.0,0.0,0.0,0.0,0.0,342277.0,0.04,326727.0,0.03
SBICARD,2020-05-06 19:51:00,2020-05-06,2020-05-06,2020-05-06,Promoter Group,Market Sale,Sell,Equity Shares,27770.0,0.0,0.0,0.0,0.0,326727.0,0.03,298957.0,0.03
SBICARD,2020-05-11 11:17:00,2020-05-09,2020-05-07,2020-05-07,Promoter Group,Market Sale,Sell,Equity Shares,107761.0,0.0,0.0,0.0,0.0,298957.0,0.03,191196.0,0.02
SBICARD,2020-05-11 19:00:00,2020-05-11,2020-05-08,2020-05-08,Promoter Group,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,191196.0,0.02,187196.0,0.02
SBICARD,2020-05-16 10:31:00,2020-05-15,2020-05-14,2020-05-14,Promoter Group,Market Sale,Sell,Equity Shares,15551.0,0.0,0.0,0.0,0.0,187196.0,0.02,171645.0,0.02
SBICARD,2020-06-05 16:23:00,2020-06-05,2020-06-04,2020-06-04,Promoter Group,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,171645.0,0.02,146645.0,0.02
SBICARD,2020-06-19 21:44:00,2020-06-19,2020-06-19,2020-06-19,Promoter Group,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,146645.0,0.02,196645.0,0.02
SBICARD,2020-07-24 11:29:00,2020-07-23,2020-07-22,2020-07-22,Promoter Group,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,196645.0,0.02,146645.0,0.02
SBICARD,2020-07-31 11:08:00,2020-07-30,2020-07-29,2020-07-29,Promoter Group,Market Sale,Sell,Equity Shares,3332.0,0.0,0.0,0.0,0.0,146645.0,0.02,143313.0,0.02
SBICARD,2020-08-10 13:03:00,2020-08-08,2020-08-07,2020-08-07,Promoter Group,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,143313.0,0.02,118313.0,0.01
SBICARD,2020-08-12 11:42:00,2020-08-11,2020-08-11,2020-08-11,Promoter Group,Market Sale,Sell,Equity Shares,42744.0,0.0,0.0,0.0,0.0,118313.0,0.01,75569.0,0.01
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,4900.0,0.0,0.0,0.0,0.0,,0.0,4900.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,1500.0,0.0,0.0,0.0,0.0,,0.0,1500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,1500.0,0.0,0.0,0.0,0.0,,0.0,1500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,3185.0,0.0,0.0,0.0,0.0,,0.0,3185.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,3400.0,0.0,0.0,0.0,0.0,,0.0,3400.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,3575.0,0.0,0.0,0.0,0.0,,0.0,3575.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,1200.0,0.0,0.0,0.0,0.0,,0.0,1200.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7350.0,0.0,0.0,0.0,0.0,107.0,0.0,7457.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,,0.0,7500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,9000.0,0.0,0.0,0.0,0.0,,0.0,9000.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,3185.0,0.0,0.0,0.0,0.0,,0.0,3185.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,3575.0,0.0,0.0,0.0,0.0,88.0,0.0,3663.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,4900.0,0.0,0.0,0.0,0.0,,0.0,4900.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,4900.0,0.0,0.0,0.0,0.0,,0.0,4900.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,35.0,0.0,5035.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,,0.0,5000.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,5250.0,0.0,0.0,0.0,0.0,,0.0,5250.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,5250.0,0.0,0.0,0.0,0.0,,0.0,5250.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,,0.0,6000.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7125.0,0.0,0.0,0.0,0.0,,0.0,7125.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7125.0,0.0,0.0,0.0,0.0,,0.0,7125.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,,0.0,7500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,,0.0,7500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-23,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,88.0,0.0,7588.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,,0.0,7500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7500.0,0.0,0.0,0.0,0.0,,0.0,7500.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7875.0,0.0,0.0,0.0,0.0,20.0,0.0,7895.0,0.0
SBICARD,2020-09-24 23:57:00,2020-09-22,2020-09-21,2020-09-21,Employees/Designated Employees,ESOP,Buy,Equity Shares,7875.0,0.0,0.0,0.0,0.0,,0.0,7875.0,0.0
