symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
SKFINDIA,2017-06-16 16:24:00,2017-06-15,2017-06-14,2017-06-14,Promoters,Others,Sell,Equity Shares,1215272.0,0.0,0.0,0.0,0.0,24639048.0,46.72,23423776.0,45.63
SKFINDIA,2017-06-16 17:17:00,2017-06-15,2017-06-14,2017-06-14,Promoters,Others,Sell,Equity Shares,1215272.0,0.0,0.0,0.0,0.0,24639048.0,46.72,23423776.0,45.63
SKFINDIA,2019-02-15 17:36:00,2019-02-15,2019-02-14,2019-02-14,Promoters,Others,Sell,Equity Shares,104622.0,0.0,0.0,0.0,0.0,3234203.0,6.3,3129581.0,6.33
SKFINDIA,2019-02-15 17:36:00,2019-02-15,2019-02-14,2019-02-14,Promoters,Others,Sell,Equity Shares,757721.0,0.0,0.0,0.0,0.0,23423776.0,45.63,22666055.0,45.85
SKFINDIA,2019-02-15 17:36:00,2019-02-15,2019-02-14,2019-02-14,Director,Others,Sell,Equity Shares,6566.0,0.0,0.0,0.0,0.0,202989.0,0.39,196423.0,0.4
SKFINDIA,2025-10-07 15:46:00,2025-10-06,2025-10-01,2025-10-01,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,3129581.0,0.0,0.0,0.0,0.0,3129581.0,6.33,,0.0
SKFINDIA,2025-10-07 15:46:00,2025-10-06,2025-10-01,2025-10-01,Promoter Group,Inter-se-Transfer,Sell,Equity Shares,196423.0,0.0,0.0,0.0,0.0,196423.0,0.4,,0.0
SKFINDIA,2025-10-07 15:46:00,2025-10-06,2025-10-01,2025-10-01,Promoters,Inter-se-Transfer,Buy,Equity Shares,3326004.0,0.0,0.0,0.0,0.0,22666055.0,45.85,25992059.0,52.58
SKFINDIA,2025-12-24 08:08:00,2025-12-23,2025-12-22,2025-12-22,Promoter Group,Inter-se-Transfer,Buy,Equity Shares,25992059.0,0.0,0.0,0.0,0.0,,0.0,25992059.0,52.58
SKFINDIA,2025-12-24 08:08:00,2025-12-23,2025-12-22,2025-12-22,Promoters,Inter-se-Transfer,Sell,Equity Shares,25992059.0,0.0,0.0,0.0,0.0,25992059.0,52.58,,0.0
