symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
SNOWMAN,2015-12-01 13:13:00,2015-11-25,2015-11-23,2015-11-23,Key Managerial Personnel,Market Sale,Sell,Equity Shares,27415.0,0.0,0.0,0.0,0.0,232500.0,0.1391,205085.0,0.1227
SNOWMAN,2015-12-14 17:26:00,2015-12-04,2015-12-03,2015-12-03,Key Managerial Personnel,Market Sale,Sell,Equity Shares,5000.0,0.0,0.0,0.0,0.0,205085.0,0.1227,200085.0,0.1197
SNOWMAN,2016-05-28 18:21:00,2016-05-27,2016-05-27,2016-05-27,Director,Market Sale,Sell,Equity Shares,25000.0,0.0,0.0,0.0,0.0,184085.0,0.1102,159085.0,0.095
SNOWMAN,2016-11-29 17:31:00,2016-11-29,2016-11-24,2016-11-28,Key Managerial Personnel,Market Sale,Sell,Equity Shares,31000.0,0.0,0.0,0.0,0.0,159085.0,0.095,128085.0,0.077
SNOWMAN,2017-12-15 16:38:00,2017-12-14,2017-10-09,2017-12-14,Key Managerial Personnel,Others,Sell,Equity Shares,18614.0,0.0,0.0,0.0,0.0,28633.0,0.0,10019.0,0.0
SNOWMAN,2023-12-23 18:44:00,2023-12-06,2023-12-05,2023-12-05,Promoters,Market Purchase,Buy,Equity Shares,850000.0,0.0,0.0,0.0,0.0,72285745.0,43.26,73135745.0,43.77
SNOWMAN,2023-12-23 18:44:00,2023-12-22,2023-12-21,2023-12-21,Promoters,Market Purchase,Buy,Equity Shares,427500.0,0.0,0.0,0.0,0.0,73135745.0,43.77,73563245.0,44.03
SNOWMAN,2023-12-23 18:44:00,2023-09-05,2023-09-05,2023-09-05,Promoters,Market Purchase,Buy,Equity Shares,555000.0,0.0,0.0,0.0,0.0,71294745.0,42.67,71849745.0,43.0
SNOWMAN,2023-12-23 18:44:00,2023-09-01,2023-08-31,2023-08-31,Promoters,Market Purchase,Buy,Equity Shares,440626.0,0.0,0.0,0.0,0.0,70854119.0,42.41,71294745.0,42.67
SNOWMAN,2023-12-23 18:44:00,2023-08-24,2023-08-23,2023-08-23,Promoters,Market Purchase,Buy,Equity Shares,1100000.0,0.0,0.0,0.0,0.0,69754119.0,41.75,70854119.0,42.41
SNOWMAN,2023-12-23 18:44:00,2023-12-09,2023-06-07,2023-06-08,Promoters,Market Purchase,Buy,Equity Shares,2500000.0,0.0,0.0,0.0,0.0,67254119.0,40.25,69754119.0,41.75
SNOWMAN,2023-12-23 18:44:00,2023-11-15,2023-11-12,2023-11-13,Promoters,Market Purchase,Buy,Equity Shares,436000.0,0.0,0.0,0.0,0.0,71849745.0,43.0,72285745.0,43.26
SNOWMAN,2023-12-23 18:49:00,2023-08-24,2023-08-24,2023-08-24,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,4020.0,0.0,24020.0,0.01
SNOWMAN,2023-12-28 17:06:00,2023-12-28,2023-12-28,2023-12-28,Promoters,Market Purchase,Buy,Equity Shares,400000.0,0.0,0.0,0.0,0.0,73563245.0,44.03,73963245.0,44.27
SNOWMAN,2024-02-19 18:15:00,2024-02-19,2024-02-19,2024-02-19,Promoters,Market Purchase,Buy,Equity Shares,800000.0,0.0,0.0,0.0,0.0,73963245.0,44.27,74763245.0,44.75
SNOWMAN,2024-02-19 18:15:00,2024-02-19,2024-02-19,2024-02-19,Promoters,Market Purchase,Buy,Equity Shares,800000.0,0.0,0.0,0.0,0.0,73963245.0,44.27,74763245.0,44.75
SNOWMAN,2024-03-15 18:59:00,2024-03-15,2024-03-15,2024-03-15,Promoters,Market Purchase,Buy,Equity Shares,450000.0,0.0,0.0,0.0,0.0,74763245.0,44.75,75213245.0,45.02
SNOWMAN,2024-03-26 19:10:00,2024-03-26,2024-03-26,2024-03-26,Promoters,Market Purchase,Buy,Equity Shares,375000.0,0.0,0.0,0.0,0.0,75213245.0,45.02,75588245.0,45.24
SNOWMAN,2024-06-04 18:57:00,2024-06-04,2024-06-04,2024-06-04,Promoters,Market Purchase,Buy,Equity Shares,525000.0,0.0,0.0,0.0,0.0,75588245.0,45.24,76113245.0,45.55
SNOWMAN,2024-06-05 18:03:00,2024-06-05,2024-06-05,2024-06-05,Promoters,Market Purchase,Buy,Equity Shares,562081.0,0.0,0.0,0.0,0.0,76113245.0,45.55,76675326.0,45.89
SNOWMAN,2024-06-18 18:04:00,2024-06-18,2024-06-18,2024-06-18,Promoters,Market Purchase,Buy,Equity Shares,300000.0,0.0,0.0,0.0,0.0,76675326.0,45.89,76975326.0,46.07
SNOWMAN,2024-06-27 17:24:00,2024-06-27,2024-06-27,2024-06-27,Promoters,Market Purchase,Buy,Equity Shares,600000.0,0.0,0.0,0.0,0.0,76975326.0,46.07,77575326.0,46.43
SNOWMAN,2024-08-28 11:49:00,2024-08-28,2024-08-27,2024-08-27,Promoters,Market Purchase,Buy,Equity Shares,450000.0,0.0,0.0,0.0,0.0,77575326.0,46.43,78025326.0,46.7
SNOWMAN,2024-09-19 18:07:00,2024-09-19,2024-09-19,2024-09-19,Promoters,Market Purchase,Buy,Equity Shares,710302.0,0.0,0.0,0.0,0.0,78025326.0,46.7,78735628.0,47.13
