symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
SOBHA,2016-07-25 17:38:00,2016-07-22,2016-07-20,2016-07-20,Promoters,-,Sell,Equity Shares,133511.0,0.0,0.0,0.0,0.0,5494407.0,5.6,5360896.0,5.57
SOBHA,2016-07-26 13:41:00,2016-07-22,2016-07-20,2016-07-20,Promoters,-,Sell,Equity Shares,1001870.0,0.0,0.0,0.0,0.0,41348421.0,42.16,40346551.0,41.89
SOBHA,2016-07-26 13:41:00,2016-07-22,2016-07-20,2016-07-20,Promoters,-,Sell,Equity Shares,264619.0,0.0,0.0,0.0,0.0,12488522.0,12.74,12223903.0,12.69
SOBHA,2017-04-07 12:33:00,2017-04-07,2017-04-05,2017-04-05,Director,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,90015.0,0.1,40015.0,0.04
SOBHA,2017-04-07 17:40:00,2017-04-07,2017-04-07,2017-04-07,Promoters,Market Sale,Sell,Equity Shares,4000000.0,0.0,0.0,0.0,0.0,40346551.0,41.89,36346551.0,37.74
SOBHA,2017-10-07 12:45:00,2017-10-07,2017-10-06,2017-10-06,Director,Market Purchase,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,40015.0,0.04,43015.0,0.04
SOBHA,2017-10-20 17:36:00,2017-10-19,2017-10-17,2017-10-17,Other,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,4000.0,0.0,1000.0,0.0
SOBHA,2018-09-11 17:38:00,2018-09-11,2018-09-10,2018-09-10,Director,Market Purchase,Buy,Equity Shares,5000.0,0.0,0.0,0.0,0.0,40838.0,0.04,45838.0,0.05
SOBHA,2018-10-22 18:19:00,2018-10-22,2018-10-19,2018-10-19,Promoter Group,Market Purchase,Buy,Equity Shares,16618.0,0.0,0.0,0.0,0.0,32950.0,0.03,49568.0,0.05
SOBHA,2018-10-24 17:46:00,2018-10-24,2018-10-22,2018-10-23,Promoter Group,Market Purchase,Buy,Equity Shares,1594.0,0.0,0.0,0.0,0.0,49568.0,0.05,51162.0,0.05
SOBHA,2018-10-26 16:44:00,2018-10-26,2018-10-25,2018-10-25,Promoter Group,Market Purchase,Buy,Equity Shares,735.0,0.0,0.0,0.0,0.0,51162.0,0.05,51897.0,0.05
SOBHA,2018-10-29 17:37:00,2018-10-29,2018-10-26,2018-10-26,Promoter Group,Market Purchase,Buy,Equity Shares,4533.0,0.0,0.0,0.0,0.0,51897.0,0.05,56430.0,0.05
