symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
TAKE,2016-01-20 16:11:00,2016-01-19,2016-01-19,2016-01-19,Promoters,-,Buy,Equity Shares,9829934.0,0.0,0.0,0.0,0.0,2363095.0,1.93,12193029.0,9.96
TAKE,2016-01-20 16:11:00,2016-01-19,2016-01-19,2016-01-19,Promoters,-,Sell,Equity Shares,9829934.0,0.0,0.0,0.0,0.0,9829934.0,8.03,,0.0
TAKE,2016-01-28 09:26:00,2016-01-23,2016-01-23,2016-01-23,Promoters,Inter-se-Transfer,Sell,Equity Shares,12193029.0,0.0,0.0,0.0,0.0,12193029.0,9.96,,0.0
TAKE,2016-01-28 09:26:00,2016-01-23,2016-01-23,2016-01-23,Promoters,Inter-se-Transfer,Buy,Equity Shares,6096515.0,0.0,0.0,0.0,0.0,,0.0,6096515.0,4.98
TAKE,2016-01-28 09:26:00,2016-01-23,2016-01-23,2016-01-23,Promoters,Inter-se-Transfer,Buy,Equity Shares,6096514.0,0.0,0.0,0.0,0.0,,0.0,6096514.0,4.98
TAKE,2017-06-19 17:58:00,2017-06-14,2017-06-12,2017-06-12,Director,Market Purchase,Buy,Equity Shares,37889.0,0.0,0.0,0.0,0.0,6040.0,0.0045,43929.0,0.033
TAKE,2017-06-19 17:58:00,2017-06-14,2017-06-13,2017-06-13,Director,Market Purchase,Buy,Equity Shares,12111.0,0.0,0.0,0.0,0.0,43929.0,0.33,56040.0,0.042
TAKE,2018-04-27 00:01:00,2018-04-24,2018-04-24,2018-04-24,Director,Market Purchase,Buy,Equity Shares,21634.0,0.0,0.0,0.0,0.0,56040.0,0.04,77674.0,0.05
TAKE,2018-04-30 12:44:00,2018-04-26,2018-04-25,2018-04-25,Director,Market Purchase,Buy,Equity Shares,56769.0,0.0,0.0,0.0,0.0,77674.0,0.05,134443.0,0.09
TAKE,2018-04-30 12:44:00,2018-04-30,2018-04-27,2018-04-27,Director,Market Purchase,Buy,Equity Shares,60380.0,0.0,0.0,0.0,0.0,134443.0,0.09,194823.0,0.13
TAKE,2018-05-10 16:37:00,2018-05-10,2018-05-08,2018-05-08,Employees/Designated Employees,ESOP,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,,0.0,20000.0,0.0
TAKE,2018-05-25 17:43:00,2018-05-25,2018-05-25,2018-05-25,Director,ESOP,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,59000.0,0.03,89000.0,0.06
TAKE,2018-06-14 18:23:00,2018-06-14,2018-06-14,2018-06-14,Employees/Designated Employees,ESOP,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,,0.0,30000.0,0.02
TAKE,2018-08-21 18:40:00,2018-08-20,2018-08-20,2018-08-20,Other,ESOP,Buy,Equity Shares,30000.0,0.0,0.0,0.0,0.0,,0.0,30000.0,0.02
TAKE,2018-10-17 11:29:00,2018-10-16,2018-10-16,2018-10-16,Other,ESOP,Buy,Equity Shares,20000.0,0.0,0.0,0.0,0.0,30000.0,0.02,50000.0,0.03
TAKE,2018-11-18 20:19:00,2018-11-16,2018-11-16,2018-11-16,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,90000.0,0.0,0.0,0.0,0.0,100.0,0.0,90100.0,0.06
TAKE,2018-11-18 20:19:00,2018-11-16,2018-11-16,2018-11-16,Key Managerial Personnel,Market Purchase,Buy,Equity Shares,135000.0,0.0,0.0,0.0,0.0,,0.0,135000.0,0.09
TAKE,2020-02-25 18:56:00,2020-02-25,2020-02-24,2020-02-24,Promoters,Inter-se-Transfer,Buy,Equity Shares,7300000.0,0.0,0.0,0.0,0.0,447194.0,0.3,7747194.0,5.24
