symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
TATAMTRDVR,2016-10-20 15:09:00,2016-09-20,2016-09-19,2016-09-20,Promoters,Market Sale,Sell,Equity Shares,2105773.0,0.0,0.0,0.0,0.0,2105773.0,0.01,,0.0
TATAMTRDVR,2016-12-16 18:21:00,2016-12-14,2016-12-13,2016-12-13,Promoters,Market Purchase,Buy,Equity Shares,50000000.0,0.0,0.0,0.0,0.0,778970378.0,26.51,828970378.0,28.21
TATAMTRDVR,2017-02-27 15:11:00,2017-02-24,2017-02-23,2017-02-23,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,2562500.0,0.0,0.0,0.0,0.0,828970378.0,28.21,828970378.0,28.21
TATAMTRDVR,2017-07-25 10:54:00,2017-06-23,2017-06-23,2017-06-23,Promoters,Inter-se-Transfer,Buy,Equity Shares,83537697.0,0.0,0.0,0.0,0.0,828970378.0,28.21,912508075.0,31.06
TATAMTRDVR,2017-09-20 13:05:00,2017-09-19,2017-09-19,2017-09-19,Promoters,Market Purchase,Buy,Equity Shares,47205617.0,0.0,0.0,0.0,0.0,912508075.0,31.06,959713692.0,32.66
TATAMTRDVR,2017-11-21 15:40:00,2017-11-20,2017-11-17,2017-11-17,Promoters,Others,Pledge,Equity Shares,3420000.0,0.0,0.0,0.0,0.0,959713692.0,32.66,959713692.0,32.66
TATAMTRDVR,2018-03-19 18:37:00,2018-03-16,2018-03-15,2018-03-15,Promoters,Inter-se-Transfer,Buy,Equity Shares,1668160.0,0.0,0.0,0.0,0.0,959713692.0,32.66,961381852.0,32.72
TATAMTRDVR,2018-08-20 21:04:00,2018-08-20,2018-08-20,2018-08-20,Promoters,Market Purchase,Buy,Equity Shares,6100000.0,0.0,0.0,0.0,0.0,981381852.0,33.4,987481852.0,33.61
TATAMTRDVR,2018-08-20 21:04:00,2018-08-16,2018-08-16,2018-08-16,Promoters,Market Purchase,Buy,Equity Shares,6100000.0,0.0,0.0,0.0,0.0,968881852.0,32.98,974981852.0,33.18
TATAMTRDVR,2018-08-20 21:04:00,2018-08-16,2018-08-14,2018-08-14,Promoters,Market Purchase,Buy,Equity Shares,4000000.0,0.0,0.0,0.0,0.0,964881852.0,32.84,968881852.0,32.98
TATAMTRDVR,2018-08-20 21:04:00,2018-08-16,2018-08-13,2018-08-13,Promoters,Market Purchase,Buy,Equity Shares,3500000.0,0.0,0.0,0.0,0.0,961381852.0,32.72,964881852.0,32.84
TATAMTRDVR,2018-08-20 21:04:00,2018-08-20,2018-08-17,2018-08-17,Promoters,Market Purchase,Buy,Equity Shares,6400000.0,0.0,0.0,0.0,0.0,974981852.0,33.18,981381852.0,33.4
TATAMTRDVR,2020-03-17 21:08:00,2020-03-16,2020-03-13,2020-03-13,Promoters,Market Purchase,Buy,Equity Shares,8229720.0,0.0,0.0,0.0,0.0,18492681.0,0.06,26722401.0,0.09
TATAMTRDVR,2020-03-17 21:08:00,2020-03-16,2020-03-12,2020-03-12,Promoters,Market Purchase,Buy,Equity Shares,18492681.0,0.0,0.0,0.0,0.0,,0.0,18492681.0,0.06
TATAMTRDVR,2020-09-10 23:56:00,2020-09-08,2020-09-04,2020-09-04,Promoters,Market Purchase,Buy,Equity Shares,5302681.0,0.0,0.0,0.0,0.0,26722401.0,0.09,32025082.0,0.1
TATAMTRDVR,2020-09-10 23:56:00,2020-09-08,2020-09-04,2020-09-04,Promoters,Market Purchase,Buy,Equity Shares,520077.0,0.0,0.0,0.0,0.0,32025082.0,0.1,32545159.0,0.1
TATAMTRDVR,2020-09-11 17:53:00,2020-09-08,2020-04-09,2020-04-09,Promoters,Market Purchase,Buy,Equity Shares,5302681.0,0.0,0.0,0.0,0.0,2672241.0,0.09,7974922.0,0.1
TATAMTRDVR,2020-09-11 17:53:00,2020-09-08,2020-04-09,2020-04-09,Promoters,Market Purchase,Buy,Equity Shares,520077.0,0.0,0.0,0.0,0.0,32025082.0,0.1,32545159.0,0.1
TATAMTRDVR,2020-09-27 15:57:00,2020-09-25,2020-09-23,2020-09-23,Promoters,Market Purchase,Buy,Equity Shares,3763292.0,0.0,0.0,0.0,0.0,32545159.0,0.1,36308451.0,0.12
TATAMTRDVR,2020-12-04 13:04:00,2020-12-03,2020-12-01,2020-12-01,Promoters,Market Purchase,Buy,Equity Shares,2202830.0,0.0,0.0,0.0,0.0,36308451.0,0.12,38511281.0,0.12
TATAMTRDVR,2021-02-03 23:02:00,2021-02-02,2021-01-29,2021-01-29,Promoters,Preferential Offer,Buy,Equity Shares,231333871.0,0.0,0.0,0.0,0.0,1220779930.0,38.88,1452113801.0,43.08
TATAMTRDVR,2021-03-31 21:40:00,2021-03-30,2021-03-25,2021-03-25,Promoters,Revokation of Pledge,Pledge Revoke,Equity Shares,23666500.0,0.0,0.0,0.0,0.0,1452113801.0,43.08,1452113801.0,43.08
