symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
TEJASNET,2017-07-06 20:00:00,2017-07-04,2017-06-27,2017-06-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,15020.0,0.0,0.0,0.0,0.0,24120.0,0.026,9100.0,0.01
TEJASNET,2017-07-06 20:00:00,2017-07-06,2017-07-06,2017-07-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,164505.0,0.183,144505.0,0.16
TEJASNET,2017-07-06 20:00:00,2017-07-04,2017-06-27,2017-06-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,8000.0,0.0,0.0,0.0,0.0,10250.0,0.011,2250.0,0.002
TEJASNET,2017-07-07 19:30:00,2017-07-07,2017-07-05,2017-07-05,Other,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,248700.0,0.28,241700.0,0.27
TEJASNET,2017-07-07 19:30:00,2017-07-05,2017-06-27,2017-06-27,Other,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,103668.0,0.11,93668.0,0.104
TEJASNET,2017-07-07 19:30:00,2017-07-07,2017-07-06,2017-07-06,Other,Market Sale,Sell,Equity Shares,7000.0,0.0,0.0,0.0,0.0,241700.0,0.27,234700.0,0.26
TEJASNET,2017-07-07 19:30:00,2017-07-07,2017-07-07,2017-07-07,Other,Market Sale,Sell,Equity Shares,6000.0,0.0,0.0,0.0,0.0,234700.0,0.26,228700.0,0.26
TEJASNET,2017-07-11 19:24:00,2017-07-11,2017-06-30,2017-07-07,Other,Market Sale,Sell,Equity Shares,4360.0,0.0,0.0,0.0,0.0,7360.0,0.0082,3000.0,0.0034
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-06,2017-07-06,Other,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,274000.0,0.306,271000.0,0.303
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-07,2017-07-07,Other,Market Sale,Sell,Equity Shares,27200.0,0.0,0.0,0.0,0.0,271000.0,0.303,243800.0,0.272
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-10,2017-07-10,Other,Market Sale,Sell,Equity Shares,1600.0,0.0,0.0,0.0,0.0,243800.0,0.272,242200.0,0.27
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-04,2017-07-04,Other,Market Sale,Sell,Equity Shares,3200.0,0.0,0.0,0.0,0.0,280200.0,0.313,277000.0,0.309
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-05,2017-07-05,Other,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,277000.0,0.309,274000.0,0.306
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-06-30,2017-06-30,Other,Market Sale,Sell,Equity Shares,2500.0,0.0,0.0,0.0,0.0,285400.0,0.319,282900.0,0.316
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-07-03,2017-07-03,Other,Market Sale,Sell,Equity Shares,2700.0,0.0,0.0,0.0,0.0,282900.0,0.316,280200.0,0.313
TEJASNET,2017-07-11 19:24:00,2017-07-10,2017-06-30,2017-07-06,Other,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,80521.0,0.089,76521.0,0.085
TEJASNET,2017-07-13 19:38:00,2017-07-11,2017-07-10,2017-07-10,Other,Market Sale,Sell,Equity Shares,700.0,0.0,0.0,0.0,0.0,141260.0,0.157,140560.0,0.156
TEJASNET,2017-07-13 19:38:00,2017-07-11,2017-07-07,2017-07-07,Other,Market Sale,Sell,Equity Shares,4000.0,0.0,0.0,0.0,0.0,145260.0,0.162,141260.0,0.157
TEJASNET,2017-07-13 19:38:00,2017-07-12,2017-07-06,2017-07-06,Other,Market Sale,Sell,Equity Shares,3993.0,0.0,0.0,0.0,0.0,25950.0,0.028,21957.0,0.024
TEJASNET,2017-07-13 19:38:00,2017-07-11,2017-07-06,2017-07-06,Other,Market Sale,Sell,Equity Shares,1100.0,0.0,0.0,0.0,0.0,146360.0,0.163,145260.0,0.162
TEJASNET,2017-08-16 19:11:00,2017-08-09,2017-08-08,2017-08-08,Employees/Designated Employees,Market Sale,Sell,Equity Shares,700.0,0.0,0.0,0.0,0.0,68700.0,0.0767,68000.0,0.0759
