symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
TORNTPHARM,2016-04-15 12:18:00,2016-04-12,2016-04-08,2016-04-08,Employees/Designated Employees,Gift,Buy,Equity Shares,100000.0,0.0,0.0,0.0,0.0,221000.0,0.13,321000.0,0.19
TORNTPHARM,2017-03-23 20:03:00,2017-03-22,2016-09-08,2016-09-08,Director,Others,Sell,Equity Shares,10200.0,0.0,0.0,0.0,0.0,10200.0,0.01,,0.0
TORNTPHARM,2017-03-23 20:32:00,2017-03-23,2017-03-22,2017-03-22,Promoters,Gift,Sell,Equity Shares,1749900.0,0.0,0.0,0.0,0.0,1750000.0,1.03,100.0,0.0
TORNTPHARM,2017-03-23 20:32:00,2017-03-23,2017-03-22,2017-03-22,Promoters,Gift,Buy,Equity Shares,3499800.0,0.0,0.0,0.0,0.0,5359164.0,3.17,8858964.0,5.24
TORNTPHARM,2017-03-23 20:32:00,2017-03-23,2017-03-22,2017-03-22,Promoters,Gift,Sell,Equity Shares,1749900.0,0.0,0.0,0.0,0.0,1750000.0,1.03,100.0,0.0
TORNTPHARM,2017-03-30 20:40:00,2017-03-29,2017-03-29,2017-03-29,Promoters,Inter-se-Transfer,Buy,Equity Shares,8858864.0,0.0,0.0,0.0,0.0,111704856.0,66.01,120563720.0,71.25
TORNTPHARM,2017-03-30 20:40:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Inter-se-Transfer,Sell,Equity Shares,1749900.0,0.0,0.0,0.0,0.0,1750000.0,1.03,100.0,0.0
TORNTPHARM,2017-03-30 20:40:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Inter-se-Transfer,Sell,Equity Shares,1752900.0,0.0,0.0,0.0,0.0,1753000.0,1.04,100.0,0.0
TORNTPHARM,2017-03-30 20:40:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Inter-se-Transfer,Sell,Equity Shares,6120168.0,0.0,0.0,0.0,0.0,6120268.0,3.62,100.0,0.0
TORNTPHARM,2017-03-30 20:40:00,2017-03-29,2017-03-28,2017-03-28,Promoters,Inter-se-Transfer,Sell,Equity Shares,1717380.0,0.0,0.0,0.0,0.0,1717480.0,1.01,100.0,0.0
