symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
UJJIVANSFB,2021-02-24 10:42:00,2021-02-23,2021-02-22,2021-02-22,-,Market Sale,Sell,Equity Shares,64515.0,0.0,0.0,0.0,0.0,190300.0,0.01,125785.0,0.01
UJJIVANSFB,2021-02-27 17:26:00,2021-02-25,2021-02-24,2021-02-24,-,Market Sale,Sell,Equity Shares,35485.0,0.0,0.0,0.0,0.0,125785.0,0.01,90300.0,0.01
UJJIVANSFB,2021-03-06 13:17:00,2021-03-05,2021-03-05,2021-03-05,-,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,90300.0,0.01,40300.0,0.01
UJJIVANSFB,2022-09-28 18:10:00,2022-09-28,2022-09-28,2022-09-28,Employees/Designated Employees,Market Purchase,Buy,Equity Shares,50000.0,0.0,0.0,0.0,0.0,,0.0,50000.0,0.0
UJJIVANSFB,2022-09-28 18:10:00,2022-09-22,2022-09-20,2022-09-22,Immediate relative,Market Purchase,Buy,Equity Shares,40000.0,0.0,0.0,0.0,0.0,,0.0,40000.0,0.0
UJJIVANSFB,2023-09-16 15:26:00,2023-08-04,2023-08-04,2023-08-04,Immediate relative,ESOP,Buy,Equity Shares,2615.0,0.0,0.0,0.0,0.0,16500.0,0.0,19115.0,0.0
UJJIVANSFB,2023-09-16 15:26:00,2023-09-15,2023-09-15,2023-09-15,Immediate relative,ESOP,Buy,Equity Shares,20612.0,0.0,0.0,0.0,0.0,9115.0,0.0,29727.0,0.0
UJJIVANSFB,2023-09-16 15:26:00,2023-08-04,2023-08-04,2023-08-04,-,ESOP,Buy,Equity Shares,2534.0,0.0,0.0,0.0,0.0,2000.0,0.0,4534.0,0.0
UJJIVANSFB,2023-09-16 15:26:00,2023-08-11,2023-08-10,2023-08-11,Immediate relative,Market Sale,Sell,Equity Shares,10000.0,0.0,0.0,0.0,0.0,19115.0,0.0,9115.0,0.0
UJJIVANSFB,2023-11-22 16:05:00,2023-11-22,2023-11-22,2023-11-22,Key Managerial Personnel,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,200000.0,0.01,150000.0,0.01
UJJIVANSFB,2023-12-01 16:20:00,2023-12-01,2023-10-05,2023-10-25,Key Managerial Personnel,ESOP,Buy,Equity Shares,12500.0,0.0,0.0,0.0,0.0,13500.0,0.0,26000.0,0.0
UJJIVANSFB,2023-12-01 16:20:00,2023-12-01,2023-11-06,2023-11-30,Key Managerial Personnel,Market Sale,Sell,Equity Shares,10500.0,0.0,0.0,0.0,0.0,26000.0,0.0,15500.0,0.0
UJJIVANSFB,2023-12-06 16:37:00,2023-12-06,2023-12-06,2023-12-06,-,Market Sale,Sell,Equity Shares,25112.0,0.0,0.0,0.0,0.0,25112.0,0.0,,0.0
UJJIVANSFB,2023-12-13 18:16:00,2023-12-13,2023-12-13,2023-12-13,-,Market Sale,Sell,Equity Shares,24795.0,0.0,0.0,0.0,0.0,25332.0,0.0,537.0,0.0
UJJIVANSFB,2024-01-16 15:07:00,2024-01-15,2024-01-15,2024-01-15,Key Managerial Personnel,ESOP,Buy,Equity Shares,73892.0,0.0,0.0,0.0,0.0,150000.0,0.01,223892.0,0.01
UJJIVANSFB,2024-02-09 20:56:00,2024-02-08,2024-02-08,2024-02-08,-,Market Sale,Sell,Equity Shares,5729.0,0.0,0.0,0.0,0.0,5729.0,0.0,,0.0
UJJIVANSFB,2024-02-09 20:56:00,2024-02-09,2024-02-09,2024-02-09,-,ESOP,Buy,Equity Shares,20336.0,0.0,0.0,0.0,0.0,,0.0,20336.0,0.0
UJJIVANSFB,2024-02-09 20:56:00,2024-02-07,2024-02-07,2024-02-07,-,Market Sale,Sell,Equity Shares,400.0,0.0,0.0,0.0,0.0,6129.0,0.0,5729.0,0.0
UJJIVANSFB,2024-02-09 20:56:00,2024-02-06,2024-02-06,2024-02-06,-,Market Sale,Sell,Equity Shares,3200.0,0.0,0.0,0.0,0.0,9329.0,0.0,6129.0,0.0
UJJIVANSFB,2024-02-09 20:56:00,2024-01-09,2024-01-09,2024-01-09,-,ESOP,Buy,Equity Shares,4252.0,0.0,0.0,0.0,0.0,5077.0,0.0,9329.0,0.0
UJJIVANSFB,2024-03-12 17:37:00,2024-02-09,2024-02-09,2024-02-09,-,ESOP,Buy,Equity Shares,14602.0,0.0,0.0,0.0,0.0,61123.0,0.0,75725.0,0.0
UJJIVANSFB,2024-03-12 17:37:00,2024-03-12,2024-03-12,2024-03-12,-,ESOP,Buy,Equity Shares,47000.0,0.0,0.0,0.0,0.0,75725.0,0.0,122725.0,0.01
UJJIVANSFB,2024-05-24 18:14:00,2024-05-24,2024-05-24,2024-05-24,Key Managerial Personnel,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,223892.0,0.01,173892.0,0.01
UJJIVANSFB,2024-07-10 12:42:00,2024-07-09,2024-07-09,2024-07-09,-,ESOP,Buy,Equity Shares,46586.0,0.0,0.0,0.0,0.0,202868.0,0.01,249454.0,0.01
UJJIVANSFB,2024-08-02 18:16:00,2024-08-02,2024-08-01,2024-08-01,-,Market Sale,Sell,Equity Shares,50000.0,0.0,0.0,0.0,0.0,173892.0,0.01,123892.0,0.01
UJJIVANSFB,2024-09-12 17:42:00,2024-09-12,2024-09-11,2024-09-12,-,Market Sale,Sell,Equity Shares,60000.0,0.0,0.0,0.0,0.0,249454.0,0.01,189454.0,0.01
UJJIVANSFB,2024-09-24 18:01:00,2024-09-24,2024-09-24,2024-09-24,-,Pledge Creation,Pledge,Equity Shares,97500.0,0.0,0.0,0.0,0.0,132159.0,0.01,34659.0,0.0
UJJIVANSFB,2025-09-09 16:37:00,2025-09-09,2025-09-09,2025-09-09,-,ESOP,Buy,Equity Shares,33962.0,0.0,0.0,0.0,0.0,42466.0,0.0,76428.0,0.0
UJJIVANSFB,2025-09-09 16:37:00,2025-08-04,2025-07-31,2025-08-04,Immediate relative,Market Sale,Sell,Equity Shares,4600.0,0.0,0.0,0.0,0.0,57498.0,0.0,52898.0,0.0
UJJIVANSFB,2025-09-09 16:37:00,2025-08-04,2025-07-31,2025-08-04,-,Market Sale,Sell,Equity Shares,5949.0,0.0,0.0,0.0,0.0,16949.0,0.0,11000.0,0.0
UJJIVANSFB,2025-09-09 16:37:00,2025-09-09,2025-09-09,2025-09-09,-,ESOP,Buy,Equity Shares,33289.0,0.0,0.0,0.0,0.0,11000.0,0.0,44289.0,0.0
UJJIVANSFB,2025-09-10 12:17:00,2025-08-25,2025-08-25,2025-08-25,-,ESOP,Buy,Equity Shares,25015.0,0.0,0.0,0.0,0.0,97462.0,0.01,122477.0,0.01
UJJIVANSFB,2025-09-10 12:17:00,2025-09-10,2025-09-10,2025-09-10,-,Market Sale,Sell,Equity Shares,20000.0,0.0,0.0,0.0,0.0,122477.0,0.01,102477.0,0.01
UJJIVANSFB,2025-09-19 15:52:00,2025-08-25,2025-08-25,2025-08-25,-,ESOP,Buy,Equity Shares,11093.0,0.0,0.0,0.0,0.0,149396.0,0.01,160489.0,0.01
UJJIVANSFB,2025-09-19 15:52:00,2025-09-19,2025-09-18,2025-09-18,-,Market Sale,Sell,Equity Shares,45000.0,0.0,0.0,0.0,0.0,160489.0,0.01,115489.0,0.01
UJJIVANSFB,2025-10-28 16:14:00,2025-10-28,2025-10-28,2025-10-28,-,Market Sale,Sell,Equity Shares,50001.0,0.0,0.0,0.0,0.0,225138.0,0.01,175137.0,0.01
UJJIVANSFB,2025-11-26 16:03:00,2025-11-26,2025-11-26,2025-11-26,-,Market Sale,Sell,Equity Shares,32500.0,0.0,0.0,0.0,0.0,32937.0,0.0,437.0,0.0
UJJIVANSFB,2025-12-05 15:16:00,2025-12-05,2025-12-05,2025-12-05,-,ESOP,Buy,Equity Shares,75214.0,0.0,0.0,0.0,0.0,92477.0,0.0,167691.0,0.0
UJJIVANSFB,2025-12-05 15:16:00,2025-12-05,2025-12-05,2025-12-05,-,ESOP,Buy,Equity Shares,77603.0,0.0,0.0,0.0,0.0,437.0,0.0,78040.0,0.0
UJJIVANSFB,2025-12-05 15:16:00,2025-12-05,2025-12-05,2025-12-05,-,ESOP,Buy,Equity Shares,122257.0,0.0,0.0,0.0,0.0,8492.0,0.0,130749.0,0.0
