symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
ULTRACEMCO,2015-12-07 15:47:00,2015-12-05,2015-12-04,2015-12-04,Other,ESOP,ESOP/ESOS/ESPS,Equity Shares,658.0,0.0,0.0,0.0,0.0,,0.0,658.0,0.0
ULTRACEMCO,2015-12-31 16:17:00,2015-12-31,2015-12-30,2015-12-30,Promoters,Market Sale,Sell,Equity Shares,32233.0,0.0,0.0,0.0,0.0,1313748.0,0.48,1281515.0,0.47
ULTRACEMCO,2016-01-04 11:49:00,2016-01-02,2015-12-31,2015-12-31,Promoters,Market Sale,Sell,Equity Shares,23000.0,0.0,0.0,0.0,0.0,1281515.0,0.47,1258515.0,0.46
ULTRACEMCO,2016-01-12 17:52:00,2016-01-09,2016-01-07,2016-01-07,Employees/Designated Employees,ESOP,Buy,Equity Shares,658.0,0.0,0.0,0.0,0.0,2720.0,0.0,3378.0,
ULTRACEMCO,2016-01-12 17:53:00,2016-01-09,2016-01-07,2016-01-07,Employees/Designated Employees,ESOP,Buy,Equity Shares,893.0,0.0,0.0,0.0,0.0,9.0,0.0,902.0,
ULTRACEMCO,2016-01-12 18:00:00,2016-01-08,2016-01-07,2016-01-07,Employees/Designated Employees,ESOP,Buy,Equity Shares,658.0,0.0,0.0,0.0,0.0,,0.0,658.0,
ULTRACEMCO,2016-03-09 21:05:00,2016-03-08,2016-03-03,2016-03-03,Promoters,Market Sale,Sell,Equity Shares,9868.0,0.0,0.0,0.0,0.0,1647310.0,0.6003,1637442.0,0.5967
ULTRACEMCO,2016-03-09 21:10:00,2016-03-04,2016-03-02,2016-03-02,Promoters,Market Sale,Sell,Equity Shares,112316.0,0.0,0.0,0.0,0.0,1759626.0,0.64,1647310.0,0.6
ULTRACEMCO,2016-03-11 19:37:00,2016-03-09,2016-03-04,2016-03-04,Key Managerial Personnel,ESOP,Buy,Equity Shares,3743.0,0.0,0.0,0.0,0.0,8089.0,0.0,11832.0,
ULTRACEMCO,2016-03-16 10:33:00,2016-03-11,2016-03-09,2016-03-09,Promoters,Market Sale,Sell,Equity Shares,34500.0,0.0,0.0,0.0,0.0,1637442.0,0.5967,1602942.0,0.5841
