symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
UNICHEMLAB,2015-11-30 19:27:00,2015-11-30,2015-11-30,2015-11-30,Promoters,Gift,Buy,Equity Shares,949936.0,0.0,0.0,0.0,0.0,41337342.0,45.52,42287278.0,46.57
UNICHEMLAB,2015-11-30 19:27:00,2015-11-30,2015-11-30,2015-11-30,Promoters,Inter-se-Transfer,Sell,Equity Shares,949936.0,0.0,0.0,0.0,0.0,949936.0,1.05,,0.0
UNICHEMLAB,2017-09-06 13:18:00,2017-09-05,2017-09-04,2017-09-04,Director,Gift,Sell,Equity Shares,24000.0,0.0,0.0,0.0,0.0,25000.0,0.0275,1000.0,0.0011
UNICHEMLAB,2017-09-06 13:18:00,2017-09-05,2017-09-04,2017-09-04,Immediate relative,Gift,Buy,Equity Shares,24000.0,0.0,0.0,0.0,0.0,9890.0,0.0109,33890.0,0.0372
UNICHEMLAB,2017-11-09 18:38:00,2017-11-08,2017-10-11,2017-10-11,Other,Others,Buy,Equity Shares,9583.0,0.0,0.0,0.0,0.0,,0.0,9583.0,0.0
UNICHEMLAB,2018-04-12 16:08:00,2018-04-12,2018-04-11,2018-04-11,Director,ESOP,Sell,Equity Shares,15759.0,0.0,0.0,0.0,0.0,50047.0,0.07,34288.0,0.04
UNICHEMLAB,2020-03-28 20:09:00,2020-03-27,2020-03-26,2020-03-27,Promoter Group,Market Purchase,Buy,Equity Shares,15000.0,0.0,0.0,0.0,0.0,,0.0,15000.0,0.02
UNICHEMLAB,2020-03-28 20:09:00,2020-03-27,2020-03-26,2020-03-27,Promoter Group,Market Purchase,Buy,Equity Shares,15101.0,0.0,0.0,0.0,0.0,,0.0,15101.0,0.02
UNICHEMLAB,2020-03-28 20:09:00,2020-03-27,2020-03-26,2020-03-27,Promoters,Market Purchase,Buy,Equity Shares,36307.0,0.0,0.0,0.0,0.0,32419392.0,46.06,32455699.0,46.1
UNICHEMLAB,2020-03-28 20:09:00,2020-03-27,2020-03-26,2020-03-27,Promoter Group,Market Purchase,Buy,Equity Shares,17500.0,0.0,0.0,0.0,0.0,,0.0,17500.0,0.02
UNICHEMLAB,2020-03-31 23:55:00,2020-03-31,2020-03-30,2020-03-31,Promoter Group,Market Purchase,Buy,Equity Shares,34516.0,0.0,0.0,0.0,0.0,17500.0,0.02,52016.0,0.07
UNICHEMLAB,2020-03-31 23:55:00,2020-03-31,2020-03-30,2020-03-31,Promoters,Market Purchase,Buy,Equity Shares,43693.0,0.0,0.0,0.0,0.0,32455699.0,46.1,32499392.0,46.16
UNICHEMLAB,2020-03-31 23:55:00,2020-03-31,2020-03-30,2020-03-31,Promoter Group,Market Purchase,Buy,Equity Shares,29951.0,0.0,0.0,0.0,0.0,15101.0,0.02,45052.0,0.06
UNICHEMLAB,2020-03-31 23:55:00,2020-03-31,2020-03-30,2020-03-31,Promoter Group,Market Purchase,Buy,Equity Shares,26283.0,0.0,0.0,0.0,0.0,15000.0,0.02,41283.0,0.06
UNICHEMLAB,2021-04-01 17:15:00,2021-04-01,2021-03-31,2021-03-31,Immediate relative,Market Purchase,Buy,Equity Shares,7450.0,0.0,0.0,0.0,0.0,,0.0,7450.0,0.01
UNICHEMLAB,2023-01-25 14:46:00,2023-01-25,2023-01-20,2023-01-20,-,Others,Buy,Equity Shares,49908.0,0.0,0.0,0.0,0.0,,0.0,49908.0,0.07
UNICHEMLAB,2023-02-01 15:04:00,2023-02-01,2023-01-31,2023-01-31,-,Others,Sell,Equity Shares,49908.0,0.0,0.0,0.0,0.0,49908.0,0.07,,0.0
UNICHEMLAB,2023-05-31 11:53:00,2023-05-30,2023-05-29,2023-05-29,Director,Market Sale,Sell,Equity Shares,682.0,0.0,0.0,0.0,0.0,782.0,0.0,100.0,0.0
UNICHEMLAB,2023-05-31 11:53:00,2023-05-30,2023-05-29,2023-05-29,Immediate relative,Market Sale,Sell,Equity Shares,26496.0,0.0,0.0,0.0,0.0,26496.0,0.04,,0.0
UNICHEMLAB,2023-06-01 14:47:00,2023-05-31,2023-05-31,2023-05-31,Immediate relative,Market Sale,Sell,Equity Shares,7450.0,0.0,0.0,0.0,0.0,7450.0,0.0,,0.0
