symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
VIDEOIND,2015-12-02 16:26:00,2015-11-26,2015-11-24,2015-11-24,Promoters,-,Pledge,Equity Shares,850000.0,0.0,0.0,0.0,0.0,64670518.0,19.34,64670518.0,19.34
VIDEOIND,2015-12-02 16:26:00,2015-11-26,2015-11-23,2015-11-23,Promoters,-,Pledge Revoke,Equity Shares,660000.0,0.0,0.0,0.0,0.0,64670518.0,19.34,64670518.0,19.34
VIDEOIND,2015-12-02 16:26:00,2015-11-26,2015-11-23,2015-11-23,Promoters,-,Pledge,Equity Shares,260000.0,0.0,0.0,0.0,0.0,26604836.0,7.95,26604836.0,7.95
VIDEOIND,2015-12-09 21:12:00,2015-11-26,2015-11-24,2015-11-24,Promoters,-,Pledge,Equity Shares,400000.0,0.0,0.0,0.0,0.0,64670518.0,19.34,64670518.0,19.34
VIDEOIND,2015-12-09 21:12:00,2015-11-26,2015-11-23,2015-11-23,Promoters,-,Pledge Revoke,Equity Shares,660000.0,0.0,0.0,0.0,0.0,64670518.0,19.34,64670518.0,19.34
VIDEOIND,2015-12-09 21:12:00,2015-11-26,2015-11-23,2015-11-23,Promoters,-,Pledge,Equity Shares,260000.0,0.0,0.0,0.0,0.0,26604836.0,7.95,26604836.0,7.95
VIDEOIND,2015-12-09 21:12:00,2015-11-26,2015-11-24,2015-11-24,Promoters,-,Pledge,Equity Shares,450000.0,0.0,0.0,0.0,0.0,64670518.0,19.34,64670518.0,19.34
VIDEOIND,2015-12-15 19:20:00,2015-12-12,2015-12-11,2015-12-11,Promoters,Market Purchase,Buy,Equity Shares,200000.0,0.0,0.0,0.0,0.0,13258085.0,3.96,13458085.0,4.02
VIDEOIND,2015-12-18 16:32:00,2015-12-17,2015-12-16,2015-12-16,Promoters,Market Purchase,Buy,Equity Shares,330000.0,0.0,0.0,0.0,0.0,13458085.0,4.02,13788085.0,4.12
VIDEOIND,2015-12-31 17:25:00,2015-12-30,2015-12-29,2015-12-29,Promoters,Market Purchase,Buy,Equity Shares,60500.0,0.0,0.0,0.0,0.0,13788085.0,4.12,13848585.0,4.14
VIDEOIND,2016-01-13 16:43:00,2016-01-11,2016-01-08,2016-01-08,Promoters,Market Purchase,Buy,Equity Shares,23500.0,0.0,0.0,0.0,0.0,13848585.0,4.14,13872085.0,4.15
VIDEOIND,2016-01-13 17:25:00,2016-01-11,2016-01-08,2016-01-08,Promoters,Market Purchase,Buy,Equity Shares,23500.0,0.0,0.0,0.0,0.0,13848585.0,4.14,13872085.0,4.15
VIDEOIND,2016-03-16 09:14:00,2016-03-11,2016-03-09,2016-03-09,Promoters,Market Purchase,Buy,Equity Shares,26600.0,0.0,0.0,0.0,0.0,13872085.0,4.15,13898685.0,4.16
