symbol,filing_date,intim_date,acq_from_date,acq_to_date,person_category,acq_mode,transaction_type,sec_type,security_acquired_disposed,buy_quantity,sell_quantity,buy_value,sell_value,shares_before_no,shares_before_pct,shares_after_no,shares_after_pct
YESBANK,2015-11-20 20:06:00,2015-11-20,2015-11-18,2015-11-20,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2100.0,0.0,0.0,0.0,0.0,51700.0,0.0,49600.0,0.0
YESBANK,2015-11-26 12:11:00,2015-11-23,2015-11-23,2015-11-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,10500.0,0.0,7000.0,0.0
YESBANK,2015-12-01 08:28:00,2015-11-25,2015-11-23,2015-11-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,49600.0,0.0,49100.0,0.0
YESBANK,2015-12-01 20:23:00,2015-11-30,2015-11-19,2015-11-19,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1500.0,0.0,0.0,0.0,0.0,10850.0,0.0,9350.0,0.0
YESBANK,2015-12-01 20:23:00,2015-11-30,2015-11-27,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,18350.0,0.0,15350.0,0.0
YESBANK,2015-12-01 20:23:00,2015-11-30,2015-11-26,2015-11-26,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3500.0,0.0,0.0,0.0,0.0,21850.0,0.0,18350.0,0.0
YESBANK,2015-12-01 20:23:00,2015-11-30,2015-11-04,2015-11-04,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,3950.0,0.0,1950.0,0.0
YESBANK,2015-12-02 13:42:00,2015-12-01,2015-11-27,2015-11-27,Employees/Designated Employees,Market Sale,Sell,Equity Shares,2000.0,0.0,0.0,0.0,0.0,9500.0,0.0,7500.0,0.0
YESBANK,2015-12-02 13:42:00,2015-12-01,2015-11-27,2015-11-28,Employees/Designated Employees,Market Sale,Sell,Equity Shares,3000.0,0.0,0.0,0.0,0.0,22470.0,0.0,19470.0,0.0
YESBANK,2015-12-04 14:42:00,2015-12-02,2015-11-30,2015-11-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4500.0,0.0,0.0,0.0,0.0,15350.0,0.0,10850.0,0.0
YESBANK,2015-12-04 14:42:00,2015-12-02,2015-12-01,2015-12-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1000.0,0.0,0.0,0.0,0.0,10850.0,0.0,9850.0,0.0
YESBANK,2015-12-04 14:42:00,2015-12-03,2015-12-02,2015-12-02,Employees/Designated Employees,-,Pledge,Equity Shares,3000.0,0.0,0.0,0.0,0.0,6500.0,0.0,6500.0,0.0
YESBANK,2015-12-04 14:42:00,2015-12-02,2015-11-30,2015-11-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,500.0,0.0,0.0,0.0,0.0,46600.0,0.0,46100.0,0.0
YESBANK,2015-12-04 14:42:00,2015-12-03,2015-11-06,2015-11-16,Employees/Designated Employees,-,Pledge,Equity Shares,5317.0,0.0,0.0,0.0,0.0,7200.0,0.0,7200.0,0.0
YESBANK,2015-12-04 15:12:00,2015-11-25,2015-11-25,2015-11-25,Employees/Designated Employees,ESOP,Buy,Equity Shares,3000.0,0.0,0.0,0.0,0.0,3930.0,0.0,6930.0,
YESBANK,2015-12-04 15:12:00,2015-12-01,2015-11-30,2015-11-30,Employees/Designated Employees,Market Sale,Sell,Equity Shares,430.0,0.0,0.0,0.0,0.0,6930.0,0.0,6500.0,0.0
YESBANK,2015-12-04 15:12:00,2015-12-01,2015-11-28,2015-12-01,Employees/Designated Employees,Market Sale,Sell,Equity Shares,1800.0,0.0,0.0,0.0,0.0,4600.0,0.0,2800.0,0.0
YESBANK,2015-12-08 10:15:00,2015-12-04,2015-12-02,2015-12-02,Employees/Designated Employees,Market Sale,Sell,Equity Shares,12000.0,0.0,0.0,0.0,0.0,174000.0,0.0,162000.0,0.0
YESBANK,2015-12-08 10:15:00,2015-12-04,2015-11-18,2015-11-23,Employees/Designated Employees,Market Sale,Sell,Equity Shares,400.0,0.0,0.0,0.0,0.0,21000.0,0.0,20600.0,0.0
YESBANK,2015-12-09 19:19:00,2015-12-07,2015-10-07,2015-10-07,Employees/Designated Employees,ESOP,Buy,Equity Shares,6000.0,0.0,0.0,0.0,0.0,12000.0,0.0,18000.0,0.0
YESBANK,2015-12-11 11:47:00,2015-12-10,2015-12-08,2015-12-08,Employees/Designated Employees,ESOP,Buy,Equity Shares,22500.0,0.0,0.0,0.0,0.0,477500.0,0.0,500000.0,0.0
YESBANK,2015-12-11 13:17:00,2015-12-09,2015-12-06,2015-12-06,Employees/Designated Employees,Market Sale,Sell,Equity Shares,4995.0,0.0,0.0,0.0,0.0,18000.0,0.0,13005.0,0.0
