symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
AARTIIND,2022-01-06 22:43:01,2021-09-30,False,44.21,55.79,8.44,5.92,11.86,26.61,0.0
AARTIIND,2022-01-14 14:10:11,2021-12-31,False,44.21,55.79,7.42,6.74,12.27,26.81,0.0
AARTIIND,2022-04-11 16:40:24,2022-03-31,False,44.19,55.81,7.27,7.21,12.46,27.35,0.0
AARTIIND,2022-08-19 17:10:18,2022-06-30,False,44.19,55.81,6.71,8.09,11.82,26.89,0.0
AARTIIND,2022-10-20 19:40:28,2022-09-30,False,44.16,55.84,6.71,8.04,12.11,15.04,0.0
AARTIIND,2023-01-11 12:40:17,2022-12-31,False,44.16,55.84,6.31,7.92,12.05,14.55,0.0
AARTIIND,2023-04-13 17:55:12,2023-03-31,False,44.07,55.93,6.94,7.51,12.32,14.76,0.0
AARTIIND,2023-07-14 17:41:27,2023-06-30,False,43.65,56.35,7.11,7.52,12.17,14.85,0.0
AARTIIND,2023-10-07 15:58:56,2023-09-30,False,43.57,56.43,8.52,7.42,10.57,16.15,0.0
AARTIIND,2024-01-05 17:49:19,2023-12-31,False,43.55,56.45,7.54,7.85,10.83,15.84,2.38
AARTIIND,2024-04-11 17:39:07,2024-03-31,False,43.43,56.57,8.9,7.87,10.93,17.25,3.68
AARTIIND,2024-07-18 18:07:09,2024-06-30,False,43.24,56.76,10.03,8.11,10.61,18.56,3.79
AARTIIND,2024-10-09 12:10:53,2024-09-30,False,42.61,57.39,9.53,8.01,9.68,18.13,3.85
AARTIIND,2025-01-17 18:46:23,2024-12-31,False,42.35,57.65,9.75,7.78,7.25,17.94,3.55
AARTIIND,2025-04-16 11:25:45,2025-03-31,False,42.24,57.76,11.51,7.93,6.29,19.97,3.56
AARTIIND,2025-09-30 17:33:30,2025-06-30,False,42.24,57.76,12.65,7.27,6.44,20.38,3.56
AARTIIND,2025-10-15 14:13:28,2025-09-30,False,42.18,57.82,10.2,7.539999999999999,6.4,18.21,3.56
AARTIIND,2026-01-21 13:09:26,2025-12-31,False,42.14,57.86,10.2,7.539999999999999,6.69,18.22,3.5700000000000003
AARTIIND,2026-04-17 15:47:10,2026-03-31,False,42.09,57.91,11.51,8.12,7.380000000000001,20.119999999999997,3.5700000000000003
AARTIIND,2026-07-17 17:34:10,2026-06-30,False,41.82,58.18,12.120000000000001,8.4,6.99,21.11,3.49
