symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
ABB,2022-01-06 21:06:51,2021-09-30,False,75.0,25.0,6.58,0.0,3.49,10.45,0.0
ABB,2022-04-11 14:40:20,2022-03-31,False,75.0,25.0,,,,,
ABB,2022-04-22 16:11:32,2021-12-31,False,75.0,25.0,7.67,0.0,3.76,11.79,0.0
ABB,2022-07-13 16:40:11,2022-06-30,False,75.0,25.0,8.59,0.0,3.53,12.12,0.0
ABB,2022-10-19 16:40:41,2022-09-30,False,75.0,25.0,8.02,3.28,5.39,11.9,0.0
ABB,2023-03-23 12:40:06,2022-12-31,False,75.0,25.0,6.61,2.5,7.55,9.74,0.0
ABB,2023-04-13 16:01:06,2023-03-31,False,75.0,25.0,5.93,2.4,8.45,8.99,0.0
ABB,2023-07-14 15:33:38,2023-06-30,False,75.0,25.0,5.49,1.9,9.46,8.06,0.0
ABB,2023-10-18 11:15:08,2023-09-30,False,75.0,25.0,4.96,1.55,10.17,7.36,0.0
ABB,2024-01-16 17:25:05,2023-12-31,False,75.0,25.0,4.77,1.42,10.72,6.92,0.0
ABB,2024-04-17 11:50:10,2024-03-31,False,75.0,25.0,4.22,1.03,11.89,5.95,0.0
ABB,2024-07-17 17:39:57,2024-06-30,False,75.0,25.0,3.99,1.01,12.06,5.64,0.0
ABB,2024-10-16 18:10:03,2024-09-30,False,75.0,25.0,3.69,1.07,12.28,5.42,0.0
ABB,2025-01-17 18:58:11,2024-12-31,False,75.0,25.0,3.62,1.22,11.85,5.69,0.0
ABB,2025-04-10 16:12:59,2025-03-31,False,75.0,25.0,4.53,1.57,10.28,7.02,0.0
ABB,2025-07-15 10:07:12,2025-06-30,False,75.0,25.0,4.55,2.04,9.25,7.66,
ABB,2025-10-14 11:46:58,2025-09-30,False,75.0,25.0,4.04,3.16,8.290000000000001,8.309999999999999,
ABB,2026-01-13 17:37:24,2025-12-31,False,75.0,25.0,4.18,4.07,7.6499999999999995,9.15,
ABB,2026-04-17 17:42:08,2026-03-31,False,75.0,25.0,4.62,3.8600000000000003,8.200000000000001,9.29,
