symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
ABFRL,2022-01-06 21:06:51,2021-09-30,False,56.13,43.34,13.28,4.47,13.83,31.62,0.0
ABFRL,2022-01-21 11:40:06,2021-12-31,False,56.12,43.36,,,,,
ABFRL,2022-04-12 13:10:24,2022-03-31,False,56.09,43.41,13.58,5.87,13.18,32.7,0.0
ABFRL,2022-07-19 13:10:19,2022-06-30,False,56.09,43.42,13.85,5.63,13.23,32.82,0.0
ABFRL,2022-10-20 20:40:12,2022-09-30,False,56.08,43.4,13.25,5.63,14.14,19.39,0.0
ABFRL,2023-01-20 16:40:18,2022-12-31,False,55.47,43.98,12.83,5.62,14.59,19.07,0.0
ABFRL,2023-04-20 12:14:45,2023-03-31,False,55.47,44.01,12.9,5.32,14.39,18.85,0.0
ABFRL,2023-07-19 21:06:17,2023-06-30,False,55.47,44.02,11.13,5.61,14.2,16.87,0.0
ABFRL,2023-10-19 16:02:35,2023-09-30,False,55.45,44.05,11.43,5.47,14.02,17.01,0.0
ABFRL,2024-01-18 18:51:02,2023-12-31,False,55.45,44.05,11.33,5.51,14.15,16.99,0.0
ABFRL,2024-03-19 11:02:29,2024-03-11,False,51.85,47.68,10.29,4.43,19.53,14.84,0.0
ABFRL,2024-04-19 12:15:02,2024-03-31,False,51.85,47.68,10.13,4.59,19.5,14.83,0.0
ABFRL,2024-07-19 20:06:41,2024-06-30,False,51.97,47.58,10.59,3.73,19.99,14.45,0.0
ABFRL,2024-09-13 19:52:10,2024-09-05,False,49.26,50.31,11.71,3.6,19.09,15.53,0.0
ABFRL,2024-10-17 16:54:23,2024-09-30,False,49.25,50.33,11.06,3.52,19.69,14.76,0.0
ABFRL,2025-01-19 12:07:03,2024-12-31,False,49.24,50.34,11.15,3.29,18.35,14.57,0.0
ABFRL,2025-01-30 11:47:55,2025-01-21,False,46.28,53.33,11.25,4.48,20.55,15.93,0.0
ABFRL,2025-02-25 22:36:25,2025-02-24,False,46.58,53.06,10.5,4.18,22.44,14.88,0.0
ABFRL,2025-04-29 15:04:00,2025-03-31,False,46.58,53.06,10.29,4.16,22.19,14.64,0.0
ABFRL,2025-07-21 19:50:20,2025-06-30,False,46.57,53.07,9.93,2.09,17.63,12.14,
ABFRL,2025-10-17 12:43:06,2025-09-30,False,46.61,53.04,5.16,2.88,18.63,8.07,
ABFRL,2026-01-21 16:21:49,2025-12-31,False,46.61,53.05,5.4399999999999995,2.39,18.37,7.89,
ABFRL,2026-06-05 14:54:05,2026-03-31,False,46.61,53.08,5.609999999999999,0.95,15.52,6.619999999999999,
ABFRL,2026-08-06 12:14:35,2026-06-30,False,46.61,53.08,4.95,0.69,12.879999999999999,5.680000000000001,
