symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
APARINDS,2022-01-06 21:06:51,2021-09-30,False,60.46,39.54,16.64,0.0,5.07,22.83,0.0
APARINDS,2022-01-15 17:40:08,2021-12-31,False,60.46,39.54,16.58,0.0,5.55,23.41,0.0
APARINDS,2022-04-14 12:40:26,2022-03-31,False,60.57,39.43,16.83,0.0,5.52,23.77,0.0
APARINDS,2022-07-20 16:10:21,2022-06-30,False,60.64,39.36,16.51,0.0,5.94,23.81,0.0
APARINDS,2022-10-18 16:10:33,2022-09-30,False,60.64,39.36,16.07,0.0,6.3,16.77,0.0
APARINDS,2023-01-20 21:40:03,2022-12-31,False,60.64,39.36,16.83,0.0,6.73,17.53,0.0
APARINDS,2023-04-18 18:41:12,2023-03-31,False,60.64,39.36,17.26,0.0,6.66,17.96,0.0
APARINDS,2023-07-20 14:35:23,2023-06-30,False,60.64,39.36,17.41,0.01,7.47,17.97,0.0
APARINDS,2023-10-20 20:07:05,2023-09-30,False,60.64,39.36,16.49,0.01,9.09,17.05,0.0
APARINDS,2023-12-08 18:13:07,2023-11-30,False,57.77,42.23,17.6,0.23,10.81,18.92,0.0
APARINDS,2024-01-20 15:08:32,2023-12-31,False,57.77,42.23,17.24,0.19,10.97,18.62,0.0
APARINDS,2024-04-19 15:46:00,2024-03-31,False,57.77,42.23,17.11,0.18,11.55,18.9,0.0
APARINDS,2024-07-19 17:39:41,2024-06-30,False,57.77,42.23,17.66,0.32,11.51,19.73,0.0
APARINDS,2024-10-16 17:11:47,2024-09-30,False,57.77,42.23,18.44,0.32,10.97,20.4,0.0
APARINDS,2025-01-20 11:28:46,2024-12-31,False,57.77,42.23,19.18,0.34,10.22,21.24,0.0
APARINDS,2025-10-14 19:15:27,2025-09-30,False,57.77,42.23,20.39,0.13,9.25,22.64,
APARINDS,2026-01-12 18:11:45,2025-06-30,False,57.77,42.23,19.52,0.26,9.07,21.790000000000003,
APARINDS,2026-01-16 16:36:40,2025-12-31,False,57.77,42.23,21.55,0.12,9.35,23.21,
APARINDS,2026-04-10 16:03:37,2026-03-31,False,57.77,42.23,22.25,0.41000000000000003,9.370000000000001,24.15,
APARINDS,2026-06-04 15:54:09,2025-03-31,False,57.77,42.23,18.15,0.54,9.86,20.630000000000003,
APARINDS,2026-07-14 17:34:40,2026-06-30,False,57.76,42.24,21.37,0.5,10.75,23.02,
APARINDS,2026-08-20 15:13:12,2026-08-13,False,55.42,44.58,22.28,1.31,11.360000000000001,24.88,
