symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
APTECHT,2022-01-06 22:24:10,2021-09-30,False,48.37,51.62,0.0,0.0,9.74,9.74,0.0
APTECHT,2022-01-11 21:40:05,2021-12-31,False,47.78,52.22,0.0,0.0,9.7,9.7,0.0
APTECHT,2022-04-15 15:40:27,2022-03-31,False,47.69,52.31,0.0,0.0,9.52,10.1,0.0
APTECHT,2022-07-15 19:10:14,2022-06-30,False,47.66,52.34,0.0,0.0,9.23,10.09,0.0
APTECHT,2024-04-19 11:08:06,2022-12-31,False,47.39,52.61,0.0,0.0,8.01,1.24,0.0
APTECHT,2024-04-19 11:08:37,2022-09-30,False,47.41,52.59,0.0,0.0,7.99,1.32,0.0
APTECHT,2024-04-20 17:31:49,2023-12-31,False,47.36,52.64,0.0,0.0,1.51,1.11,0.0
APTECHT,2024-05-08 12:38:11,2023-06-30,False,47.35,52.65,0.0,0.0,6.21,1.27,0.0
APTECHT,2024-05-08 19:08:48,2023-03-31,False,47.37,52.63,0.0,0.0,7.57,1.24,0.0
APTECHT,2024-05-08 19:09:17,2023-09-30,False,47.37,52.63,0.0,0.0,5.32,1.1,0.0
APTECHT,2024-10-21 14:34:30,2024-09-30,False,47.36,52.64,0.0,0.0,0.48,3.19,0.0
APTECHT,2024-10-25 15:54:34,2024-06-30,False,47.36,52.64,0.0,0.0,0.4,3.27,0.0
APTECHT,2024-10-25 15:57:06,2024-03-31,False,47.36,52.64,0.0,0.0,0.49,2.12,0.0
APTECHT,2025-01-15 10:14:25,2024-12-31,False,47.35,52.65,0.0,0.0,0.47,2.95,0.0
APTECHT,2025-07-15 15:45:16,2025-06-30,False,47.35,52.65,0.0,0.0,0.41,2.95,
APTECHT,2025-08-05 17:36:05,2025-03-31,False,47.35,52.65,0.0,,0.4,2.95,
APTECHT,2025-10-20 15:49:34,2025-09-30,False,47.35,52.65,0.0,,0.4,2.39,
APTECHT,2026-01-14 16:59:39,2025-12-31,False,47.35,52.65,0.0,,0.58,1.21,
APTECHT,2026-04-14 15:54:43,2026-03-31,False,47.35,52.65,0.0,,0.66,1.2,
APTECHT,2026-07-15 15:47:41,2026-06-30,False,47.35,52.65,0.0,,0.45999999999999996,0.58,
