symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
ARVIND,2022-01-06 21:06:51,2021-09-30,False,42.59,57.41,7.71,0.84,12.0,20.71,4.94
ARVIND,2022-04-06 15:10:21,2022-03-31,False,41.3,58.7,11.34,0.56,11.73,23.79,7.39
ARVIND,2022-04-28 19:40:03,2021-12-31,False,41.31,58.69,9.99,0.9,12.29,23.33,7.39
ARVIND,2022-07-15 13:10:15,2022-06-30,False,41.26,58.74,10.99,0.15,11.42,22.56,7.39
ARVIND,2022-10-19 19:40:17,2022-09-30,False,41.25,58.75,9.7,0.15,12.05,9.88,7.39
ARVIND,2023-01-12 16:10:19,2022-12-31,False,41.25,58.75,8.92,0.15,11.14,9.09,7.39
ARVIND,2023-04-13 14:51:59,2023-03-31,False,41.16,58.84,8.43,0.15,9.63,8.59,7.39
ARVIND,2025-01-20 11:48:44,2024-12-31,False,39.59,60.41,17.23,0.06,18.67,17.61,7.24
ARVIND,2025-01-20 16:56:11,2024-06-30,False,39.61,60.39,15.88,0.15,17.53,16.32,7.24
ARVIND,2025-01-20 16:56:36,2024-09-30,False,39.6,60.4,16.84,0.07,18.32,17.21,7.24
ARVIND,2025-01-20 16:57:12,2024-03-31,False,41.14,58.86,13.92,0.27,15.15,14.81,6.97
ARVIND,2025-01-20 16:57:38,2023-12-31,False,41.14,58.86,13.38,0.26,12.63,14.25,6.97
ARVIND,2025-01-20 16:58:07,2023-06-30,False,41.16,58.84,11.07,0.15,10.74,11.42,7.39
ARVIND,2025-01-20 17:00:22,2023-09-30,False,41.14,58.86,12.38,0.17,10.56,13.11,7.39
ARVIND,2025-04-17 17:36:00,2025-03-31,False,39.58,60.42,17.83,0.0,18.72,18.1,7.24
ARVIND,2025-07-21 14:56:06,2025-06-30,False,39.56,60.44,17.76,0.03,17.58,18.1,7.24
ARVIND,2025-10-17 15:51:01,2025-09-30,False,39.53,60.47,18.34,0.03,16.82,18.7,7.24
ARVIND,2026-01-20 11:48:40,2025-12-31,False,39.53,60.47,18.94,0.03,16.509999999999998,19.31,7.24
ARVIND,2026-06-05 15:04:20,2026-03-31,False,39.53,60.47,19.62,0.05,16.1,20.04,7.24
ARVIND,2026-07-21 19:05:38,2026-06-30,False,39.53,60.47,19.25,0.16,16.439999999999998,19.89,7.24
ARVIND,2026-08-10 16:08:56,2026-08-05,False,38.09,61.91,21.32,1.0,15.879999999999999,22.770000000000003,7.24
