symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
AXISBANK,2022-01-06 21:06:51,2021-09-30,False,11.64,88.36,19.61,1.82,51.38,76.7,0.0
AXISBANK,2022-01-18 19:10:07,2021-12-31,False,9.71,90.29,22.59,1.82,47.44,77.65,0.0
AXISBANK,2022-04-10 23:40:22,2022-03-31,False,9.7,90.3,22.71,1.92,46.93,77.43,0.0
AXISBANK,2022-07-15 07:10:06,2022-06-30,False,9.7,90.3,23.22,2.05,46.58,78.05,0.0
AXISBANK,2022-10-20 15:40:50,2022-09-30,False,9.69,90.31,23.69,5.7,46.12,32.26,0.0
AXISBANK,2023-01-18 16:10:31,2022-12-31,False,8.19,91.81,23.22,5.47,49.45,31.51,0.0
AXISBANK,2023-04-10 18:48:57,2023-03-31,False,8.16,91.84,23.63,5.35,49.05,32.0,0.0
AXISBANK,2023-07-19 16:22:49,2023-06-30,False,8.19,91.81,21.71,5.05,52.0,29.91,0.0
AXISBANK,2023-10-17 12:09:44,2023-09-30,False,8.22,91.78,21.29,4.67,53.0,29.02,0.0
AXISBANK,2024-01-19 14:11:01,2023-12-31,False,8.2,91.8,21.43,4.51,54.68,28.83,0.0
AXISBANK,2024-04-10 12:16:57,2024-03-31,False,8.22,91.78,22.67,4.61,53.84,30.13,0.0
AXISBANK,2024-07-12 20:54:43,2024-06-30,False,8.31,91.69,23.98,4.91,53.43,31.63,0.0
AXISBANK,2024-10-10 10:23:47,2024-09-30,False,8.29,91.71,25.6,4.79,51.78,33.21,0.0
AXISBANK,2025-01-11 17:10:50,2024-12-31,False,8.23,91.77,29.03,5.1,47.32,37.48,0.0
AXISBANK,2025-04-21 10:24:37,2025-03-31,False,8.18,91.82,32.02,5.22,43.94,40.88,0.0
AXISBANK,2025-07-18 11:56:15,2025-06-30,False,8.17,91.83,32.54,5.0,43.81,41.21,
AXISBANK,2025-10-10 15:37:07,2025-09-30,False,8.16,91.84,33.97,4.99,41.89,42.88,
AXISBANK,2026-01-09 15:27:23,2025-12-31,False,8.15,91.85,33.48,5.04,42.57,42.65,
AXISBANK,2026-04-13 10:20:00,2026-03-31,False,8.14,91.86,34.11,4.9,42.05,43.36,
AXISBANK,2026-07-13 18:20:34,2026-06-30,False,7.87,92.13,33.0,5.07,43.0,42.69,
