symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
BANDHANBNK,2022-01-06 23:55:01,2021-09-30,False,39.99,60.01,2.45,0.0,33.61,36.11,0.0
BANDHANBNK,2022-01-14 20:10:07,2021-12-31,False,39.99,60.01,1.88,0.0,34.6,36.54,0.0
BANDHANBNK,2022-04-13 16:40:30,2022-03-31,False,39.99,60.01,,,,,
BANDHANBNK,2022-07-07 19:40:07,2022-06-30,False,39.99,60.01,6.73,0.0,35.64,42.77,0.0
BANDHANBNK,2022-10-20 13:10:36,2022-09-30,False,39.99,60.01,7.52,4.3,34.19,12.5,0.0
BANDHANBNK,2023-01-11 21:10:05,2022-12-31,False,39.99,60.01,8.0,4.12,32.39,12.46,0.0
BANDHANBNK,2023-04-13 10:24:49,2023-03-31,False,39.99,60.01,8.29,4.34,31.93,13.23,0.0
BANDHANBNK,2023-07-11 11:34:10,2023-06-30,False,39.99,60.01,7.49,4.16,33.53,12.39,0.0
BANDHANBNK,2023-10-13 12:29:44,2023-09-30,False,39.98,60.02,8.49,4.58,32.77,17.46,0.0
BANDHANBNK,2024-01-15 18:19:38,2023-12-31,False,39.98,60.02,9.63,5.07,34.74,14.8,0.0
BANDHANBNK,2024-04-15 18:00:11,2024-03-31,False,39.98,60.02,8.06,4.32,31.19,12.43,0.0
BANDHANBNK,2024-07-18 18:32:18,2024-06-30,False,39.98,60.02,7.79,7.11,28.25,15.06,0.0
BANDHANBNK,2024-10-17 19:47:05,2024-09-30,False,39.98,60.02,9.39,6.71,26.73,16.34,0.0
BANDHANBNK,2025-01-15 18:33:24,2024-12-31,False,39.98,60.02,8.24,7.0,23.22,15.41,0.0
BANDHANBNK,2025-04-21 17:07:43,2025-03-31,False,39.98,60.02,8.96,6.51,22.73,16.36,0.0
BANDHANBNK,2025-07-19 20:51:15,2025-06-30,False,40.92,59.08,7.82,7.51,24.34,16.52,
BANDHANBNK,2025-10-18 19:55:51,2025-09-30,False,40.29,59.71,8.99,7.6,23.43,17.82,
BANDHANBNK,2026-01-20 18:51:01,2025-12-31,False,39.74,60.26,11.790000000000001,5.52,22.31,18.759999999999998,
BANDHANBNK,2026-04-21 17:35:40,2026-03-31,False,38.98,61.02,15.6,4.9,22.07,22.33,
BANDHANBNK,2026-07-21 20:25:57,2026-06-30,False,37.54,62.46,19.650000000000002,5.66,18.65,27.48,
