symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
BOSCHLTD,2022-01-07 00:10:01,2021-09-30,False,70.54,29.46,3.03,12.79,4.04,20.14,0.0
BOSCHLTD,2022-01-17 12:10:22,2021-12-31,False,70.54,29.46,2.76,12.99,4.03,20.13,0.0
BOSCHLTD,2022-04-21 10:40:39,2022-03-31,False,70.54,29.46,2.95,12.97,3.5,19.87,0.0
BOSCHLTD,2022-07-19 12:40:18,2022-06-30,False,70.54,29.46,3.02,13.01,3.56,20.04,0.0
BOSCHLTD,2022-10-18 12:40:15,2022-09-30,False,70.54,29.46,4.33,11.45,3.62,16.33,0.0
BOSCHLTD,2023-01-13 18:10:24,2022-12-31,False,70.54,29.46,4.77,11.05,3.73,16.52,0.0
BOSCHLTD,2023-04-13 18:10:31,2023-03-31,False,70.54,29.46,5.39,10.68,3.7,16.77,0.0
BOSCHLTD,2023-07-19 13:19:29,2023-06-30,False,70.54,29.46,5.6,10.36,3.88,16.69,0.0
BOSCHLTD,2023-10-10 18:11:22,2023-09-30,False,70.54,29.46,5.92,10.34,3.55,17.04,0.0
BOSCHLTD,2024-01-19 12:19:54,2023-12-31,False,70.54,29.46,6.74,9.75,3.69,17.27,0.0
BOSCHLTD,2024-04-11 09:10:27,2024-03-31,False,70.54,29.46,7.09,9.42,4.1,17.21,0.0
BOSCHLTD,2024-07-18 15:06:59,2024-06-30,False,70.54,29.46,6.15,8.87,5.96,15.8,0.0
BOSCHLTD,2024-10-17 14:33:45,2024-09-30,False,70.54,29.46,6.03,8.8,6.19,15.78,0.0
BOSCHLTD,2025-01-16 18:15:07,2024-12-31,False,70.54,29.46,6.37,8.55,6.14,15.87,0.0
BOSCHLTD,2025-04-17 14:13:48,2025-03-31,False,70.54,29.46,6.73,8.32,6.1,16.01,0.0
BOSCHLTD,2025-07-18 16:34:57,2025-06-30,False,70.54,29.46,7.04,8.17,6.18,15.98,
BOSCHLTD,2025-10-15 19:20:53,2025-09-30,False,70.54,29.46,6.77,7.53,7.13,15.079999999999998,
BOSCHLTD,2026-01-19 15:47:46,2025-12-31,False,70.54,29.46,6.47,7.64,7.340000000000001,14.899999999999999,
BOSCHLTD,2026-04-15 18:22:35,2026-03-31,False,70.54,29.46,6.49,7.71,7.22,15.06,
BOSCHLTD,2026-07-20 12:27:08,2026-06-30,False,70.54,29.46,6.67,7.6499999999999995,7.1,15.160000000000002,
