symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
CENTENKA,2022-01-06 21:06:51,2021-09-30,False,24.8,75.2,0.02,0.59,4.65,10.0,0.0
CENTENKA,2022-01-12 13:40:12,2021-12-31,False,24.8,75.2,0.02,0.59,4.86,10.22,0.0
CENTENKA,2022-04-18 17:40:30,2022-03-31,False,24.8,75.2,2.65,0.59,5.19,13.23,0.0
CENTENKA,2022-07-19 17:10:24,2022-06-30,False,24.8,75.2,2.78,0.59,5.26,13.27,0.0
CENTENKA,2022-10-20 15:10:27,2022-09-30,False,24.8,75.2,2.78,0.59,4.41,6.15,0.0
CENTENKA,2023-01-20 16:10:25,2022-12-31,False,24.8,75.2,2.78,0.59,3.62,5.19,0.0
CENTENKA,2023-04-27 17:36:14,2023-03-31,False,24.8,75.2,2.78,0.59,3.35,4.74,0.0
CENTENKA,2023-07-20 15:37:56,2023-06-30,False,24.8,75.2,3.38,0.59,3.41,5.11,0.0
CENTENKA,2023-10-20 15:54:44,2023-09-30,False,24.86,75.14,3.38,0.59,3.34,5.11,0.0
CENTENKA,2024-01-19 14:46:15,2023-12-31,False,24.86,75.14,4.62,0.54,2.95,6.28,0.0
CENTENKA,2024-04-19 17:29:03,2024-03-31,False,24.86,75.14,4.62,0.52,2.91,6.27,0.0
CENTENKA,2024-07-16 15:55:49,2024-06-30,False,24.86,75.14,7.89,0.46,3.44,9.64,0.0
CENTENKA,2024-11-06 18:11:13,2024-09-30,False,24.86,75.14,7.89,0.45,3.44,9.37,0.0
CENTENKA,2025-01-20 12:24:17,2024-12-31,False,24.86,75.14,7.89,0.45,3.12,9.43,0.0
CENTENKA,2025-04-19 13:32:24,2025-03-31,False,24.86,75.14,7.89,0.45,2.7,9.25,0.0
CENTENKA,2025-07-21 17:11:36,2025-06-30,False,24.86,75.14,8.51,0.45,2.16,9.87,
CENTENKA,2025-10-20 14:00:17,2025-09-30,False,24.86,75.14,9.719999999999999,0.44999999999999996,2.1,10.979999999999999,
CENTENKA,2026-01-20 09:43:16,2025-12-31,False,24.86,75.14,9.98,0.44999999999999996,2.12,11.03,
CENTENKA,2026-04-11 12:13:23,2026-03-31,False,24.86,75.14,9.98,0.44999999999999996,2.06,11.04,
CENTENKA,2026-07-18 23:37:53,2026-06-30,False,24.86,75.14,9.85,0.9900000000000001,1.96,10.91,
