symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
CHENNPETRO,2022-01-06 21:06:51,2021-09-30,False,67.29,32.71,6.73,0.0,1.33,8.05,0.0
CHENNPETRO,2022-01-07 03:40:01,2021-12-31,False,67.29,32.71,5.84,0.0,2.67,8.52,0.0
CHENNPETRO,2022-04-06 14:10:29,2022-03-31,False,67.29,32.71,5.36,0.0,3.37,8.73,0.0
CHENNPETRO,2022-07-06 12:40:08,2022-06-30,False,67.29,32.71,2.67,0.0,4.01,6.68,0.0
CHENNPETRO,2022-10-17 15:10:16,2022-09-30,False,67.29,32.71,1.28,1.96,4.67,3.29,0.0
CHENNPETRO,2023-01-11 12:40:17,2022-12-31,False,67.29,32.71,1.28,1.9,5.07,3.25,0.0
CHENNPETRO,2023-04-06 16:20:07,2023-03-31,False,67.29,32.71,0.8,2.27,7.67,3.4,0.0
CHENNPETRO,2023-07-12 12:34:14,2023-06-30,False,67.29,32.71,0.02,1.86,8.49,1.96,0.0
CHENNPETRO,2023-10-09 17:29:32,2023-09-30,False,67.29,32.71,0.58,1.04,11.37,1.76,0.0
CHENNPETRO,2024-01-12 14:46:19,2023-12-31,False,67.29,32.71,0.31,0.79,14.69,1.25,0.0
CHENNPETRO,2024-04-05 20:45:54,2024-03-31,False,67.29,32.71,0.22,0.4,15.86,0.75,0.0
CHENNPETRO,2024-07-05 19:08:49,2024-06-30,False,67.29,32.71,0.35,0.4,15.78,0.8,0.0
CHENNPETRO,2024-10-08 13:12:18,2024-09-30,False,67.29,32.71,0.15,0.11,16.17,0.3,0.0
CHENNPETRO,2025-01-03 12:44:50,2024-12-31,False,67.29,32.71,1.38,0.39,11.08,1.81,0.0
CHENNPETRO,2025-04-12 18:47:55,2025-03-31,False,67.29,32.71,1.65,0.46,10.58,2.24,0.0
CHENNPETRO,2025-07-07 12:51:41,2025-06-30,False,67.29,32.71,1.77,0.48,8.79,2.48,
CHENNPETRO,2026-01-16 18:02:44,2025-12-31,False,67.29,32.71,0.66,0.25,12.870000000000001,1.02,
CHENNPETRO,2026-04-02 16:00:54,2026-03-31,False,67.29,32.71,1.58,0.43,12.590000000000002,2.11,
CHENNPETRO,2026-07-03 21:48:13,2026-06-30,False,67.29,32.71,0.7000000000000001,0.22,14.99,1.01,
CHENNPETRO,2026-07-09 13:42:57,2025-09-30,False,67.29,32.71,1.95,0.5599999999999999,8.799999999999999,2.6,
