symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
CIPLA,2022-01-06 21:06:51,2021-09-30,False,36.12,63.88,13.23,4.05,24.79,45.83,0.0
CIPLA,2022-01-17 21:40:04,2021-12-31,False,36.11,63.89,13.15,4.34,24.35,45.88,0.0
CIPLA,2022-04-21 09:41:03,2022-03-31,False,33.63,66.37,13.91,3.76,26.64,48.64,0.0
CIPLA,2022-07-13 18:40:14,2022-06-30,False,33.61,66.39,13.39,3.69,27.64,48.98,0.0
CIPLA,2022-10-20 18:10:49,2022-09-30,False,33.61,66.39,13.78,5.84,27.69,21.73,0.0
CIPLA,2023-01-16 18:10:17,2022-12-31,False,33.61,66.39,14.09,4.85,28.39,21.13,0.0
CIPLA,2023-04-17 14:56:58,2023-03-31,False,33.55,66.45,15.0,4.74,27.42,22.1,0.0
CIPLA,2023-07-21 16:26:10,2023-06-30,False,33.47,66.53,15.35,6.26,25.49,24.34,0.0
CIPLA,2023-10-18 16:10:19,2023-09-30,False,33.47,66.53,16.48,5.25,25.74,24.18,0.0
CIPLA,2024-01-19 21:01:07,2023-12-31,False,33.47,66.53,16.66,5.34,25.73,24.33,0.0
CIPLA,2024-04-19 20:41:45,2024-03-31,False,33.47,66.53,16.83,5.44,25.83,24.42,0.0
CIPLA,2024-07-20 17:05:44,2024-06-30,False,30.91,69.09,17.62,5.18,27.81,24.95,0.0
CIPLA,2024-10-21 19:40:45,2024-09-30,False,30.92,69.08,17.48,4.67,28.8,24.16,0.0
CIPLA,2025-01-20 20:55:11,2024-12-31,False,29.19,70.81,20.46,5.1,26.65,27.71,0.0
CIPLA,2025-04-21 17:06:50,2025-03-31,False,29.2,70.8,20.51,5.79,26.28,28.15,0.0
CIPLA,2025-10-21 19:51:05,2025-09-30,False,29.21,70.79,20.23,8.19,24.55,30.25,
CIPLA,2026-01-21 17:30:20,2025-06-30,False,29.19,70.81,20.44,6.81,25.25,29.26,
CIPLA,2026-01-21 21:06:12,2025-12-31,False,29.21,70.79,19.21,9.55,23.93,30.72,
CIPLA,2026-07-21 14:24:07,2026-06-30,False,29.21,70.79,20.560000000000002,11.76,20.21,34.63,
CIPLA,2026-08-21 15:41:21,2026-03-31,False,29.21,70.79,18.66,11.24,22.56,31.97,
