symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
CRISIL,2022-01-07 01:40:01,2021-09-30,False,66.92,33.08,,,,,
CRISIL,2022-01-20 15:10:14,2021-12-31,False,66.88,33.12,2.55,3.4,6.84,13.22,0.0
CRISIL,2022-04-19 19:10:29,2022-03-31,False,66.79,33.21,3.22,3.34,6.65,13.65,0.0
CRISIL,2022-07-14 18:10:12,2022-06-30,False,66.74,33.26,3.79,3.29,6.58,14.08,0.0
CRISIL,2022-10-21 18:40:27,2022-09-30,False,66.72,33.28,4.91,7.74,6.69,13.11,0.0
CRISIL,2023-01-16 16:10:12,2022-12-31,False,66.7,33.3,5.09,7.42,6.67,13.04,0.0
CRISIL,2023-04-13 17:12:48,2023-03-31,False,66.69,33.31,5.19,7.47,6.9,13.16,0.0
CRISIL,2023-07-17 11:18:28,2023-06-30,False,66.67,33.33,5.67,7.02,7.17,13.18,0.0
CRISIL,2023-10-19 23:07:14,2023-09-30,False,66.66,33.34,5.79,6.81,7.25,13.09,0.0
CRISIL,2024-01-17 16:24:37,2023-12-31,False,66.65,33.35,6.58,5.86,7.19,12.94,0.0
CRISIL,2024-04-05 19:16:34,2024-03-31,False,66.65,33.35,6.62,5.84,7.2,12.96,0.0
CRISIL,2024-07-09 16:37:38,2024-06-30,False,66.64,33.36,6.23,5.78,7.17,12.51,0.0
CRISIL,2024-10-09 17:11:41,2024-09-30,False,66.64,33.36,6.57,5.65,7.22,12.71,0.0
CRISIL,2025-01-14 12:46:21,2024-12-31,False,66.64,33.36,6.84,5.36,7.55,12.68,0.0
CRISIL,2025-04-17 12:39:28,2025-03-31,False,66.64,33.36,6.67,5.23,7.69,12.38,0.0
CRISIL,2025-10-20 21:51:35,2025-09-30,False,66.64,33.36,6.8500000000000005,4.8,7.82,12.18,
CRISIL,2026-01-21 14:53:38,2025-12-31,False,66.64,33.36,6.550000000000001,5.140000000000001,7.670000000000001,12.1,
CRISIL,2026-04-21 12:55:17,2026-03-31,False,66.64,33.36,6.950000000000001,5.28,7.180000000000001,12.61,
CRISIL,2026-07-21 14:23:23,2026-06-30,False,66.64,33.36,7.199999999999999,5.42,6.38,12.950000000000001,
CRISIL,2026-08-19 17:07:41,2025-06-30,False,66.64,33.36,6.63,4.9799999999999995,8.07,12.07,
