symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
CUPID,2022-01-06 21:06:51,2021-09-30,False,45.06,54.94,0.03,0.0,0.27,0.31,0.0
CUPID,2022-01-07 13:40:09,2021-12-31,False,45.06,54.94,0.03,0.0,0.28,0.31,0.0
CUPID,2022-04-14 16:40:30,2022-03-31,False,45.06,54.94,0.0,0.0,0.46,0.46,0.0
CUPID,2022-07-08 13:10:08,2022-06-30,False,45.06,54.94,0.0,0.0,0.65,0.65,0.0
CUPID,2022-10-14 16:40:16,2022-09-30,False,45.06,54.94,0.0,0.0,0.59,0.0,0.0
CUPID,2023-01-09 12:40:10,2022-12-31,False,45.06,54.94,0.0,0.0,0.58,0.0,0.0
CUPID,2023-04-12 14:43:33,2023-03-31,False,45.06,54.94,0.0,0.0,0.66,0.0,0.0
CUPID,2023-07-10 12:57:31,2023-06-30,False,45.06,54.94,0.0,0.0,0.46,0.34,0.0
CUPID,2023-10-09 15:14:55,2023-09-30,False,45.06,54.94,0.0,0.0,0.34,0.0,0.0
CUPID,2024-03-18 11:03:35,2023-12-31,False,45.07,54.93,0.0,0.0,0.45,1.53,0.0
CUPID,2024-04-12 19:24:15,2024-03-31,False,44.8,55.2,0.0,0.0,5.2,1.08,39.22
CUPID,2024-04-18 19:05:30,2024-04-08,False,44.8,55.2,0.0,0.0,5.39,1.04,39.22
CUPID,2024-07-11 16:55:23,2024-06-30,False,44.8,55.2,0.0,0.0,5.97,0.34,46.31
CUPID,2024-10-21 16:12:36,2024-09-30,False,45.61,54.39,0.0,0.0,3.33,0.0,31.03
CUPID,2025-01-15 19:02:12,2024-12-31,False,42.52,57.48,0.0,0.0,3.14,0.0,40.52
CUPID,2025-04-05 18:39:07,2025-03-31,False,42.52,57.48,0.0,0.0,1.63,0.11,40.52
CUPID,2025-07-11 17:30:19,2025-06-30,False,42.52,57.48,,,0.95,0.11,35.97
CUPID,2025-10-18 17:35:51,2025-09-30,False,45.55,54.45,0.16,,2.58,0.33999999999999997,36.13
CUPID,2026-01-08 18:25:20,2025-12-31,False,45.55,54.45,0.1,,1.48,0.3,19.040000000000003
CUPID,2026-03-13 19:15:37,2026-03-10,False,45.95,54.05,0.0,,0.91,0.08,20.57
CUPID,2026-04-06 18:11:26,2026-03-31,False,46.03,53.97,0.15,,1.01,0.16999999999999998,24.79
CUPID,2026-07-15 16:12:01,2026-06-30,False,46.24,53.76,0.33,,4.17,0.33999999999999997,8.03
