symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
DATAPATTNS,2022-01-21 19:10:23,2021-12-31,False,45.62,54.38,6.56,1.76,1.27,10.45,0.0
DATAPATTNS,2022-02-28 17:40:07,2021-12-24,False,45.62,54.38,5.56,0.65,1.91,10.58,0.0
DATAPATTNS,2022-07-19 09:40:04,2022-06-30,False,45.62,54.38,6.35,1.64,1.43,9.68,0.0
DATAPATTNS,2022-07-27 11:40:05,2022-03-31,False,45.62,54.38,5.58,1.66,1.48,9.49,0.0
DATAPATTNS,2022-11-30 16:10:37,2022-09-30,False,45.76,54.24,6.96,1.88,1.6,9.24,0.0
DATAPATTNS,2023-02-09 13:40:04,2022-12-31,False,45.76,54.24,5.61,1.55,2.3,7.9,0.0
DATAPATTNS,2023-03-20 17:40:04,2023-03-13,False,42.41,57.59,8.73,2.25,5.08,11.7,0.0
DATAPATTNS,2023-04-20 14:45:10,2023-03-31,False,42.41,57.59,8.67,2.25,5.07,11.64,0.0
DATAPATTNS,2023-10-18 11:38:50,2023-09-30,False,42.41,57.59,7.21,2.06,7.16,9.55,0.0
DATAPATTNS,2024-01-11 10:41:44,2023-06-30,False,42.41,57.59,8.14,2.27,5.32,11.11,0.0
DATAPATTNS,2024-01-12 11:43:52,2023-12-31,False,42.41,57.59,6.81,2.06,6.74,9.15,0.0
DATAPATTNS,2024-04-15 17:01:00,2024-03-31,False,42.41,57.59,9.34,2.0,14.57,11.58,0.0
DATAPATTNS,2024-07-15 16:02:54,2024-06-30,False,42.41,57.59,6.14,2.1,14.95,8.52,0.0
DATAPATTNS,2024-10-17 17:40:00,2024-09-30,False,42.41,57.59,6.48,2.0,14.39,8.72,0.0
DATAPATTNS,2025-01-11 16:46:32,2024-12-31,False,42.41,57.59,6.48,1.96,14.05,8.84,0.0
DATAPATTNS,2025-05-27 10:48:50,2025-03-31,False,42.41,57.59,5.73,1.12,12.75,7.37,0.0
DATAPATTNS,2025-07-21 17:52:32,2025-06-30,False,42.41,57.59,6.72,0.97,12.78,8.08,
DATAPATTNS,2025-10-17 15:00:50,2025-09-30,False,42.41,57.59,7.42,1.8800000000000001,11.4,9.790000000000001,
DATAPATTNS,2026-01-21 15:43:51,2025-12-31,False,42.41,57.59,7.61,2.23,11.55,10.27,
DATAPATTNS,2026-04-16 16:46:57,2026-03-31,False,42.41,57.59,9.2,2.08,12.479999999999999,11.68,
DATAPATTNS,2026-07-16 17:33:32,2026-06-30,False,42.41,57.59,9.85,1.83,12.5,11.98,
