symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
DEVYANI,2022-01-06 21:06:51,2021-09-30,False,62.91,37.09,1.93,1.81,7.86,12.68,0.0
DEVYANI,2022-01-14 15:40:05,2021-12-31,False,62.91,37.09,2.08,1.63,7.82,12.74,0.0
DEVYANI,2022-04-18 20:10:32,2022-03-31,False,62.8,37.2,2.41,2.1,6.9,12.65,0.0
DEVYANI,2022-08-25 15:10:03,2022-06-30,False,62.8,37.2,3.04,2.06,6.87,13.13,0.0
DEVYANI,2022-10-21 15:40:30,2022-09-30,False,62.8,37.2,4.0,2.64,8.3,7.47,0.0
DEVYANI,2023-01-21 15:40:07,2022-12-31,False,62.8,37.2,4.52,2.65,8.82,7.88,0.0
DEVYANI,2023-04-28 10:50:46,2023-03-31,False,62.79,37.21,6.08,2.89,9.77,9.67,0.0
DEVYANI,2023-07-19 16:27:47,2023-06-30,False,62.76,37.24,6.09,2.23,12.05,8.77,0.0
DEVYANI,2023-10-17 17:01:36,2023-09-30,False,62.74,37.26,5.59,2.22,13.34,8.3,0.0
DEVYANI,2024-01-16 16:45:35,2023-12-31,False,62.74,37.26,5.93,2.27,12.47,8.53,0.0
DEVYANI,2024-04-17 12:06:30,2024-03-31,False,62.74,37.26,10.05,2.15,12.44,12.19,0.0
DEVYANI,2024-07-19 17:07:44,2024-06-30,False,62.73,37.27,11.83,2.36,11.69,14.19,0.0
DEVYANI,2024-10-17 10:42:48,2024-09-30,False,62.72,37.28,12.56,2.68,11.17,15.38,0.0
DEVYANI,2025-01-16 17:34:28,2024-12-31,False,62.72,37.28,12.27,3.08,11.17,15.46,0.0
DEVYANI,2025-04-18 20:52:48,2025-03-31,False,62.72,37.28,13.35,3.51,10.46,16.87,0.0
DEVYANI,2025-07-21 17:49:40,2025-06-30,False,62.62,37.38,14.36,3.63,9.42,18.08,0.0
DEVYANI,2025-10-09 17:00:04,2025-09-30,False,61.42,38.58,15.939999999999998,3.2399999999999998,6.550000000000001,19.759999999999998,0.0
DEVYANI,2026-01-15 13:55:46,2025-12-31,False,61.37,38.63,15.9,2.96,5.7700000000000005,19.439999999999998,0.0
DEVYANI,2026-04-20 18:13:40,2026-03-31,False,61.36,38.64,15.36,3.39,6.13,19.33,0.0
DEVYANI,2026-07-21 18:42:21,2026-06-30,False,61.36,38.64,15.260000000000002,2.98,6.81,18.85,0.0
