symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
EXIDEIND,2022-01-06 21:06:51,2021-09-30,False,45.99,54.01,9.98,11.35,9.74,31.43,0.0
EXIDEIND,2022-01-17 21:10:06,2021-12-31,False,45.99,54.01,9.63,10.64,9.63,30.24,0.0
EXIDEIND,2022-04-18 11:10:44,2022-03-31,False,45.99,54.01,8.42,10.41,10.13,29.29,0.0
EXIDEIND,2022-07-20 14:10:11,2022-06-30,False,45.99,54.01,7.28,10.39,10.4,28.23,0.0
EXIDEIND,2023-01-06 22:41:44,2022-09-30,False,45.99,54.01,7.87,9.61,10.48,17.82,0.0
EXIDEIND,2023-01-18 14:40:11,2022-12-31,False,45.99,54.01,10.01,9.17,10.96,19.56,0.0
EXIDEIND,2023-04-18 14:25:50,2023-03-31,False,45.99,54.01,9.78,8.77,12.32,18.92,0.0
EXIDEIND,2023-07-14 12:42:25,2023-06-30,False,45.99,54.01,12.32,7.08,12.86,19.78,0.0
EXIDEIND,2023-10-12 15:00:05,2023-09-30,False,45.99,54.01,12.64,6.07,12.81,19.05,0.0
EXIDEIND,2024-01-16 10:37:16,2023-12-31,False,45.99,54.01,13.74,5.22,12.94,19.23,0.0
EXIDEIND,2024-04-17 09:51:59,2024-03-31,False,45.99,54.01,13.23,5.2,13.57,18.56,0.0
EXIDEIND,2024-07-15 17:14:16,2024-06-30,False,45.99,54.01,12.15,5.5,13.74,17.87,0.0
EXIDEIND,2024-10-14 14:44:14,2024-09-30,False,45.99,54.01,12.59,5.12,12.31,17.97,0.0
EXIDEIND,2025-01-14 15:34:08,2024-12-31,False,45.99,54.01,12.37,4.92,11.72,17.65,0.0
EXIDEIND,2025-04-10 11:49:13,2025-03-31,False,45.99,54.01,11.11,5.72,11.6,17.15,0.0
EXIDEIND,2025-07-18 12:39:53,2025-06-30,False,45.99,54.01,10.3,6.79,11.47,17.4,
EXIDEIND,2025-10-14 15:18:52,2025-09-30,False,45.99,54.01,9.77,8.33,10.879999999999999,18.459999999999997,
EXIDEIND,2026-01-13 16:47:57,2025-12-31,False,45.99,54.01,8.44,10.03,10.92,18.709999999999997,
EXIDEIND,2026-04-13 17:15:35,2026-03-31,False,45.99,54.01,8.91,10.05,10.299999999999999,19.13,
EXIDEIND,2026-07-20 17:45:02,2026-06-30,False,45.99,54.01,8.17,10.84,10.63,19.3,
