symbol,filing_date,period_end,revised,promoter_pct,public_pct,mf_pct,insurance_pct,fii_pct,dii_pct,promoter_pledge_pct
GIPCL,2022-01-06 21:06:51,2021-09-30,False,55.69,44.31,4.65,1.99,1.61,9.72,0.0
GIPCL,2022-01-17 14:40:08,2021-12-31,False,55.69,44.31,4.65,1.51,1.67,9.0,0.0
GIPCL,2022-04-15 18:10:27,2022-03-31,False,55.69,44.31,4.65,1.51,1.64,8.86,0.0
GIPCL,2022-07-07 15:40:08,2022-06-30,False,55.69,44.31,6.04,1.35,2.1,10.6,0.0
GIPCL,2022-10-10 14:10:02,2022-09-30,False,55.69,44.31,6.04,1.33,2.76,8.5,0.0
GIPCL,2023-01-09 14:40:05,2022-12-31,False,55.69,44.31,4.65,1.33,2.91,6.82,0.0
GIPCL,2023-04-20 16:53:53,2023-03-31,False,55.69,44.31,4.65,1.33,2.9,6.16,0.0
GIPCL,2023-07-06 12:33:56,2023-06-30,False,55.69,44.31,4.65,1.13,4.42,6.0,0.0
GIPCL,2023-10-09 12:36:52,2023-09-30,False,55.69,44.31,4.65,1.13,3.88,6.0,0.0
GIPCL,2024-04-06 17:36:00,2024-03-31,False,55.43,44.57,4.65,1.08,4.97,5.92,0.0
GIPCL,2024-07-08 17:17:00,2024-06-30,False,55.43,44.57,4.27,1.08,4.68,5.87,0.0
GIPCL,2024-10-08 11:39:54,2024-09-30,False,55.43,44.57,4.79,1.13,4.49,6.28,0.0
GIPCL,2025-01-02 17:08:22,2023-12-31,False,55.43,44.57,4.65,1.13,3.86,5.97,0.0
GIPCL,2025-01-07 14:38:03,2024-12-31,False,55.43,44.57,4.81,0.7,4.79,6.04,0.0
GIPCL,2025-04-02 14:01:21,2025-03-27,False,56.57,43.43,4.54,0.5,4.26,5.68,0.0
GIPCL,2025-04-30 16:06:00,2025-03-31,False,56.57,43.43,4.54,0.5,4.21,5.68,0.0
GIPCL,2025-07-07 15:00:47,2025-06-30,False,56.57,43.43,4.67,0.31,4.03,5.6,
GIPCL,2025-10-06 14:50:01,2025-09-30,False,56.57,43.43,4.2700000000000005,0.13999999999999999,3.6900000000000004,5.1499999999999995,
GIPCL,2026-01-06 11:44:55,2025-12-31,False,56.57,43.43,4.2700000000000005,0.03,2.63,4.96,
GIPCL,2026-04-06 14:51:09,2026-03-31,False,56.57,43.43,4.37,0.03,2.74,5.07,
GIPCL,2026-07-08 12:36:59,2026-06-30,False,56.57,43.43,4.37,0.03,2.8899999999999997,4.99,
